"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
46,"APD 20",13.8000000000002,8.23974514007568,6316.4
46,"APD 50",26.5,-16.7846660614014,6329.1
46,"APD 90",41.9499999999998,-50.1098594665527,6344.55
47,"APD 20",14.1000000000004,8.60595607757568,6456.45
47,"APD 50",26.9499999999998,-16.4794902801514,6469.3
47,"APD 90",41.8999999999996,-49.9877891540527,6484.25
48,"APD 20",13.75,8.60595607757568,6600.5
48,"APD 50",26.6000000000004,-16.6015605926514,6613.35
48,"APD 90",41.9500000000007,-50.3540000915527,6628.7
49,"APD 20",13.6500000000005,8.54492092132568,6739.2
49,"APD 50",26.6999999999998,-16.7846660614014,6752.25
49,"APD 90",41.75,-50.4150352478027,6767.3
50,"APD 20",13.9000000000005,8.23974514007568,6876.65
50,"APD 50",26.75,-17.0288066864014,6889.5
50,"APD 90",41.8500000000004,-50.4760704040527,6904.6
