"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
45,"APD 20",11.1999999999998,-2.99072241783142,7947.1
45,"APD 50",22.5999999999995,-20.1415996551514,7958.5
45,"APD 90",43.8999999999996,-43.2128868103027,7979.8
46,"APD 20",11.4500000000007,-2.92968726158142,8129.4
46,"APD 50",23,-20.2636699676514,8140.95
46,"APD 90",44,-43.1518516540527,8161.95
47,"APD 20",11.4000000000015,-3.05175757408142,8311.5
47,"APD 50",22.6500000000015,-20.3247051239014,8322.75
47,"APD 90",43.8000000000011,-43.4570274353027,8343.9
48,"APD 20",12.1999999999989,-3.17382788658142,8486.85
48,"APD 50",23.6999999999989,-20.4467754364014,8498.35
48,"APD 90",45.1999999999989,-43.4570274353027,8519.85
49,"APD 20",11.9500000000007,-3.72314429283142,8662.15
49,"APD 50",22.75,-20.8129863739014,8672.95
49,"APD 90",45.3000000000011,-43.3959922790527,8695.5
