"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
112,"APD 20",11.75,-12.2070302963257,29330.15
112,"APD 50",24.9500000000007,-29.2358379364014,29343.35
112,"APD 90",62,-52.0019493103027,29380.4
113,"APD 20",13.6000000000022,-14.3432607650757,29628.8
113,"APD 50",26.0499999999993,-30.1513652801514,29641.25
113,"APD 90",62.1500000000015,-51.2695274353027,29677.35
114,"APD 20",12.3499999999985,-14.5874013900757,29924.2
114,"APD 50",26.4500000000007,-30.5786113739014,29938.3
114,"APD 90",64.6499999999978,-51.9409141540527,29976.5
115,"APD 20",11.3500000000022,-13.0615224838257,30203.3
115,"APD 50",25.25,-29.4189434051514,30217.2
115,"APD 90",62.4500000000007,-51.2695274353027,30254.4
116,"APD 20",12.3499999999985,-15.5029287338257,30503.2
116,"APD 50",25.3999999999978,-30.9448223114014,30516.25
116,"APD 90",62.0499999999993,-51.5136680603027,30552.9
