"Sweep (n)","APA (mV)"
1,40.0390596660147
2,40.3411836680677
3,40.447995183945
4,39.2883272972769
5,39.0502902047503
6,39.245602690926
7,39.0075655983994
8,39.4500704498912
9,39.4195528739262
10,39.9963350596638
11,39.4744845106631
12,39.7186251183827
13,40.2191133642079
14,40.6982393068576
15,40.2679414857518
16,42.1508759227893
17,41.9403046486311
18,40.3625459712432
19,39.2944308124699
20,37.3260471627306
21,35.7513402429392
22,32.9223609509883
23,55.5572470441919
24,29.0863016521941
25,29.4525125637735
26,30.2062966901077
27,30.0048806887391
28,28.5675028607899
29,29.3029764415452
30,31.1126686962668
31,30.2490212964587
32,31.0394265139509
33,31.5399147597761
34,32.9559302845498
35,33.6059546526032
36,33.9324927154282
37,35.6872533334128
38,34.4665502948148
39,33.9782690793756
40,34.6008276290606
41,33.8836645938842
42,33.1024146491815
43,32.9681373149357
44,33.7829565931999
45,34.6801733265695
46,33.8195776843579
47,34.7961401152363
48,33.6547827741471
49,34.0881323528494
50,33.8500952603228
51,32.4035621595842
52,32.4676490691106
53,31.6558815484429
54,29.6691873531246
55,29.6051004435982
56,30.4626443282133
57,28.5858134063689
58,27.9937724326489
