"Sweep (n)","APA (mV)"
1,56.9335897202112
2,60.8520464741108
3,76.4526313073933
4,85.6994568247733
5,86.8560729538449
6,85.9466491900893
7,86.0290466451947
8,85.6292664000539
9,84.6710145147544
10,83.2549989899807
11,83.1298769285244
12,83.2214296564193
13,84.7778260306318
14,82.3577822566112
15,83.5571229920337
16,80.5389347291002
17,65.957636933047
18,78.9642278093087
19,77.8503362865881
20,78.7139836863961
21,80.2276554542577
22,75.6805366354801
23,67.0227003342237
24,76.3915961554634
25,75.6317085139362
26,75.3021186935147
27,75.6835883930766
28,77.2613470704645
29,75.3387397846726
30,59.0576130073717
31,101.547234023372
