"Sweep (n)","APA (mV)"
1,104.061882282884
2,105.181877320797
3,104.351799254551
4,102.75878178918
5,102.987663608918
6,104.327385193779
7,104.846183985183
8,104.934684955481
9,104.364006284937
10,104.37010980013
11,103.808586402375
12,103.442375490795
13,103.228752459041
14,102.88085209304
15,103.097526882391
16,102.835075729093
17,102.804558153128
18,102.00194590525
19,101.150505535828
20,99.938957770019
21,100.326530984774
22,99.9114919516506
23,99.8840261332821
24,100.62560322923
25,97.7111747245777
26,99.8535085573172
27,99.7344900110539
28,97.7020194517882
29,98.724358246614
30,98.2177664855958
31,98.3184744862802
32,98.5534598212103
33,97.0825126596997
34,95.8618096211017
35,91.5985042587981
36,93.5821466965199
37,89.8834164895679
38,98.0712821209641
39,96.1791924111372
40,91.6351253499561
41,83.7463319630164
42,78.6682073224487
43,87.7166685960565
44,94.6502618552932
45,89.5538266691465
46,85.6048523392819
47,84.957879728825
48,55.5969198929463
49,68.4783887077518
50,66.1956740255736
51,81.8542422531895
52,85.5926453088959
53,91.4123470454119
54,86.4959655574584
55,64.9932815325545
56,62.4023393331302
57,60.7849078069879
58,81.9580020114703
59,68.5607861628572
60,92.0562678982724
61,81.9946231026283
62,79.1168156891335
63,54.0435752763304
64,51.9226037467663
65,55.0018271616298
66,40.4235811231731
67,71.0998484831411
68,65.9820509938189
69,69.3908642291038
70,80.2978458789771
71,60.415645137812
72,48.6450160881307
73,55.1483115262616
74,61.7340044194978
75,90.7501156469725
76,70.1019237490872
77,60.1287799237415
78,52.3406945374862
79,43.228146354352
80,64.5202591050978
81,81.3903750985223
82,78.6224309585013
83,56.2866171097542
84,41.0156220968931
85,33.4564185303749
86,52.0080529594682
87,55.1300009806826
88,62.6983598199903
89,67.3400831242592
90,57.3791463292994
91,40.7836885195595
92,34.8846410855346
93,30.8380105125822
94,49.5910609430441
95,75.4943794220939
96,64.398188801238
97,50.885006163958
98,67.9595899163477
99,85.4522644594572
100,102.88085209304
101,103.958122524603
102,87.1704039862838
103,86.2274108889669
104,84.2437684512451
105,88.3544859337239
106,87.5274596250738
107,93.847649607415
108,96.6918876873483
109,100.622551471634
110,94.760125128767
111,88.5925230262505
112,80.8227481855742
113,69.6411083520164
114,91.4520198941664
115,95.2361993138202
116,101.214592445354
117,98.8952566720177
118,93.1762629361861
119,85.9497009476858
120,69.1558788941737
121,52.3040734463282
122,73.9471383206709
123,77.4993841629911
124,84.6710145147544
125,89.1204770904442
126,65.8477736595731
127,76.617426217604
128,64.373774740466
129,65.7623244468713
130,89.6179135786729
131,91.9433528672021
132,101.254265294108
133,100.558464562108
134,89.260857939883
135,81.1737003091711
136,73.7335152889163
137,68.0175733106811
138,75.44555130055
139,88.0798277500394
140,92.4529963858167
141,94.9920587061006
142,91.1651546800958
143,87.1673522286873
144,83.5906923255952
145,85.1837097909656
146,75.1708931168654
147,75.7659858481819
148,88.1652769627412
149,98.7823416409474
150,97.9431083019113
151,82.6415957130852
152,68.2342481000322
153,68.2891797367691
154,68.6248730723836
155,84.9182068800705
156,97.4059989649282
157,100.186150135335
158,93.1426936026246
159,84.4665467557893
160,84.9853455471934
161,82.1044863761021
162,84.1735780265257
163,80.0659123016434
164,93.4509211198706
165,97.6501395726478
166,97.4365165408931
167,92.0501643830794
168,89.1479429088126
169,81.0119571565569
170,70.1690624162101
171,66.0858107520997
172,51.7852746549241
173,83.5754335376127
174,96.609490232243
175,100.857536806564
176,98.8372732776843
177,102.313225180092
178,100.52184347095
179,85.7696472494926
180,87.5305113826703
181,87.8784117486707
182,84.2803895424031
183,95.2575616169957
184,100.680534865967
185,101.162712566214
186,97.1649101148051
187,92.1813899597287
188,85.7910095526681
189,85.6414734304398
190,76.4221137314284
191,78.0517522879567
192,89.7460873977257
193,96.4385918068392
194,96.30736623019
195,97.0489433261382
196,93.231194572923
197,86.2121521009844
198,69.8608348989641
199,74.0203805029868
200,79.7088566628535
201,74.810785720479
202,89.6179135786729
203,96.5820244138745
204,94.0551691239766
205,93.2098322697475
206,89.0808042416897
207,87.8539976878987
208,90.1641781884455
209,85.1043640934567
210,74.194330685987
211,72.4639841287743
212,88.0523619316709
213,95.6329278013645
214,95.8923271970666
215,95.956414106593
216,92.6879817207468
217,88.3148130849695
218,90.475457463288
219,85.3393494283868
220,85.5132996113871
221,89.9047787927434
222,87.4359068971789
223,91.9433528672021
224,93.9208917897308
225,90.9454281331482
226,93.3319025736073
227,86.9811950153012
228,80.0109806649065
229,78.1066839246936
230,75.3906196638131
231,72.653193099757
232,76.7761176126218
233,82.516473651629
234,92.6696711751679
235,96.6491630809974
236,95.5718926494347
237,96.7101982329273
238,93.4814386958356
239,93.5790949389234
240,87.8021178087583
241,90.4937680088669
242,85.9954773116333
243,76.6754096119375
244,90.2801449771123
245,96.5637138682955
246,96.5331962923306
247,95.8221367723472
248,92.7917414790277
249,89.4439633956726
250,87.5976500497931
251,86.0412536755807
252,84.1766297841222
253,85.5773865209134
254,87.7716002327934
255,95.1782159194868
256,97.485344662437
257,97.0977714476822
258,96.0784844104528
259,94.5678644001878
260,94.2230157917839
261,88.8244566035842
262,81.6924991005753
263,84.4238221494383
264,85.2264343973165
265,85.3912293075273
266,91.2658626807802
267,96.282952169418
268,96.2463310782601
269,96.3989189580848
270,93.6798029396077
271,93.5180597869935
272,93.6370783332568
273,92.8039485094137
274,92.9656916620279
275,85.827630643826
276,86.1511169490545
277,89.6087583058834
278,94.119256033503
279,96.7925956880327
280,95.666497134926
281,92.8527766309576
282,93.1121760266597
283,90.5364926152179
284,90.5486996456038
285,84.6984803331229
286,79.2724553265547
287,73.3398385589684
288,86.3006530712828
289,91.6015560163946
290,92.0623714134654
291,91.9769222007635
292,89.5294126083745
293,91.7053157746755
294,89.7369321249362
295,83.8317811757183
296,75.5981391803747
297,77.2979681616225
298,91.97997395836
299,94.6563653704862
300,98.4497000629295
301,94.7082452496266
302,93.3074885128353
303,90.8538754052533
304,87.2436461685997
305,85.1226746390357
306,81.0943546116623
307,82.6080263795238
308,81.1065616420482
309,84.4085633614559
310,89.0838559992862
311,95.7824639235928
312,92.4590999010097
313,93.8659601529939
314,90.5761654639723
315,89.0380796353388
316,88.4979185407592
317,87.8478941727058
318,86.9781432577047
319,74.0020699574078
320,87.2955260477401
321,86.2182556161774
322,92.312615536378
323,92.4102717794658
324,91.690056986693
325,88.7817319972332
326,88.1286558715833
327,78.5430852609924
328,78.201288410185
329,74.9633736003038
330,83.1115663829455
331,84.1064393594029
332,84.8388611825617
333,91.8609554120967
334,96.2860039270145
335,96.0479668344879
336,93.9056330017484
337,91.665642925921
338,90.2191098251824
339,84.3139588759645
340,81.881708071558
341,75.753778817796
342,74.2614693531099
343,82.3028506198743
344,83.9843690555431
345,88.0401549012849
346,92.9931574803963
347,93.5913019693094
348,93.9514093656958
349,93.1701594209931
350,90.3747494626036
351,81.6650332822068
352,90.3839047353931
353,83.0230654126471
354,80.963129035013
355,75.9704536071471
356,88.287347266601
357,92.1325618381848
358,95.4162530120134
359,96.8322685367871
360,95.3948907088379
361,95.9594658641895
362,88.0767759924429
363,86.450189193511
364,81.851190495593
365,75.2105659656199
366,77.1087591906398
367,76.4617865801828
368,81.3659610377503
369,94.5983819761528
370,96.9909599318048
371,97.6592948454372
372,92.578118447273
373,86.7065368316166
374,89.4897397596201
375,89.0014585441809
376,84.8266541521757
377,89.0411313929353
378,86.166375737037
379,84.1979920872977
380,93.0175715411683
381,98.2971121831047
382,96.2097099871021
383,94.4854669450824
