"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",18.9499999999998,-12.3901358417698,6461.6
1,"APD 50",53.3000000000002,-24.3835431959952,6495.95
1,"APD 90",712.599999999999,-40.4052705775941,7155.25
2,"APD 20",18.4500000000007,-12.0239249301904,10260.05
2,"APD 50",52,-24.1088850123107,10293.6
2,"APD 90",701.4,-40.2526826977694,10943
3,"APD 20",18.5499999999993,-12.26806553791,14053.25
3,"APD 50",53.1000000000004,-24.3530256200303,14087.8
3,"APD 90",731.15,-40.496823305489,14765.85
4,"APD 20",19.0499999999993,-12.2070303859801,17365.15
4,"APD 50",51.2999999999993,-23.9868147084509,17397.4
4,"APD 90",684.099999999999,-39.6728487544353,18030.2
5,"APD 20",18.9500000000007,-12.847899481244,20855.9
5,"APD 50",54.4500000000007,-24.5666486517849,20891.4
5,"APD 90",699.100000000002,-40.1916475458395,21536.05
6,"APD 20",20.7999999999993,-12.3901358417698,24297.2
6,"APD 50",55.9500000000007,-24.1394025882756,24332.35
6,"APD 90",694.099999999999,-39.855954210225,24970.5
7,"APD 20",17.5,-12.5427237215945,27637.1
7,"APD 50",51.3999999999978,-24.2309553161705,27671
7,"APD 90",677.5,-39.855954210225,28297.1
8,"APD 20",20.0499999999993,-12.5122061456296,31165
8,"APD 50",56.75,-24.3225080440653,31201.7
8,"APD 90",695.900000000001,-40.1000948179446,31840.85
9,"APD 20",19,-12.4511709936997,34497.2
9,"APD 50",58,-24.2614728921354,34536.2
9,"APD 90",655.650000000001,-40.0390596660147,35133.85
10,"APD 20",20.8499999999985,-12.4816885696646,37846.65
10,"APD 50",58.9000000000015,-24.53613107582,37884.7
10,"APD 90",676.25,-40.5273408814539,38502.05
11,"APD 20",19.5999999999985,-12.4511709936997,41007.95
11,"APD 50",57.8499999999985,-24.3225080440653,41046.2
11,"APD 90",644.599999999999,-40.0390596660147,41632.95
12,"APD 20",20.1999999999971,-12.5122061456296,44277.05
12,"APD 50",58.2999999999956,-24.4140607719602,44315.15
12,"APD 90",629.799999999996,-40.3137178496993,44886.65
13,"APD 20",19.6999999999971,-12.237547961945,47339
13,"APD 50",57.6999999999971,-24.2919904681004,47377
13,"APD 90",652.400000000001,-40.3747530016292,47971.7
14,"APD 20",20.75,-11.9628897782605,50749.2
14,"APD 50",61.0499999999956,-24.1394025882756,50789.5
14,"APD 90",626.699999999997,-40.4052705775941,51355.15
15,"APD 20",20.8499999999985,-11.7492667465058,53730.65
15,"APD 50",66.1500000000015,-23.8342268286261,53775.95
15,"APD 90",607.25,-39.9169893621549,54317.05
16,"APD 20",20.9500000000044,-10.7116691636975,56863.1
16,"APD 50",58.7000000000044,-23.3764631891519,56900.85
16,"APD 90",639.5,-40.2221651218044,57481.65
17,"APD 20",20.5999999999985,-11.047362499312,59939.4
17,"APD 50",59.8000000000029,-23.6206037968715,59978.6
17,"APD 90",677.199999999997,-40.4357881535591,60596
18,"APD 20",18.3499999999985,-11.3220206829965,62889.8
18,"APD 50",57.1499999999942,-23.4069807651168,62928.6
18,"APD 90",638.349999999999,-39.5507784505755,63509.8
19,"APD 20",19.5,-11.3525382589615,65591.25
19,"APD 50",55.8999999999942,-23.1323225814323,65627.65
19,"APD 90",670.899999999994,-38.9099093553116,66242.65
20,"APD 20",19.3000000000029,-11.4135734108914,68081.75
20,"APD 50",54.3499999999913,-22.6135237900281,68116.8
20,"APD 90",640.550000000003,-37.5671360128537,68703
21,"APD 20",20.1999999999971,-12.0849600821203,70441.45
21,"APD 50",57.6999999999971,-22.7355940938879,70478.95
21,"APD 90",618.849999999991,-37.0483372214496,71040.1
22,"APD 20",21.5500000000029,-12.7563467533492,72665.95
22,"APD 50",65.9499999999971,-22.6135237900281,72710.35
22,"APD 90",744.600000000006,-35.7665990309217,73389
23,"APD 20",32.3000000000029,-8.30078066246646,74936.15
23,"APD 50",429.900000000009,-24.9938947152942,75333.75
23,"APD 90",1247.95,-32.3486305228472,76151.8
24,"APD 20",20.4499999999971,-8.88061460580052,77060.9
24,"APD 50",56.3000000000029,-17.6391589077412,77096.75
24,"APD 90",441.75,-29.2358377744223,77482.2
25,"APD 20",21.25,-10.9252921954522,79165.85
25,"APD 50",66.9000000000087,-19.8059068012527,79211.5
25,"APD 90",493.400000000009,-31.5856911237235,79638
26,"APD 20",19.5499999999884,-11.8408194744007,81267.3
26,"APD 50",66.9499999999971,-20.9045395359909,81314.7
26,"APD 90",500.099999999991,-32.9894996181112,81747.85
27,"APD 20",22.1500000000087,-12.6647940254543,83294.25
27,"APD 50",74.8500000000058,-21.6674789351147,83346.95
27,"APD 90",528.800000000003,-33.6303687133752,83800.9
28,"APD 20",23,-13.7329091842276,85340.15
28,"APD 50",77.3500000000058,-22.3083480303786,85394.5
28,"APD 90",520.350000000006,-33.7829565931999,85837.5
29,"APD 20",22.8500000000058,-13.3972158486132,87378.95
29,"APD 50",74.3500000000058,-22.1862777265188,87430.45
29,"APD 90",488.550000000003,-33.9050268970597,87844.65
30,"APD 20",23.8999999999942,-13.1530752408936,89519.25
30,"APD 50",78.3500000000058,-22.5219710621333,89573.7
30,"APD 90",553.75,-34.9121069039031,90049.1
31,"APD 20",19,-13.4582510005431,91739.7
31,"APD 50",70.7999999999884,-22.4609359102034,91791.5
31,"APD 90",526.399999999994,-34.5764135682886,92247.1
32,"APD 20",23.8000000000029,-13.0310049370337,93949.3
32,"APD 50",79.75,-22.3388656063436,94005.25
32,"APD 90",525.200000000012,-34.7595190240783,94450.7
33,"APD 20",21.6499999999942,-12.9699697851038,96067.6
33,"APD 50",77.1499999999942,-22.4609359102034,96123.1
33,"APD 90",506.949999999997,-35.0341772077629,96552.9
34,"APD 20",23,-12.6647940254543,98279.3
34,"APD 50",85.1500000000087,-22.5219710621333,98341.45
34,"APD 90",514.100000000006,-35.7055638789918,98770.4
35,"APD 20",22.3000000000029,-12.2070303859801,100550.45
35,"APD 50",77.5999999999913,-22.2778304544137,100605.75
35,"APD 90",522.5,-35.7055638789918,101050.65
36,"APD 20",26.5999999999913,-12.0849600821203,102894.25
36,"APD 50",78.6499999999942,-22.2778304544137,102946.3
36,"APD 90",514.399999999994,-35.8276341828516,103382.05
37,"APD 20",25.1999999999971,-11.627196442646,105306
37,"APD 50",78.6999999999971,-22.2778304544137,105359.5
37,"APD 90",549.100000000006,-36.5600560060104,105829.9
38,"APD 20",27.8000000000029,-12.1154776580852,107595.55
38,"APD 50",81.8000000000029,-22.4914534861683,107649.55
38,"APD 90",548.75,-36.2548802463609,108116.5
39,"APD 20",25.6000000000058,-12.1154776580852,109839.1
39,"APD 50",80.0500000000029,-22.3388656063436,109893.55
