"Sweep (n)","Ediast (mV)"
1,-44.4946257568974
2,-44.3695036954411
3,-44.6289030911432
4,-43.6828582362298
5,-44.177242966862
6,-43.8537566616335
7,-43.8293426008615
8,-44.1192595725286
9,-44.0582244205987
10,-44.5739714544063
11,-44.0826384813706
12,-44.3572966650552
13,-44.4915739993009
14,-44.5739714544063
15,-44.0216033294407
16,-44.5312468480554
17,-44.6868864854766
18,-43.6584441754578
19,-42.8649872003691
20,-41.3543671901041
21,-40.6951875492611
22,-39.1479464478382
23,-52.8411827833113
24,-32.2296119765839
25,-34.5794653258851
26,-36.0961888513431
27,-36.7187474010281
28,-36.6851780674667
29,-36.9323704327828
30,-38.1011935922404
31,-37.6647922559416
32,-37.9363986820296
33,-38.2842990480301
34,-39.0899630535048
35,-39.1601534782241
36,-39.3035860852594
37,-40.2038545762254
38,-39.7766085127161
39,-39.3798800251718
40,-39.3920870555578
41,-39.3768282675753
42,-39.1754122662066
43,-38.8580294761711
44,-38.8793917793466
45,-39.4714327530666
46,-39.221188630154
47,-39.5568819657685
48,-39.239499175733
49,-39.0014620832064
50,-39.0991183262942
51,-38.2629367448546
52,-38.5101291101707
53,-38.1256076530123
54,-37.5732395280467
55,-37.4481174665904
56,-37.6953098319065
57,-36.9171116448003
58,-36.5997288547648
