"Sweep (n)","Ediast (mV)"
1,-46.3928189819173
2,-45.3338590959336
3,-46.4446988610578
4,-45.7488981290569
5,-44.5983855151783
6,-44.1925017548444
7,-44.2230193308094
8,-43.0755584745273
9,-43.3837859917733
10,-42.1508759227893
11,-41.9738739821926
12,-41.3360566445251
13,-39.6209688752949
14,-40.5914277909803
15,-39.9932833020673
16,-39.2486544485225
17,-37.6190158919942
18,-38.5620089893111
19,-40.3137178496993
20,-36.2670872767469
21,-39.1906710541891
22,-39.3951388131543
23,-39.0197726287854
24,-35.7208226669743
25,-35.565183029553
26,-35.4003881193423
27,-39.3859835403648
28,-39.8284883918566
29,-36.3037083679048
30,-36.4135716413786
31,-34.1827368383408
32,-33.0169654364797
33,-32.205197915812
34,-30.9692360892315
35,-29.9652078399846
36,-28.5919169215619
37,-28.5888651639654
38,-26.8585186067527
39,-28.1555155852631
40,-27.8137187344556
41,-28.7200907406147
42,-28.2897929195089
43,-28.1127909789122
44,-28.9520243179483
45,-29.3395975327032
46,-28.2012919492105
47,-28.7322977710006
48,-32.211301431005
49,-31.5490700325656
50,-30.7128884511259
51,-32.4096656747772
52,-31.5978981541095
53,-31.1279274842492
54,-29.6020486860017
55,-29.1992166832644
56,-28.1524638276666
57,-27.5238017627886
58,-28.8604715900534
59,-29.1961649256679
60,-26.6448955749981
61,-27.0874004264898
62,-27.9968241902453
63,-27.6611308546309
64,-28.0731181301577
65,-28.0090312206313
66,-27.8411845528241
67,-27.4597148532622
68,-27.7282695217538
69,-29.5043924429139
70,-32.1197487031101
71,-33.0017066484972
72,-33.111569921971
73,-33.9050268970597
74,-34.2407202326742
75,-34.030148958516
76,-34.6252416898325
77,-34.5581030227096
78,-33.0169654364797
79,-32.83385998069
80,-31.9793678536714
81,-33.1268287099535
82,-33.4106421664275
83,-31.8176247010571
84,-30.7586648150733
85,-31.4666725774602
86,-30.1879861445288
87,-29.6539285651421
88,-30.2185037204937
89,-29.8522928089143
90,-30.0445535374935
91,-29.2877176535627
92,-28.4179667385617
93,-27.6702861274204
94,-28.6712626190707
95,-27.1514873360162
96,-25.4821759307334
97,-24.7772199259431
98,-24.560545136592
99,-25.756834114418
100,-26.2420635722607
101,-26.675413150963
102,-26.8646221219457
103,-29.1870096528784
104,-28.6743143766672
105,-29.3670633510716
106,-29.0740946218081
107,-28.3416727986493
108,-28.543088800018
109,-28.6682108614743
110,-29.5684793524403
111,-28.9916971667027
112,-28.1524638276666
113,-28.3050517074913
114,-30.0109842039321
115,-28.6132792247373
116,-28.6132792247373
117,-30.2978494180026
