"Sweep (n)","Ediast (mV)"
1,-38.9282199008905
2,-41.7785614960169
3,-40.8691377322614
4,-42.1813934987542
5,-40.5914277909803
6,-40.1397676666991
7,-39.9780245140848
8,-39.7918673006986
9,-37.6129123768012
10,-37.69225807431
11,-37.414548133029
12,-36.4685032781155
13,-38.024899652328
14,-36.1846898216415
15,-36.8957493416248
16,-35.5560277567635
17,-32.5103736754615
18,-34.8663305399556
19,-34.362790536534
20,-34.8602270247627
21,-35.7025121213953
22,-33.7799048356034
23,-32.2326637341804
24,-34.0942358680424
25,-34.8297094487977
26,-33.2488990138133
27,-33.3557105296906
28,-34.4451879916393
29,-33.7738013204104
30,-30.7983376638278
31,-34.1644262927618
