"Sweep (n)","Ediast (mV)"
1,-57.031245963299
2,-56.9641072961761
3,-57.1624715399483
4,-57.2570760254396
5,-56.8359334771233
6,-56.2072714122453
7,-55.7403524999816
8,-55.9020956525958
9,-55.7342489847886
10,-56.0821493507891
11,-55.1361044958756
12,-56.0455282596311
13,-55.9692343197187
14,-54.7241172203488
15,-53.8452110325582
16,-54.0222129731549
17,-54.0985069130673
18,-53.7841758806283
19,-53.2867393923996
20,-52.9876671479431
21,-52.0416222930296
22,-51.6479455630818
23,-52.5299035084688
24,-50.9704553766599
25,-51.2603723483269
26,-51.0620081045547
27,-49.9755824002025
28,-50.1220667648343
29,-51.1230432564846
30,-51.0742151349407
31,-50.4425013124662
32,-50.0884974312728
33,-49.7131312469039
34,-49.4110072448509
35,-49.6612513677635
36,-49.0966762124119
37,-50.0549280977114
38,-48.8433803319029
39,-48.0285610536387
40,-48.3795131772356
41,-48.12316553913
42,-48.0682339023931
43,-48.9746059085521
44,-48.2543911157793
45,-49.3255580321491
46,-48.7884486951659
47,-48.4924282083059
48,-49.1210902731839
49,-47.5158657774275
50,-48.6785854216921
51,-48.3917202076216
52,-48.2971157221302
53,-48.6175502697622
54,-48.2299770550074
55,-47.9919399624807
56,-48.0163540232527
57,-49.035641060482
58,-47.3449673520238
59,-48.3917202076216
60,-47.6135220205154
61,-48.4863246931129
62,-48.6907924520781
63,-49.3713343960965
64,-44.436642362564
65,-46.1151090406363
66,-45.4742399453723
67,-46.8292203182161
68,-48.0621303872001
69,-46.9940152284269
70,-47.1710171690236
71,-47.2961392304799
72,-46.4111295274963
73,-45.669552431548
74,-45.2423063680387
75,-44.9249235780032
76,-43.5455291443875
77,-43.3563201734048
78,-43.1243865960712
79,-43.4173553253347
80,-43.4661834468786
81,-41.8945282846837
82,-43.0633514441413
83,-41.989132770175
84,-42.309567317807
85,-41.7358368896659
86,-42.6269501078425
87,-42.1936005291402
88,-42.5781219862986
89,-42.1661347107717
90,-42.1966522867367
91,-42.1539276803858
92,-42.61169131986
93,-41.0217256120861
94,-42.5109833191757
95,-42.2424286506841
96,-42.7978485332462
97,-42.4560516824388
98,-42.7673309572813
99,-42.5842255014916
100,-43.5333221140015
101,-42.9626434434569
102,-42.9656952010534
103,-42.5384491375441
104,-42.3309296209825
105,-42.90771180672
106,-42.7825897452637
107,-40.9759492481387
108,-42.2790497418421
109,-41.8579071935257
110,-42.2759979842456
111,-42.4896210160002
112,-42.9840057466324
113,-42.9626434434569
114,-43.0969207777027
115,-42.0684784676839
116,-42.1508759227893
117,-42.1905487715437
118,-41.0491914304546
119,-42.2332733778946
120,-42.2576874386666
121,-41.5435761610868
122,-41.7602509504379
123,-42.8253143516147
124,-43.2678192031064
125,-42.5537079255266
126,-42.4682587128247
127,-42.5231903495617
128,-42.5353973799476
129,-42.8161590788252
130,-42.5048798039827
131,-42.648312411018
132,-42.6727264717899
133,-42.9473846554745
134,-42.9473846554745
135,-42.1020478012453
136,-42.4285858640703
137,-43.1426971416501
138,-42.5445526527371
139,-42.6391571382285
140,-42.5415008951406
141,-42.4621551976318
142,-42.7642791996848
143,-42.4285858640703
144,-42.605587804667
145,-42.2668427114561
146,-42.1234101044208
147,-42.3187225905965
148,-42.2027558019297
149,-42.037960891719
150,-41.7144745864905
151,-41.7602509504379
152,-40.0787325147692
153,-39.6759005120318
154,-29.5532205644578
155,-14.9536122228256
156,-14.7979725854044
157,-16.9311511453544
158,-18.7438951576724
159,-20.2880845014989
160,-21.3256820843072
161,-20.516966321236
162,-23.3520491283799
163,-21.2493881443948
164,-24.0600568907668
165,-24.7924787139256
166,-26.1932354507168
167,-25.9551983581902
168,-26.0620098740675
169,-25.7598858720145
170,-27.0507793353319
171,-26.1840801779273
172,-26.1749249051378
173,-26.1444073291729
174,-26.3000469665941
175,-26.9317607890686
176,-25.8728009030848
177,-27.0843486688933
178,-26.5686016350857
179,-25.7598858720145
180,-27.0690898809109
181,-27.1667461239987
182,-27.3132304886305
183,-26.6845684237525
184,-27.4108867317183
185,-26.5777569078752
186,-26.959226607437
187,-26.8707256371387
188,-26.5319805439277
189,-26.9348125466651
190,-25.6011944769968
191,-27.2003154575601
192,-26.385496179296
193,-27.8686503711926
194,-27.4993877020167
195,-27.4108867317183
196,-26.7761211516473
197,-27.4047832165253
198,-27.1636943664022
199,-26.7791729092438
200,-25.8483868423128
201,-27.001951213788
202,-25.8544903575058
203,-26.6418438174016
204,-27.1484355784197
205,-26.7608623636649
206,-27.316282246227
207,-25.8514385999093
208,-25.2838116869613
209,-25.9857159341551
210,-17.8802477578643
211,-17.8802477578643
212,-13.80920312414
213,-25.744627084032
214,-24.197385982609
215,-26.983640668209
216,-29.3395975327032
217,-29.9926736583531
218,-31.3568093039864
219,-31.6925026396008
220,-32.6721168280757
221,-32.5225807058475
222,-34.2407202326742
223,-35.1776098147981
