"Sweep (n)","Ediast (mV)"
1,-57.6751668161595
2,-57.9101521510896
3,-57.6904256041419
4,-57.4096639052644
5,-57.3944051172819
6,-57.5134236635452
7,-57.7270466952999
8,-57.5714070578786
9,-57.4279744508434
10,-57.7087361497209
11,-57.2998006317906
12,-56.8420369923163
13,-56.8725545682813
14,-56.7077596580705
15,-56.6192586877722
16,-56.5704305662283
17,-56.5704305662283
18,-56.5002401415089
19,-56.0760458355961
20,-54.9865683736473
21,-55.9844931077012
22,-55.9051474101923
23,-56.2133749274383
24,-56.3751180800526
25,-54.559322310138
26,-56.3049276553332
27,-56.12487395714
28,-54.7637900691032
29,-55.8776815918239
30,-55.7678183183501
31,-55.2276572237704
32,-55.3405722548408
33,-54.602046916489
34,-53.6560020615755
35,-51.1627161052391
36,-52.6885949034866
37,-50.8209192544316
38,-54.7363242507347
39,-53.6376915159965
40,-51.4739953800816
41,-48.2238735398144
42,-45.5871549764427
43,-49.2340053042542
44,-53.0853233910309
45,-50.4913294340102
46,-48.4954799659024
47,-48.3978237228146
48,-37.3168918899411
49,-42.1722382259647
50,-41.7816132536134
51,-47.8881802041999
52,-48.0255092960422
53,-51.0070764678178
54,-48.9288295446047
55,-40.8538789442789
56,-39.3310519036279
57,-39.239499175733
58,-46.8933072277425
59,-41.7968720415958
60,-51.4678918648886
61,-47.3266568064448
62,-45.7611051594429
63,-35.0311254501664
64,-37.7014133470995
65,-37.5457737096783
66,-31.1767556057932
67,-43.4814422348611
68,-41.415402342034
69,-42.7795379876672
70,-46.0571256463029
71,-38.7481662026973
72,-35.8581517588165
73,-35.9222386683429
74,-34.3597387789375
75,-50.4974329492032
76,-41.7816132536134
77,-38.6749240203814
78,-35.6475804846584
79,-31.1737038481967
80,-40.3198213648923
81,-46.2951627388295
82,-46.304318011619
83,-38.8610812337676
84,-31.249997788109
85,-30.4656960858098
86,-34.4909643555868
87,-38.7420626875043
88,-39.7491426943477
89,-40.5456514270329
90,-36.4135716413786
91,-30.4077126914764
92,-28.5980204367549
93,-29.4036844422296
94,-34.6679662961835
95,-44.4274870897746
96,-41.9982880429645
97,-35.5346654535881
98,-38.2659885024511
99,-46.7254605599353
100,-56.9824178417551
101,-58.3953816089323
102,-50.3662073725539
103,-48.0194057808492
104,-47.500606989445
105,-50.1159632496413
106,-49.4110072448509
107,-52.3742638710476
108,-54.2419395201026
109,-56.1279257147365
110,-53.2562218164347
111,-49.4079554872544
112,-48.0163540232527
113,-42.8771942307551
114,-50.4058802213083
115,-53.3355675139435
116,-56.2622030489823
117,-55.2246054661739
118,-52.2827111431527
119,-50.0610316129044
120,-43.7957732673001
121,-35.85510000122
122,-43.6737029634403
123,-44.6624724247047
124,-48.2025112366389
125,-50.1800501591677
126,-42.6849335021759
127,-46.5576138921281
128,-42.7062958053514
129,-40.158078212278
130,-50.0671351280974
131,-52.148433808907
132,-56.698604385281
133,-56.7657430524039
134,-51.235958287555
135,-46.7193570447423
136,-44.2230193308094
137,-43.1457488992466
138,-44.2260710884059
139,-49.7192347620969
140,-51.8646203524329
141,-53.671260849558
142,-51.6143762295203
143,-49.9053919754831
144,-48.2818569341478
145,-48.8067592407449
146,-45.0195280634946
147,-44.3939177562131
148,-49.9877894305885
149,-55.0811728591387
150,-54.8522910394016
151,-48.0956997207616
152,-44.1863982396514
153,-39.9688692412953
154,-41.4947480395428
155,-48.5412563298498
156,-53.948970790839
157,-56.3018758977367
158,-52.5848351452058
159,-48.9746059085521
160,-48.2116665094284
161,-46.6430631048299
162,-48.1933559638494
163,-47.3815884431817
164,-52.6489220547322
165,-54.6508750380329
166,-55.169673829437
167,-52.4993859325039
168,-51.4282190161341
169,-48.3581508740601
170,-44.7784392133715
171,-42.9534881706675
172,-37.2589084956077
173,-46.618649044058
174,-51.809688715696
175,-53.4942589089613
176,-51.9012414435909
177,-52.9968224207326
178,-51.6326867750993
179,-44.0826384813706
180,-45.2941862471791
181,-44.8486296380909
182,-43.3868377493697
183,-47.863766143428
184,-51.0894739229232
185,-52.0294152626437
186,-49.374386153693
187,-47.1069302594972
188,-43.7377898729667
189,-43.862911934423
190,-40.9912080361212
191,-40.9423799145772
192,-45.7092252803025
193,-49.3194545169561
194,-49.3713343960965
195,-49.5330775487107
196,-47.7294888091822
197,-45.6542936435656
198,-39.6179171176984
199,-40.6036348213663
200,-41.989132770175
201,-38.037106682714
202,-46.008297524759
203,-49.4323695480264
204,-48.3093227525162
205,-47.2503628665325
206,-45.7763639474254
207,-45.8007780081973
208,-46.1273160710223
209,-44.3634001802482
210,-40.5944795485768
211,-39.1082735990837
212,-44.7174040614416
213,-48.727413543236
214,-49.2614711226227
215,-49.0814174244295
216,-47.5830044445504
217,-45.4986540061443
218,-46.4080777698998
219,-44.8425261228979
220,-44.436642362564
221,-47.6379360812873
222,-44.6502653943187
223,-47.5707974141644
224,-48.2665981461653
225,-47.3358120792343
226,-47.9217495377614
227,-45.7824674626183
228,-42.901608291527
229,-42.9809539890359
230,-41.3330048869286
231,-40.5181856086644
232,-41.711422828894
233,-41.8670624663152
234,-47.9919399624807
235,-50.6591761018174
236,-49.5513880942897
237,-49.7436488228689
238,-48.1628383878845
239,-48.3825649348321
240,-45.7794157050218
241,-46.3348355875839
242,-45.071407942635
243,-42.617794835053
244,-46.914669530918
245,-49.8718226419217
246,-50.0244105217464
247,-49.8321497931672
248,-48.41918602599
249,-46.5972867408825
250,-46.1547818893907
251,-44.9951140027226
252,-43.4661834468786
253,-44.5312468480554
254,-45.3521696415125
255,-48.9440883325872
256,-50.2441370686941
257,-49.7955287020093
258,-50.1190150072378
259,-49.4934046999563
260,-49.0264857876926
261,-47.0458951075673
262,-44.1558806636865
263,-44.0185515718442
264,-44.8211638197224
265,-44.8944060020383
266,-46.6491666200229
267,-49.4079554872544
268,-49.2797816682016
269,-50.1647913711852
270,-48.8189662711309
271,-48.1384243271125
272,-48.165890145481
273,-47.821041537077
274,-48.5931362089903
275,-44.5373503632484
276,-45.1354948521614
277,-45.4803434605653
278,-48.9532436053767
279,-50.2227747655186
280,-49.9816859153955
281,-48.41918602599
282,-48.2208217822179
283,-47.5982632325329
284,-47.0916714715147
285,-45.6359830979866
286,-43.0786102321238
287,-41.1743134919109
288,-45.3155485503546
289,-47.5341763230065
290,-47.2015347449885
291,-47.8179897794805
292,-46.6522183776194
