"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,391.6,-4.88281215437425
2,2892.4,-4.27246063515518
3,1596.5,-5.49316367357111
4,2945.9,-4.88281215446307
5,2562.55,-4.88281215446307
6,1334.95,-5.49316367377095
7,720.899999999998,-4.27246063515518
8,231.849999999999,-4.27246063515533
9,329.449999999997,-4.27246063546605
10,2219.75,-4.27246063546619
11,617.549999999996,-4.27246063546605
12,926.699999999997,-5.49316367417063
13,1428.3,-4.27246063546605
14,1220.6,-4.88281215481834
15,756.449999999997,-4.88281215481834
16,321.299999999996,-4.88281215481834
17,1876.25,-4.27246063546612
18,842.799999999996,-4.27246063546605
19,509.5,-5.49316367337127
20,2460.95,-4.27246063608777
21,645.5,-4.27246063484446
22,1987.95,-1567.99305298787
23,2085.09999999999,-4.88281215552888
24,294.849999999991,-4.27246063608777
25,1785.34999999999,-4.27246063608777
26,381.949999999997,-4.8828121541078
27,2003.60000000001,-4.8828121541078
28,1231.85000000001,-5.49316367337127
29,1734.09999999999,-4.27246063608777
30,725.800000000003,-4.88281215410794
31,928.449999999997,-4.27246063608777
32,300.550000000003,-4.8828121541078
33,61.6999999999971,-4.27246063608777
34,1323.75,-4.8828121541078
35,870.800000000003,-4.27246063484446
36,975.949999999997,-4.27246063484432
37,514.600000000006,-4.8828121541078
38,2104.89999999999,-4.27246063608777
39,1942.75,-5.49316367337141
40,654.299999999988,-4.88281215552888
41,1632.7,-4.27246063608791
42,918.149999999994,-4.27246063608777
43,2181.8,-4.8828121541078
44,1546.95,-4.27246063608777
45,1522.99999999999,-4.27246063608777
46,378,-4.27246063484432
47,917.299999999988,-4.27246063608777
48,1443.79999999999,-4.27246063608791
49,1255.59999999999,-5.49316367496999
50,1086.85000000001,-4.27246063608781
51,1345.09999999998,-4.88281215552888
52,80.8499999999767,-4.27246063608777
53,1475.04999999999,-4.27246063608791
54,304.099999999977,-4.88281215552888
55,567.649999999994,-4.27246063608777
56,1605.10000000001,-4.27246063360101
57,1409.69999999998,-4.27246063608777
58,1364.69999999998,-4.88281215552888
