"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,98,-4.88281215437425
2,6633.25,-4.88281215446309
3,789.900000000001,-5.49316367377102
4,2714.05,-4.88281215446321
5,978.350000000002,-5.4931636733713
6,1367.85,-4.88281215446321
7,85,-4.88281215446307
8,1274.4,-5.49316367377095
9,997.75,-4.27246063515521
10,307.5,-4.8828121541078
11,1949.5,-4.27246063546619
12,326.349999999999,-4.88281215481834
13,34.1999999999971,-4.88281215481834
14,520.800000000003,-4.88281215410773
15,1005.39999999999,-4.27246063546619
16,437.849999999999,-4.88281215481841
17,637.800000000003,-4.8828121541078
18,783.700000000004,-5.49316367337131
19,650.849999999999,-4.88281215481834
20,1325.7,-4.88281215481834
21,410.199999999997,-4.88281215481848
22,746.25,-4.88281215410782
23,535.200000000004,-4.88281215410787
24,996.099999999999,-8.54492126968871
25,1120.8,-4.27246063546619
26,795.599999999999,-4.27246063546619
27,683.199999999997,-4.27246063546612
28,301.299999999996,-4.27246063546619
29,113.449999999997,-4.88281215481834
30,385.099999999999,-4.88281215410783
31,47.9499999999971,-983.8866491959
