"Sweep (n)","Peak x (s)","Peak y (mV)"
1,1183.4,37.7807590446084
2,1131.7,38.5131808677672
3,1056.8,39.7033663304003
4,839.5,39.88647178619
5,699.450000000001,39.5507784505755
6,691.5,38.2690402600476
7,620.4,38.6962863235569
8,727.15,38.9099093553116
9,729.850000000002,42.3583954393509
10,658.650000000001,37.9638645003981
11,846.400000000001,39.1235323870662
12,373.800000000003,34.5764135682886
13,589.149999999998,36.7431614618001
14,658.700000000001,38.3605929879424
15,501,36.4074681261856
16,519.100000000002,36.7126438858351
17,448.849999999999,31.1279274842492
18,663.25,36.2853978223258
19,545.849999999999,35.5224584232021
20,665.799999999999,30.1818826293358
21,475.950000000001,28.2897929195089
22,516.25,34.2102026567092
23,303.600000000006,30.4870583889853
24,450.25,22.7355940938879
25,586.550000000003,22.8271468217828
26,455.300000000003,50.6896936777823
27,415.299999999996,51.4221155009411
28,397.549999999996,50.903316709537
29,438.400000000001,49.2248500314647
30,377.5,48.2482876005863
31,371.449999999997,45.1965300040913
32,315.349999999999,40.8019990651385
33,330.200000000004,38.1164523802228
34,226.700000000004,36.0107396386413
35,291.75,34.332272960569
36,284.700000000004,28.5034159512635
37,211.25,26.0925274500324
38,290.800000000003,25.3295880509087
39,257.950000000004,28.2592753435439
40,279.049999999996,26.4282207856469
41,264.25,28.9001444388079
42,261.700000000004,22.705076517923
43,250,20.1110825609022
44,297.300000000003,30.8227517245997
45,269.300000000003,31.1889626361791
46,253.75,25.4821759307334
47,319.600000000006,35.7971166068866
48,268.349999999999,35.3393529674124
49,303.200000000004,37.7807590446084
50,311.099999999999,36.8347141896949
51,261.25,40.3137178496993
52,277.5,35.6140111510969
53,264.900000000001,34.7595190240783
54,311.849999999999,30.4870583889853
55,278.950000000004,30.059812325476
56,242.400000000001,26.6113262414366
57,272.349999999999,24.8718244114344
58,297.949999999997,30.2429177812657
59,258.900000000001,26.5197735135418
60,264.950000000004,17.0593249644072
61,279.550000000003,21.9421371187992
62,242.549999999996,23.4374983410818
63,226.400000000001,22.7355940938879
64,276.349999999999,24.9023419873994
65,219.849999999999,23.7121565247663
66,272.25,20.4772934724816
67,332.699999999997,25.1770001710839
68,238,24.4750959238901
69,311.199999999997,36.4074681261856
70,326.25,37.6281711647836
71,277.600000000006,38.8488742033817
72,241.100000000006,38.4521457158373
73,271.050000000003,40.1611299698745
74,291.25,43.0297821105798
75,290.850000000006,41.9006317998767
76,266.300000000003,43.5790984779489
77,276.800000000003,41.3207978565426
78,308.25,38.6047335956621
79,293.350000000006,37.994382076363
80,303.650000000009,37.994382076363
81,278.050000000003,37.994382076363
82,263.25,37.0788547974145
83,293.449999999997,34.362790536534
84,281.850000000006,30.5786111168801
85,283.25,31.8298317314431
86,236.5,28.9306620147728
87,224.649999999994,31.5856911237235
88,301.300000000003,31.9213844593379
89,293.5,29.2053201984574
90,250.75,25.1770001710839
91,269.550000000003,30.6091286928451
92,251.949999999997,25.4516583547685
93,302,22.5219710621333
94,253.200000000012,26.0314922981025
95,272.5,18.0664049712505
96,268.050000000003,11.5051261387862
97,293.350000000006,8.39233339036132
98,244.5,7.08007762386845
99,307.699999999997,15.319823134405
100,271.550000000003,12.237547961945
101,312.25,18.8293443703743
102,328.149999999994,14.4958485833514
103,283.5,22.9797347016075
104,291.199999999997,22.7966292458178
105,250.25,20.9960922638858
106,229.149999999994,25.0854474431891
107,306.25,22.5219710621333
108,225.349999999991,24.1699201642406
109,347.050000000003,19.622801345463
110,293.900000000009,24.0783674363457
111,271.549999999988,25.2380353230138
112,351.300000000003,21.1486801437105
113,332.900000000009,20.2941880166919
114,266.100000000006,28.1372050396841
115,315.600000000006,19.0734849780939
116,283.699999999997,23.2238753093271
117,322.599999999991,28.6560038310883
