"Sweep (n)","Peak x (s)","Peak y (mV)"
1,402.1,23.9868147084509
2,356.65,25.2075177470489
3,473.05,20.0805649849373
4,518.2,15.0756825266854
5,455.4,9.97924734053873
6,470.1,4.21142548316313
7,352.15,22.5524886380982
8,638.05,17.3645007240567
9,522.35,26.1230450259974
10,398.25,26.977537153016
11,330.2,26.2756329058222
12,481.1,27.4963359444202
13,341.85,26.0925274500324
14,421.199999999999,21.1791977196755
15,478.1,15.8691395017741
16,399,23.5290510689766
17,401.849999999999,17.761229211601
18,452.049999999999,25.0244122912592
19,332.300000000001,27.0385723049459
20,427.5,27.8930644319645
21,495,29.1442850465275
22,537.85,27.5573710963501
23,647.599999999999,24.2614728921354
24,476.200000000001,25.3601056268736
25,439.75,24.6887189556447
26,274.25,18.0053698193206
27,305.450000000001,9.00268490966032
28,396.199999999997,15.5334461661597
29,450.050000000003,19.9584946810775
30,426.449999999997,22.1557601505539
31,622.549999999999,25.3601056268736
32,534.399999999998,27.7099589761748
33,573.700000000001,29.8767068696863
34,617.099999999999,28.6254862551233
35,504.649999999998,28.5949686791584
36,502.950000000001,28.8696268628429
37,642.150000000001,28.4118632233687
38,472.950000000001,22.8881819737127
39,428.950000000001,18.6462389145846
40,507.75,13.8244619121225
41,615.299999999999,10.1623527963284
42,284.799999999999,-5.27954064193639
43,514.5,29.4799783821419
44,750.150000000001,37.2314426772393
45,539.800000000003,40.1306123939096
46,408,37.0788547974145
47,484.800000000003,36.8652317656599
48,520.400000000001,38.2080051081177
49,388.699999999997,37.8112766205733
50,332.100000000006,34.3933081124989
51,565.199999999997,34.7595190240783
52,614.650000000001,37.994382076363
53,459.650000000001,35.7971166068866
54,352.650000000001,36.4074681261856
55,559.200000000004,38.2080051081177
56,428.75,36.8652317656599
57,514.050000000003,40.8019990651385
58,441.050000000003,36.4990208540805
59,450.75,38.7268038995219
60,388.25,40.0390596660147
61,354.400000000001,36.1328099425011
62,412.699999999997,36.80419661373
63,335.550000000003,37.4755832849589
64,372.699999999997,35.3393529674124
65,348,36.6821263098702
66,439.049999999996,32.7148414344267
67,406.349999999999,36.4685032781155
68,403.799999999996,36.8347141896949
69,395.349999999999,34.6374487202185
70,357.549999999996,34.0576147768845
71,448.899999999994,38.0859348042579
72,401.449999999997,33.8439917451298
73,386.799999999996,34.4238256884639
74,371.199999999997,31.9824196112678
75,460.150000000001,32.7758765863566
76,481.650000000001,31.4025856679338
77,373.849999999999,36.6516087339052
78,362.399999999994,33.752439017235
79,435.549999999996,33.5998511374102
80,535.299999999996,32.8979468902164
81,466.699999999997,31.1279274842492
82,437.050000000003,32.0739723391627
83,454.25,33.5998511374102
84,473.549999999996,29.418943230212
85,839.350000000006,31.4331032438987
86,408.25,36.3464329742557
87,456.200000000004,35.4614232712722
88,535.649999999994,33.8439917451298
89,516.150000000009,35.4919408472371
90,1564.34999999999,28.9306620147728
91,568.25,32.6538062824968
92,647.899999999994,34.362790536534
93,618.699999999997,35.0646947837278
94,461.600000000006,32.8369117382865
95,400.899999999994,30.4870583889853
96,528.350000000006,27.4963359444202
97,502.400000000009,29.7546365658265
98,573.650000000009,26.0314922981025
99,425.949999999997,29.7546365658265
100,536.350000000006,30.0903299014409
101,630.100000000006,22.7661116698529
102,788.100000000006,22.705076517923
103,533.949999999997,22.2473128784487
104,914.75,16.7541492047577
105,484.5,16.5100085970381
106,592.050000000003,17.761229211601
107,613.400000000009,13.1835928168585
