"Sweep (n)","RR (ms)"
1,NA
2,541.85
3,649.35
4,745.75
5,728.2
6,694.65
7,688
8,702.5
9,923.55
10,792.55
11,683.349999999999
12,706.05
13,760.05
14,625.85
15,697.949999999999
16,825.75
17,682
18,799.049999999999
19,784.450000000001
20,743.35
21,707.799999999999
22,845.450000000001
23,821.9
24,933.65
25,749.650000000001
26,758.049999999999
27,765
28,702.700000000001
29,760.199999999997
30,825.550000000003
31,747.999999999996
32,903.75
33,786.200000000001
34,891.400000000001
35,883.099999999999
36,817.5
37,802.950000000001
38,909.5
39,773.549999999999
40,741.950000000001
41,815.599999999999
42,868.25
43,557.200000000001
44,2363.25
45,999.550000000003
46,792.349999999999
47,646.5
48,740
49,776.150000000001
50,616.149999999994
51,567.100000000006
52,783.049999999996
53,829.450000000004
54,686.449999999997
55,637.849999999999
56,810.050000000003
57,658.599999999999
58,763.75
59,678.099999999999
60,702.900000000001
61,647.849999999999
62,610
63,642.599999999999
64,548.150000000001
65,625.699999999997
66,587.75
67,672.75
68,651.900000000001
69,631.5
70,620.75
71,589.599999999999
72,670.25
73,662.550000000003
74,607.199999999997
75,635.650000000001
76,682.050000000003
77,708.699999999997
78,623.099999999999
79,653.5
80,655.150000000001
81,761.349999999999
82,693.900000000001
83,657.300000000003
84,736.849999999999
85,669.799999999996
86,1035.35000000001
87,623.099999999999
88,704.650000000001
89,754.399999999994
90,724.900000000009
91,1761.09999999999
92,773.900000000009
93,847.399999999994
94,835.949999999997
95,706.650000000009
96,604.349999999991
97,734.800000000003
98,700.600000000006
99,786.25
100,758.399999999994
101,739.75
102,827
103,952.800000000003
104,725.899999999994
105,1103.15000000001
106,667.899999999994
107,801.050000000003
108,829.75
109,788.699999999997
