"Sweep (n)","RR (ms)"
1,NA
2,334.35
3,362.8
4,348.8
5,370.5
6,354.95
7,352
8,355.45
9,327
10,337.25
11,342.85
12,343.3
13,340.25
14,331.5
15,337.150000000001
16,326.549999999999
17,333.6
18,315.05
19,327.099999999999
20,309.05
21,333.65
22,287.900000000001
23,318.3
24,284.099999999999
25,309.35
26,286.199999999999
27,300.400000000001
28,308.4
29,303.949999999999
30,283.900000000001
31,276.299999999999
32,325.35
33,303.549999999999
34,291.950000000001
35,301.25
36,278.799999999999
37,261.9
38,260.1
39,311.35
40,303.5
41,277.4
42,266.35
43,242.799999999999
44,270.550000000001
45,257.549999999999
46,273.299999999999
47,253.450000000001
48,239.799999999999
49,275.900000000001
50,242.15
51,240.25
52,214.949999999999
53,241.800000000001
54,255.949999999999
55,244.15
56,246.450000000001
57,248.900000000001
58,236
59,230.199999999997
60,243.900000000001
61,237.599999999999
62,241.400000000001
63,224.549999999999
64,275.5
65,210.600000000002
66,239.849999999999
67,282.5
68,225.650000000001
69,226.849999999999
70,252.099999999999
71,218.650000000001
72,277.700000000001
73,252.450000000001
74,282.599999999999
75,643.849999999999
76,226.950000000001
77,272
78,258.650000000001
79,275.299999999999
80,306.599999999999
81,230.5
82,246.350000000002
83,242.149999999998
84,282.950000000001
85,282.700000000001
86,377.950000000001
87,262.799999999999
88,251.349999999999
89,262.299999999999
90,274.200000000001
91,271.100000000002
92,319.099999999999
93,287.799999999999
94,264.150000000001
95,435.049999999999
96,246.099999999999
97,245.450000000001
98,269.100000000002
99,487.049999999999
100,435.75
101,354.25
102,294.899999999998
103,248.950000000001
104,279.650000000001
105,272.5
106,255.75
107,273.549999999999
108,268.75
109,291.450000000001
110,308.599999999999
111,288.099999999999
112,272.450000000001
113,233.049999999999
114,247.050000000003
115,313
116,286.849999999999
117,317.349999999999
118,278.300000000003
119,273.049999999996
120,240.300000000003
121,250.599999999999
122,278.25
123,433.599999999999
124,277.450000000004
125,253.799999999996
126,261.100000000006
127,261.549999999996
128,222.599999999999
129,235.550000000003
130,284.849999999999
131,283.5
132,259.700000000004
133,296.899999999994
134,310.700000000004
135,263.799999999996
136,258.25
137,268.550000000003
138,263.800000000003
139,270.75
140,256.25
141,283.349999999999
142,263.650000000001
143,279.25
144,263.899999999994
145,252.900000000001
146,252.099999999999
147,249.200000000004
148,267.25
149,262.099999999999
150,291.25
151,315.5
152,256.800000000003
153,267.75
154,521.249999999993
155,280.400000000001
156,238.349999999999
157,301.650000000001
158,295.900000000001
159,280.300000000003
160,231.099999999999
161,267.099999999999
162,256.449999999997
163,252.650000000001
164,296.050000000003
165,262.599999999999
166,305.400000000001
167,286.900000000001
168,272.349999999999
169,228.849999999999
170,215.550000000003
171,193.199999999997
172,198.400000000001
173,231.849999999999
174,186.75
175,221
176,235.900000000001
177,238.5
178,232.900000000001
179,228.949999999997
180,225.400000000001
181,194.949999999997
182,206.349999999999
183,208
184,205.550000000003
185,220.800000000003
186,219.799999999996
187,213.650000000001
188,206.150000000001
189,210.949999999997
190,208.349999999999
191,198.75
192,212.050000000003
193,203.800000000003
194,205.399999999994
195,217.100000000006
196,220.349999999999
197,217.199999999997
198,182.650000000001
199,216.75
200,185.849999999999
201,196.950000000004
202,478.099999999999
203,204.699999999997
204,206.050000000003
205,208.099999999999
206,204.849999999999
207,201.150000000001
208,194.5
209,201.150000000001
210,192.349999999999
211,200.75
212,243.900000000001
213,223.599999999999
214,220.949999999997
215,239.550000000003
216,218.800000000003
217,205.099999999999
218,200.650000000001
219,199.5
220,198.449999999997
221,199.25
222,193.800000000003
223,247.599999999999
224,212.150000000001
225,209.75
226,196.25
227,195.25
228,207.649999999994
229,185.550000000003
230,196.949999999997
231,187.75
232,199.599999999999
233,186.700000000004
234,259.699999999997
235,205.25
236,188.800000000003
237,213.349999999999
238,224.650000000001
239,237.549999999996
240,204.300000000003
241,204.75
242,206.900000000001
243,198.049999999996
244,195.050000000003
