"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,1143.45,7.93456975085819
2,1099.15,8.54492127015498
3,1014.15,8.54492127015497
4,793.950000000001,7.32421823169464
5,666.549999999999,7.93456975100252
6,650.35,6.7138667121425
7,589.700000000001,6.7138667121425
8,688,6.71386671238675
9,698.049999999999,8.5449212703104
10,608.200000000001,6.71386671238675
11,805.700000000001,7.32421823169464
11,807.350000000002,7.32421823169464
12,329.900000000001,6.10351519307886
13,553.599999999999,6.10351519307891
14,616.25,6.71386671238675
15,456.349999999999,5.493163673771
16,482.650000000001,6.71386671238672
17,405.399999999998,5.49316367377099
18,603.75,5.49316367377097
19,500.650000000001,6.10351519263478
20,521.650000000001,4.88281215446307
21,434.200000000001,4.88281215446314
22,485.299999999996,6.10351519352299
23,271.100000000006,5.49316367337127
24,419.049999999996,4.88281215481837
25,547.900000000001,4.88281215481837
26,427.700000000004,9.15527278895215
27,386.049999999996,9.15527279028446
28,363.5,9.15527278895215
29,405.450000000004,8.5449212696887
30,346.949999999997,8.54492126968871
31,333.149999999994,7.93456975157985
32,286,6.10351519263478
33,302,5.49316367417063
34,199.700000000004,5.49316367337131
35,260.349999999999,4.88281215410787
36,254.950000000004,4.8828121541078
37,186.599999999999,4.88281215410783
38,266.650000000001,4.88281215481837
39,231.349999999999,4.88281215481841
40,251.299999999996,4.88281215481836
41,255.849999999999,4.8828121541078
42,224.200000000004,4.27246063484434
43,216.25,4.27246063546608
44,268.349999999999,5.49316367417063
45,232.150000000001,4.88281215481837
46,217.549999999996,4.27246063546606
47,286.050000000003,5.4931636733713
48,243.599999999999,6.10351519352299
49,272.099999999999,6.10351519352294
50,281.199999999997,5.49316367417067
50,282.299999999996,5.49316367417067
51,229.049999999996,6.71386671287525
52,253.550000000003,6.10351519263478
53,235.050000000003,6.71386671189826
54,279.5,5.49316367417063
55,255.300000000003,5.49316367337131
56,213.699999999997,4.88281215481837
57,229.950000000004,4.27246063484434
58,270.449999999997,5.49316367337131
59,92.5999999999985,4.27246063546612
60,238.200000000004,4.27246063484436
61,561.349999999999,4.27246063546619
62,202.549999999996,4.27246063546606
63,185.199999999997,4.27246063546606
64,157.25,4.27246063546619
65,34.1500000000015,4.8828121541078
65,198.300000000003,4.8828121541078
65,454.450000000004,4.8828121541078
66,235.299999999996,4.88281215481836
67,307.399999999994,4.27246063608781
68,205.100000000006,4.88281215410781
69,282.349999999991,6.1035151944111
70,302.75,6.10351519263482
71,245.699999999997,6.10351519441117
72,214.649999999994,5.49316367496999
73,238.599999999991,5.49316367497005
74,262.949999999997,6.10351519441114
75,268.600000000006,6.71386671189826
76,232.949999999997,7.32421823116173
77,252.149999999994,6.1035151944111
78,277.350000000006,6.71386671189825
79,260.350000000006,6.10351519263478
80,279.800000000003,5.49316367337129
81,254.199999999997,7.32421823116173
82,239.049999999988,5.49316367497003
83,260.400000000009,5.49316367337129
84,249.100000000006,5.4931636733713
85,252.149999999994,5.49316367497002
85,253.899999999994,5.49316367497002
86,216.800000000003,5.49316367337127
87,197,4.8828121541078
87,203,4.8828121541078
88,274.350000000006,4.88281215410787
88,276.650000000009,4.88281215410787
89,263.550000000003,4.88281215410782
90,152.149999999994,4.27246063608784
91,243.050000000003,5.49316367337134
92,213.599999999991,4.27246063608781
93,270.399999999994,4.88281215410783
94,197.400000000009,4.88281215410787
95,209.149999999994,4.88281215410783
96,113.949999999997,4.27246063484439
96,457.300000000003,4.27246063484439
97,620.950000000012,4.27246063484446
98,461.350000000006,4.27246063484446
99,270.649999999994,4.2724606360878
100,201.149999999994,4.27246063608777
101,249.599999999991,4.88281215552892
102,286.849999999991,4.27246063608779
103,526.649999999994,5.49316367337141
104,258.149999999994,4.88281215410782
105,536.300000000003,4.27246063484439
106,210.299999999988,4.88281215552888
107,263.899999999994,4.27246063608781
108,207.399999999994,4.27246063484436
109,328.849999999991,4.27246063608781
110,266.75,5.49316367337131
111,251.549999999988,4.27246063608784
112,316.5,4.27246063608779
113,306.949999999997,4.27246063608779
114,239.600000000006,4.88281215410783
115,279,4.27246063608781
116,265.549999999988,4.27246063608777
117,300.899999999994,4.88281215410783
