"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,65.05,4.27246063509204
2,330.8,4.88281215439648
3,457.4,4.88281215437425
4,111.8,4.27246063511633
4,248.65,4.27246063511633
5,36.1999999999998,4.27246063511633
6,581.15,4.88281215437425
7,330.45,4.88281215437429
8,609.95,4.27246063507749
9,469.7,4.88281215437425
10,381.45,4.27246063515518
11,310.299999999999,4.2724606351552
12,452,4.8828121544631
13,322.549999999999,4.8828121544631
14,407.75,4.88281215428547
15,218.950000000001,4.88281215446321
16,208.15,4.27246063515526
17,113.5,4.88281215428543
18,663.599999999999,4.27246063515526
19,312.950000000001,4.88281215446314
20,410.1,5.49316367377095
21,480.799999999999,5.49316367377095
21,481.099999999999,5.49316367377095
22,521.35,4.8828121542854
23,450.549999999999,4.27246063515526
23,633.049999999999,4.27246063515526
24,251.549999999999,4.88281215446307
25,871.75,4.88281215446314
26,246.649999999998,4.27246063515521
27,84.3999999999978,4.27246063515518
28,362.549999999999,4.27246063515521
29,428.550000000003,5.49316367337127
30,405.199999999997,4.27246063515522
31,595.75,4.27246063515521
31,596.25,4.27246063515521
32,508.149999999998,6.10351519307889
33,548.349999999999,4.8828121544631
33,551.5,4.8828121544631
34,593.450000000001,4.88281215410781
35,482.5,4.88281215410783
36,483.950000000001,4.88281215446312
37,624.25,5.49316367377099
38,100.400000000001,4.27246063515526
39,402.299999999999,4.27246063515521
40,334.400000000001,5.49316367377095
41,873.400000000001,4.88281215410787
42,258.649999999998,6.10351519307887
43,492.449999999997,5.49316367417067
43,496.099999999999,5.49316367417067
44,737.949999999997,6.71386671287529
45,522.550000000003,7.32421823116171
46,392.900000000001,6.71386671189822
47,468.5,7.32421823222751
48,500.699999999997,6.71386671287525
49,375.300000000003,7.93456975042517
50,317.900000000001,6.10351519352296
51,550.150000000001,7.32421823116169
52,597.349999999999,6.71386671189826
53,442.849999999999,6.71386671287525
54,334.400000000001,6.71386671287525
55,543.850000000006,7.32421823116171
56,416.449999999997,6.71386671287522
57,501,8.54492127093216
58,430.550000000003,6.71386671189822
59,434.549999999996,7.32421823222758
60,372.949999999997,8.54492127093216
61,341.099999999999,7.32421823222758
62,394.349999999999,7.9345697504252
63,318.350000000006,6.71386671189829
64,357.349999999999,6.10351519352299
65,333.950000000004,7.32421823116173
66,424.299999999996,6.10351519352296
67,387,7.93456975042521
68,389.649999999994,6.71386671287525
69,379.199999999997,6.10351519352296
70,342.449999999997,6.10351519352292
70,344.449999999997,6.10351519352292
71,432.25,6.71386671189822
71,434,6.71386671189822
72,381.75,6.71386671189826
73,370.900000000001,6.1035151926348
74,355.549999999996,5.49316367417065
75,446.5,6.71386671189829
76,467.650000000001,6.71386671287529
77,358.150000000001,7.32421823116177
78,344.5,6.71386671189829
79,418.049999999996,7.32421823222753
80,520.549999999996,6.71386671287525
81,453.400000000001,7.32421823116177
82,424.5,6.10351519352299
83,438,7.32421823116173
84,458.449999999997,4.88281215481837
84,460.799999999996,4.88281215481837
85,825.950000000004,6.10351519263482
86,391.599999999999,6.71386671189829
87,445.450000000004,7.32421823116177
88,520.75,5.49316367337134
89,501.300000000003,6.10351519263482
90,1547.79999999999,5.49316367497003
91,556.699999999997,7.32421823116173
92,631.899999999994,6.71386671189826
93,606.149999999994,6.10351519441117
94,448.25,6.71386671189826
95,386.349999999991,5.49316367497006
96,513.300000000003,6.10351519263478
97,487.199999999997,5.49316367497003
98,554.199999999997,4.8828121555289
98,554.449999999997,4.8828121555289
99,411.75,6.10351519263475
100,519.450000000012,5.49316367337131
101,613.400000000009,4.88281215410783
102,773.350000000006,4.88281215410783
103,519.850000000006,5.49316367337131
104,45,4.8828121541078
104,1025.09999999999,4.8828121541078
105,476.449999999997,4.8828121541078
106,581.649999999994,4.27246063608781
107,770.5,4.88281215552888
