"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,182.35,16.4794910210881
1,182.9,16.4794910210881
2,180.65,20.1416001368855
3,129.6,15.258787982489
3,129.85,15.258787982489
3,130.05,15.258787982489
4,125.5,27.4658183684802
5,111.8,18.9208970983724
6,138.25,15.2587879825584
7,172.65,12.8173819052325
7,173.15,12.8173819052325
8,154.55,15.2587879825584
9,134.65,20.7519516564681
10,132.1,14.6484364631228
11,133.75,13.4277334245293
12,101.3,14.6484364631228
13,111.35,14.038084943826
14,149.8,14.038084943826
15,175.75,14.038084943826
15,176.3,14.038084943826
16,134.599999999999,14.038084943826
17,146.9,12.2070303859357
18,125.55,12.8173819052325
19,138.699999999999,14.0380849440814
20,111.849999999999,12.8173819054656
21,138.65,12.8173819054656
22,187.949999999999,12.8173819054656
23,130.949999999999,12.2070303861577
24,151.200000000001,13.4277334247735
24,151.75,13.4277334247735
25,117.799999999999,12.2070303861577
26,145.199999999999,12.2070303861577
27,171.200000000001,12.8173819049993
28,159,11.5966788668499
28,159.200000000001,11.5966788668499
29,126.950000000001,12.2070303861577
30,104.950000000001,10.9863273471423
31,134.700000000001,11.5966788668498
32,158.65,11.5966788668499
33,165.75,10.3759758282341
34,151.75,10.3759758282341
34,152.65,10.3759758282341
35,166.25,11.5966788668499
36,167.75,10.3759758282341
37,144.349999999999,10.986327347542
38,155.25,10.3759758282341
39,203.75,10.3759758282341
39,204.049999999999,10.3759758282341
40,145.799999999999,10.986327347542
41,178.649999999998,11.5966788668499
42,202,11.5966788668499
43,162.950000000001,11.5966788668498
44,195.099999999999,10.3759758282341
45,148.049999999999,10.3759758282341
46,140.049999999999,10.3759758282341
47,186.600000000002,10.9863273467426
48,178.75,10.3759758282341
49,189.75,10.3759758282341
49,189.950000000001,10.3759758282341
50,148.100000000002,10.9863273467426
51,167.25,11.5966788668498
51,167.549999999999,11.5966788668498
52,183.150000000001,10.3759758274791
53,196.349999999999,10.3759758282341
54,190.450000000001,10.3759758282341
55,194.400000000001,10.3759758282341
56,193.400000000001,10.9863273475419
57,170.400000000001,9.15527278961832
58,233,10.3759758282341
59,186.75,10.986327347542
60,206.25,9.76562430892621
61,192.049999999999,10.986327347542
62,217.450000000001,10.3759758282341
63,212.549999999999,9.76562430892618
64,202.349999999999,9.15527278961829
65,123.200000000001,8.54492127031041
66,185,9.76562430892618
67,160.450000000001,10.986327347542
68,164.800000000003,14.03808494306
69,206.299999999996,12.8173819063982
70,172.449999999997,14.03808494306
71,178.400000000001,13.4277334257506
72,183.349999999999,13.4277334257505
73,183.699999999997,13.4277334257505
74,162.049999999996,12.8173819063982
75,167.5,12.2070303870459
76,218.699999999997,12.817381904533
77,190.75,12.2070303852696
78,193.5,12.8173819063982
79,179.799999999996,11.5966788676936
80,163.75,11.5966788660061
81,205.199999999997,10.9863273483413
82,177.200000000004,11.5966788660061
83,158.349999999999,10.375975828989
84,162.349999999999,10.9863273483413
85,200.25,11.5966788676936
86,181.199999999997,10.9863273483413
87,186,11.596678866006
88,176.900000000001,12.2070303852695
89,200.449999999997,11.5966788676936
90,170.900000000001,11.5966788660061
91,166.899999999994,10.9863273483413
92,177.499999999993,11.5966788676936
93,207.950000000004,11.5966788660061
94,170.949999999997,12.2070303870459
95,183.449999999997,10.375975828989
96,173.75,11.5966788660061
97,184.599999999999,12.2070303870459
98,183.799999999996,10.375975828989
99,207.5,11.5966788660062
100,171.799999999996,10.9863273483413
100,172.049999999996,10.9863273483413
101,178,12.2070303852696
102,193.099999999999,10.9863273483413
103,177.150000000001,11.5966788676936
104,200.849999999999,11.5966788660061
105,204.900000000001,11.5966788676936
106,187.649999999994,10.9863273483413
107,219.099999999999,10.375975828989
108,174.400000000001,10.9863273483413
109,162.949999999997,10.9863273467426
110,192.849999999999,10.9863273483413
111,216.75,11.5966788660061
112,167.199999999997,10.9863273483413
113,208.549999999996,11.5966788676936
114,171.099999999999,12.2070303852696
115,186.449999999997,10.9863273483413
115,186.799999999996,10.9863273483413
116,181.099999999999,11.5966788676936
116,182.199999999997,11.5966788676936
117,208.799999999996,10.3759758289891
118,181.5,11.5966788660061
119,214.300000000003,12.817381904533
120,188.849999999999,12.207030387046
121,227.149999999994,11.5966788676936
122,191.649999999994,11.5966788676936
123,193.75,10.9863273483413
124,177.450000000004,10.9863273467426
125,180.75,10.3759758274791
125,181.599999999999,10.3759758274791
126,197.949999999997,10.9863273483413
127,156.699999999997,10.375975828989
128,198,10.3759758274791
129,182.900000000001,11.5966788660061
129,183.450000000004,11.5966788660061
130,184.400000000001,10.9863273483413
131,207.049999999996,11.5966788676936
131,207.199999999997,11.5966788676936
132,193.5,12.817381904533
133,176.349999999999,11.5966788676937
134,189.900000000001,10.9863273467426
135,206.149999999994,10.9863273483413
136,174.300000000003,11.5966788660061
137,183.949999999997,11.5966788676936
138,205.699999999997,12.2070303870459
139,214.300000000003,11.5966788660061
139,214.850000000006,11.5966788660061
140,184.649999999994,10.375975828989
141,180,11.5966788676936
142,172.599999999999,10.375975828989
143,206.299999999996,10.98632734994
144,161.199999999997,9.76562430821566
145,239.149999999994,10.9863273499401
146,196.699999999997,10.9863273467426
147,190.5,10.3759758274791
147,190.550000000003,10.3759758274791
148,220.650000000009,11.5966788660061
149,196,10.9863273467426
150,210.549999999988,10.3759758304989
150,211.299999999988,10.3759758304989
151,198.949999999997,11.5966788660061
152,170.800000000003,9.15527278895219
153,192.699999999997,9.15527278895219
154,89.5499999999884,4.8828121555289
155,141.449999999997,4.27246063608779
156,138.649999999994,4.88281215552891
157,153,4.88281215410783
157,244.599999999991,4.88281215410783
158,192.900000000009,6.10351519263477
159,191.350000000006,5.49316367337131
160,185.699999999997,5.49316367337131
161,165,5.49316367337129
162,258.550000000003,6.1035151926348
163,176.950000000012,5.49316367337127
164,140.75,4.88281215410782
165,232.300000000003,6.10351519263482
166,207.549999999988,5.49316367497003
167,191.850000000006,6.10351519263478
168,196,4.88281215410783
169,206.25,4.88281215552888
170,160.050000000003,5.49316367337131
171,156.699999999997,5.49316367337131
172,217.149999999994,6.10351519441113
173,192.050000000003,6.10351519263478
174,186.349999999991,5.49316367497002
175,198.649999999994,5.49316367497003
176,297.649999999994,6.1035151944111
177,178.949999999997,6.10351519263478
178,206.900000000009,6.10351519263478
179,217.449999999997,6.10351519441112
180,192.649999999994,6.10351519263478
181,180.5,5.49316367497001
182,262.25,5.4931636733713
183,165.200000000012,5.4931636733713
184,211.75,5.49316367497001
185,179.650000000009,6.10351519263478
186,172.099999999991,4.8828121555289
187,291.299999999988,5.49316367497002
188,212.350000000006,5.4931636733713
189,193.199999999997,5.49316367497001
190,74.5,4.88281215410787
191,208.550000000003,5.4931636733713
192,270.799999999988,5.49316367497001
193,270.949999999997,5.49316367337131
194,244.599999999991,5.49316367497003
195,188.349999999991,5.49316367497002
196,219.100000000006,5.4931636733713
197,205.5,6.71386671385225
198,222,5.4931636733713
199,227.699999999997,4.88281215552892
200,213.150000000009,5.49316367337131
201,194.599999999991,5.49316367337131
202,221.75,4.88281215552891
203,231.800000000003,6.10351519263478
204,215.75,5.4931636733713
205,151.800000000003,6.71386671189826
206,161.800000000003,6.10351519263478
207,323.050000000003,5.49316367337131
207,324.199999999997,5.49316367337131
208,245.300000000003,5.4931636733713
209,202.299999999988,5.49316367497002
210,710.5,5.49316367497002
211,0.399999999994179,34.7900365980186
212,383.300000000003,7.93456975042524
213,208,7.32421823116169
214,260.149999999994,7.93456975273447
215,282.800000000003,7.93456975042524
216,280.400000000009,7.32421823116173
217,282.5,7.32421823116177
218,282.5,7.9345697504252
219,245.050000000003,7.93456975042522
220,259.449999999997,8.54492127217561
221,543.050000000003,7.9345697504252
222,296.849999999991,7.93456975042524
223,270.300000000003,8.54492126968867
