"Sweep (n)","APA (mV)"
1,76.7028754303059
2,69.7784374438587
3,67.0776319709606
4,67.462153428119
5,62.3840287875513
6,65.7348586285028
7,64.2394974062202
8,62.5701860009375
9,28.6621073462813
10,25.430296051593
11,33.7005591380945
12,20.2301011071655
13,35.3729223009738
14,36.6699192794842
15,32.0983863999347
16,30.7281472391084
17,33.6151099253927
18,39.227292145347
19,33.3190894385327
20,31.5246559717936
21,31.2133766969511
22,31.2286354849336
23,30.8807351189331
24,41.6656464649466
25,35.0280736925699
26,32.0861793695487
27,39.9169893621549
28,40.5456514270329
29,29.2236307440363
30,29.1992166832644
31,38.2415744416791
32,47.5097622622345
33,44.769283940582
34,42.2363251354911
35,55.484004861876
36,40.9179658538053
37,46.5728726801106
38,45.3124967927581
39,57.8002888776158
40,50.7202112537473
41,53.4912071513648
42,56.2805135945612
43,53.9123496996811
44,57.4462849964223
45,54.8706015849805
46,50.9124719823265
47,57.7545125136683
48,56.6528280213336
49,54.4128379455063
50,53.1982384221013
51,51.3885461673797
52,47.0764126835322
53,54.0801963674883
54,54.1961631561551
55,50.4730188884312
56,50.8361780424141
57,51.6052209567308
58,48.0163540232527
59,48.2604946309723
60,54.4586143094537
61,55.0720175863492
62,53.659053819172
63,52.0141564746612
64,54.8889121305595
65,47.0642056531463
66,50.6530725866244
67,55.8135946822975
68,55.798335894315
69,54.6783408564013
70,56.4300497167895
71,55.6732138328587
72,51.3946496825727
73,57.2051961462992
74,50.0671351280974
75,51.8066369580995
76,50.4119837365013
77,50.3936731909223
78,47.4426235951116
79,50.588985677098
80,54.6173057044714
81,52.0904504145736
82,53.0578575726625
83,51.9073449587839
84,51.0253870133968
85,48.1933559638494
86,10.1196281899775
87,15.8172596226337
88,49.7802699140268
89,45.3399626111266
90,10.8520500131363
91,8.5235589670106
92,68.9086865288576
93,30.670163844775
94,30.5511452985117
95,25.9063702366463
96,22.4212630614489
97,26.2176495114887
98,24.6582013796798
99,25.454710112365
100,26.2817364210151
101,26.5655498774892
102,31.6436745180569
103,29.8553445665108
104,28.3569315866318
105,29.2785623807733
106,33.5235571974978
107,37.106320615783
108,34.8083471456222
109,37.9302951668366
110,41.6168183434026
111,46.8933072277425
112,38.7756320210658
113,38.7390109299078
114,39.9017305741724
115,42.593380774281
116,43.2708709607029
117,42.0593231948944
118,43.2769744758959
119,44.6807829702836
120,41.4428681604024
121,43.4478729012996
122,43.4631316892821
123,45.2941862471791
124,45.9625211608115
125,45.3186003079511
126,49.9237025210621
127,50.8056604664492
128,48.8067592407449
129,44.3176238163007
130,49.4262660328334
131,49.1241420307804
132,48.745724088815
133,49.2309535466577
134,49.5941127006406
135,51.2573205907304
136,49.0020717269206
137,56.9244344474217
138,58.8470417332135
139,62.7197221231657
140,59.9212604071798
141,57.2753865710186
142,56.137080987526
143,59.1155964017051
144,63.2415726721664
145,65.0421096540984
146,66.2719679654859
147,67.468256943312
148,68.1213330689619
149,71.9879099437211
150,71.3928172124046
151,69.0368603479104
152,71.3836619396151
153,73.306269225407
154,72.4609323711778
155,73.3093209830035
156,73.9746041390394
157,71.8017527303349
158,72.7935739491958
159,74.6368355374788
160,73.2513375886701
161,72.0397898228615
162,73.0529733448979
163,72.4975534623358
164,70.9594676337023
165,69.8669384141571
166,69.1162060454193
167,70.2789256896839
168,69.2291210764896
169,71.0754344223691
170,70.9838816944742
171,72.1008249747914
172,72.8271432827572
173,71.8505808518788
174,72.2747751577917
175,72.65929661495
176,72.8393503131432
177,71.2829539389308
178,70.7946727234916
179,72.2991892185636
180,73.0560251024944
181,74.6826119014262
182,75.3387397846727
183,73.6419625610214
184,73.3734078925299
185,72.9125924954591
186,67.1813917292415
187,72.5158640079148
188,73.2055612247226
189,73.3398385589684
190,73.3276315285824
191,71.2341258173868
192,71.4660593947205
193,72.3937937040549
194,71.469111152317
195,71.2615916357553
196,73.4252877716703
197,72.387690188862
198,74.4995064456365
199,73.4802194084072
200,73.3825631653193
201,74.3743843841802
202,73.7152047433373
203,73.614496742653
204,72.6501413421605
205,74.8840279027949
206,73.7274117737233
207,75.5798286347958
208,74.2401070499344
209,72.991938192968
210,74.9816841458827
211,75.9033149400242
212,73.0560251024944
213,72.1343943083529
214,72.4731394015638
215,75.6439155443222
216,76.3091987003581
217,76.6876166423234
218,76.5380805200952
219,76.5197699745162
220,75.5340522708483
221,77.4017279199033
222,75.711054211445
223,75.3906196638131
224,73.0773874056698
225,76.9531195532185
226,75.3631538454446
227,75.7995551817434
228,76.7486517942533
229,77.4749701022192
230,75.1861519048479
231,71.8994089734228
232,71.432490061159
233,72.3174997641426
234,72.9370065562311
235,71.3073679997027
236,70.4193065391227
237,69.7326610799113
238,68.9941357415595
239,71.4874216978959
240,69.8028515046307
241,70.7549998747371
242,69.897455990122
243,70.3460643568068
244,70.9564158761058
245,69.6472118672094
246,69.4396923506478
247,69.2199658037001
248,70.4742381758596
249,69.6350048368234
250,69.9890087180169
251,71.5484568498258
252,72.6684518877395
253,72.2930857033706
254,71.4904734554924
255,74.1027779580922
256,74.3164009898468
257,77.4108831926928
258,78.9642278093087
259,78.787225868712
260,78.9092961725718
261,80.3893986068719
262,80.5053653955387
263,80.8837833375041
264,81.7047061309613
265,80.5084171531352
266,81.8206729196281
267,82.6324404402958
268,82.6782168042432
269,81.6802920701893
270,81.6650332822068
271,81.3384952193819
272,80.7983341248022
273,80.7220401848899
274,79.5654240558183
275,80.624383941802
276,80.6762638209424
277,79.8095646635379
278,81.2805118250484
279,80.2520695150296
280,81.271356552259
281,80.1574650295383
282,80.1238956959768
283,81.7443789797157
284,80.8196964279777
285,79.9529972705731
286,80.9295597014515
287,82.196039103997
288,81.259149521873
289,78.2501165317289
290,79.718011935643
291,79.6417179957306
292,79.6905461172746
293,80.4870548499597
294,80.5328312139072
295,79.9468937553801
296,81.1553897635922
297,80.8044376399952
298,79.6813908444851
299,78.9764348396947
300,77.8106634378336
301,76.5258734897092
302,75.5462593012343
303,75.3234809966902
304,75.4669136037254
305,73.5229440147581
306,72.8759714043012
307,73.0224557689329
308,73.4710641356177
309,72.8057809795818
310,72.1374460659494
311,74.6826119014262
312,75.5584663316203
313,76.4404242770073
314,76.2817328819896
315,76.3915961554634
316,76.3976996706564
317,76.7181342182884
318,78.2043401677815
319,77.3254339799909
320,75.3814643910236
321,74.188227170794
322,73.6053414698635
323,72.9827829201785
324,74.0295357757763
325,76.6235297327971
326,78.3019964108693
327,78.2165471981675
328,77.3590033135523
329,75.9155219704102
330,75.3021186935147
331,73.7060494705478
332,73.9440865630744
333,74.0356392909693
334,74.3469185658118
335,74.0020699574078
336,72.9186960106521
337,72.8088327371783
338,73.9440865630744
339,77.0019476747624
340,80.322259939749
341,79.6142521773622
342,79.8217716939238
343,79.8797550882572
344,79.0161076884492
345,78.6804143528347
346,77.5268499813596
347,74.8931831755844
348,75.2960151783217
349,76.8371527645517
350,76.7120307030954
351,78.4332219875186
352,78.6895696256242
353,77.7435247707107
354,79.3456975088706
355,78.5888616249399
356,76.5594428232707
357,77.2369330096926
358,78.6529485344662
359,78.3691350779922
360,78.6102239281153
361,79.8614445426783
362,78.0853216215182
363,79.5898381165902
364,76.3854926402704
365,75.6744331202871
366,74.2523140803204
367,73.583979166688
368,73.257441103863
369,72.2015329754758
370,72.4853464319498
371,72.2351023090372
372,71.5698191530013
373,71.6918894568611
374,72.351069097704
375,70.7275340563687
376,72.6196237661956
377,73.8372750471971
378,74.5178169912155
379,75.6713813626906
380,76.4709418529723
381,77.1484320393942
382,75.9002631824277
383,74.2462105651274
384,74.4323677785136
385,73.4100289836878
386,73.0621286176874
387,75.0488228130056
