"Sweep (n)","Ediast (mV)"
1,-47.253414624129
2,-43.7469451457562
3,-42.7856415028602
4,-42.6513641686144
5,-39.221188630154
6,-41.7785614960169
7,-41.1376924007529
8,-40.170285242664
9,-22.711180033116
10,-23.8433821014156
11,-29.153440319317
12,-23.0987532478708
13,-30.8563210581612
14,-30.9020974221086
15,-27.6733378850169
16,-27.6763896426134
17,-29.8919656576688
18,-31.3842751223548
19,-28.3447245562458
20,-28.0456523117893
21,-27.7343730369468
22,-27.932737280719
23,-27.9815654022629
24,-32.9376197389708
25,-29.0771463794046
26,-28.1494120700701
27,-31.9824196112678
28,-31.6955543971973
29,-25.8361798119269
30,-27.1240215176478
31,-31.1614968178107
32,-35.8825658195885
33,-32.8674293142514
34,-31.6162086996884
35,-37.69225807431
36,-29.5043924429139
37,-33.5113501671119
38,-32.6782203432687
39,-37.7197238926785
40,-33.8439917451298
41,-35.1196264204647
42,-36.7492649769931
43,-34.8998998735171
44,-36.5722630363964
45,-35.9802220626763
46,-33.6700415621296
47,-37.094113585397
48,-36.3586400046417
49,-35.2783178154825
50,-34.338376475762
51,-34.2987036270076
52,-31.878659852987
53,-35.6475804846584
54,-35.7025121213953
55,-33.7188696836735
56,-34.4482397492358
57,-34.0576147768845
58,-32.8491187686724
59,-32.7575660407776
60,-36.0870335785537
61,-35.3881810889563
62,-34.9517797526575
63,-33.9172339274457
64,-35.8764623043955
65,-31.7749000947062
66,-33.8989233818667
67,-35.5804418175355
68,-35.595700605518
69,-34.658811023394
70,-35.6475804846584
71,-35.5926488479215
72,-33.5723853190418
73,-36.2091038824135
74,-33.1603980435149
75,-34.5336889619377
76,-33.7493872596385
77,-33.7005591380945
78,-32.3974586443912
79,-33.2244849530413
80,-35.7879613340971
81,-33.8104224115684
82,-34.6862768417624
83,-34.1461157471828
84,-33.9660620489896
85,-33.6364722285682
86,-15.6738270155984
87,-22.409056031063
88,-35.4370092105002
89,-32.4920631298825
90,-17.7185046052501
91,-18.4417711556194
92,-62.6831010320078
93,-28.3203104954738
94,-31.2835671216705
95,-26.9439678194546
96,-26.2664776330327
97,-27.7130107337713
98,-26.8554668491562
99,-26.675413150963
100,-27.3803691557534
101,-27.3895244285428
102,-29.3548563206856
103,-28.3905009201932
104,-27.624509763473
105,-27.8747538863855
106,-28.7933329229305
107,-30.8196999670032
108,-29.2846658959662
109,-30.3924539034939
110,-31.4239479711093
111,-33.12988046755
112,-30.657956814389
113,-30.5297829953362
114,-30.5938699048626
115,-31.4544655470742
116,-31.4910866382321
117,-31.3476540311969
118,-31.1920143937756
119,-32.4127174323736
120,-30.9143044524946
121,-31.9122291865485
122,-32.2936988861103
123,-32.2936988861103
124,-32.5958228881633
125,-32.531735978637
126,-33.413693924024
127,-34.0209936857265
128,-33.3038306505502
129,-31.8359352466361
130,-33.4350562271995
131,-33.407590408831
132,-33.3648658024801
133,-33.6364722285682
134,-33.1146216795675
135,-33.8012671387789
136,-33.1329322251465
137,-35.7757543037112
138,-36.50817612687
139,-38.3666965031354
140,-36.4227269141681
141,-36.0961888513431
142,-35.6903050910093
143,-36.6546604915017
144,-38.3697482607319
145,-38.9800997800309
146,-39.6606417240493
147,-39.9108858469619
148,-39.7399874215582
149,-42.3553436817544
150,-41.4855927667533
151,-40.5944795485768
152,-40.7440156708051
153,-42.5750702287021
154,-42.0043915581575
155,-42.7001922901584
156,-43.1213348384747
157,-42.2302216202981
158,-42.642208895825
159,-43.0511444137553
160,-43.0999725352992
161,-42.7123993205443
162,-42.5659149559126
163,-42.3767059849299
164,-41.6625947073501
165,-41.7602509504379
166,-40.9790010057352
167,-41.409298826841
168,-40.5425996694364
169,-42.1142548316313
170,-41.3818330084725
171,-42.3767059849299
172,-42.4926727735967
173,-42.1264618620173
174,-42.2149628323157
175,-42.7215545933338
176,-42.9626434434569
177,-42.1386688924033
178,-41.5283173731043
179,-42.2698944690526
180,-42.8131073212287
181,-44.0124480566512
182,-43.5699432051595
183,-43.1243865960712
184,-42.8253143516147
185,-42.7612274420883
186,-39.5019503290316
187,-42.3950165305089
188,-42.932125867492
189,-42.8527801699831
190,-43.0847137473167
191,-41.9677704669996
192,-42.5048798039827
193,-42.7001922901584
194,-42.5689667135091
195,-41.6900605257185
196,-43.3349578702293
197,-42.5720184711056
198,-43.2800262334924
199,-42.6879852597724
200,-42.7123993205443
201,-43.1854217480011
202,-42.8314178668077
203,-43.2189910815625
204,-42.1020478012453
205,-43.6340301146858
206,-43.1488006568431
207,-43.6279265994929
208,-43.9056365407739
209,-43.0236785953868
210,-43.3044402942644
211,-44.2565886643708
212,-42.8436248971936
213,-42.8680389579656
214,-41.8334931327538
215,-43.9056365407739
216,-43.838497873651
217,-43.7896697521071
218,-44.5251433328624
219,-44.7204558190381
220,-43.4905975076506
221,-44.8394743653014
222,-43.8812224800019
223,-43.8964812679844
224,-42.3461884089649
225,-44.6655241823012
226,-43.8079802976861
227,-44.0612761781952
228,-43.8812224800019
229,-45.4009977630565
230,-44.454952908143
231,-41.9616669518066
232,-41.8914765270872
233,-41.9219941030521
234,-42.6025360470705
235,-41.8273896175608
236,-40.9088105810158
237,-41.4733857363674
238,-40.3991670624011
239,-41.6717499801396
240,-40.9332246417878
241,-41.2139863406653
242,-40.9057588234193
243,-41.3238496141391
244,-41.6900605257185
245,-40.7775850043665
246,-40.9362763993842
247,-40.3198213648923
248,-41.3604707052971
249,-41.0400361576651
250,-40.8752412474543
251,-41.5191621003148
252,-41.7541474352449
253,-42.3248261057895
254,-41.5527314338762
255,-43.1884735055976
256,-42.5781219862986
257,-44.3908659986166
258,-45.1812712161088
259,-44.7601286677925
260,-44.5465056360379
261,-45.5993620068286
262,-45.5932584916357
263,-45.8801237057062
264,-46.7620816510932
265,-45.7183805530919
266,-46.7254605599353
267,-46.9573941372689
268,-47.1557583810411
269,-46.5240445585666
270,-46.3256803147945
271,-45.9991422519695
272,-46.0388151007239
273,-45.8404508569517
274,-45.7519498866534
275,-46.0784879494784
276,-45.9167447968641
