"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,215,-5.49316367369603
2,169.75,-5.49316367369605
3,178.15,-5.49316367369605
4,160.1,-5.49316367367106
5,176.4,-6.10351519296781
6,372.25,-6.10351519302332
7,357.9,-5.49316367367103
8,178.95,-6.10351519302336
9,79.75,-5.49316367367106
10,3.29999999999927,-5.49316367377095
11,101.45,-5.49316367367105
12,135.5,-4.88281215437432
13,118.95,-4.2724606351552
14,129.400000000001,-4.88281215437427
15,115.2,-4.88281215437428
16,113.4,-5.49316367367107
17,42.5,-4.88281215437432
18,107.7,-4.88281215437428
19,133.55,-4.88281215437427
20,106.9,-6.10351519296784
21,266.2,-5.49316367367103
22,228.400000000001,-4.88281215437432
23,237.95,-4.88281215446307
24,148.65,-6.71386671226461
25,203.700000000001,-6.10351519285679
26,87.75,-4.27246063515518
27,211.25,-5.49316367377095
28,129.200000000001,-4.88281215446309
29,96,-4.88281215428546
30,158.15,-4.27246063515526
31,405.85,-1222.5340931737
32,147.85,-5.49316367357114
33,155.599999999999,-4.8828121544631
34,174.349999999999,-5.49316367377098
35,164.4,-5.49316367357115
36,151.349999999999,-6.71386671238675
37,146.450000000001,-4.88281215446312
38,178.400000000001,-5.49316367357113
39,184.9,-5.49316367377098
40,82,-6.10351519285679
41,189.5,-4.88281215446314
42,162.549999999999,-4.8828121544631
43,193.4,-6.71386671238675
44,181.450000000001,-6.10351519285679
45,180.4,-4.88281215446312
46,178.5,-5.49316367377102
47,211.049999999999,-5.49316367377097
48,185.799999999999,-5.49316367377099
49,203.049999999999,-5.49316367377095
50,176.950000000001,-6.10351519307883
51,159.899999999998,-6.10351519307891
52,146.850000000002,-4.8828121544631
53,71.25,-5.49316367337141
54,10.8999999999978,-5.49316367377109
55,173.549999999999,-5.493163673771
56,219.450000000001,-5.49316367337127
57,68.0499999999993,-4.88281215446321
58,165.799999999999,-5.49316367377098
59,174.400000000001,-4.8828121544631
60,238.299999999999,-5.49316367377102
61,180.700000000001,-4.88281215446309
62,205.25,-4.8828121544631
63,150.5,-6.10351519307887
64,158.050000000003,-5.4931636733713
65,268.650000000001,-4.88281215446307
66,246.5,-5.49316367377095
67,200.849999999999,-6.71386671238675
68,186.099999999999,-4.88281215446309
69,192.700000000001,-5.49316367377099
70,206.099999999999,-7.93456975100256
71,161.549999999999,-5.49316367377099
72,191,-6.71386671189827
73,345.150000000001,-5.49316367337141
74,172.100000000002,-5.49316367377099
75,170.650000000001,-4.88281215446312
76,216.549999999999,-5.49316367377095
77,195.25,-4.88281215446309
78,145.299999999999,-5.49316367377098
79,271.600000000002,-5.49316367377102
80,81.75,-6.10351519307883
81,162.950000000001,-5.49316367377099
82,185.049999999999,-5.49316367377098
83,166.349999999999,-4.88281215446309
84,175.200000000001,-6.71386671238674
85,113.800000000003,-4.88281215410782
86,140.599999999999,-4.88281215446307
87,238.649999999998,-4.27246063515533
88,199.799999999999,-5.49316367377098
89,177.799999999999,-4.8828121544631
90,129,-4.27246063515526
91,12727.8,-471.801724459324
92,8.34999999999854,-234.985334950634
93,240.299999999996,-10.9863273483413
94,319.599999999999,-5.49316367337127
95,188.449999999997,-4.8828121541078
96,282.5,-5.49316367337127
97,102.449999999997,-6.10351519352292
98,244.849999999999,-4.88281215481834
99,108.049999999996,-4.27246063546605
100,279.300000000003,-4.8828121541078
101,23.4499999999971,-4.27246063546605
102,74.3499999999985,-6.10351519263475
103,167.799999999996,-4.88281215481837
104,69.1500000000015,-4.88281215410787
105,184.900000000001,-5.49316367337131
106,164.699999999997,-4.27246063546608
107,139.450000000004,-5.49316367337131
108,141.949999999997,-4.27246063546607
109,201.5,-4.88281215481837
110,281.399999999994,-5.49316367417063
111,156.049999999996,-4.27246063546607
112,174.050000000003,-6.10351519263478
113,160.25,-4.88281215410782
114,168.049999999996,-6.71386671287525
115,184.599999999999,-5.49316367417068
116,176.599999999999,-6.10351519352296
117,168.25,-4.88281215481837
118,355.949999999997,-4.27246063546619
119,163.549999999996,-5.4931636741707
120,168.099999999999,-6.71386671189826
121,201.5,-4.27246063546619
122,172.900000000001,-4.88281215410782
123,173.25,-4.8828121541078
124,207,-4.88281215481834
125,175.849999999999,-5.49316367417066
126,225.799999999996,-4.88281215481834
127,17.5500000000029,-5.49316367337127
128,37.1999999999971,-4.88281215481841
129,188.949999999997,-4.88281215481836
130,197.950000000004,-4.8828121541078
131,184.949999999997,-4.88281215481837
132,54.3000000000029,-4.8828121541078
133,194.400000000001,-4.27246063546608
134,212.399999999994,-4.88281215481837
135,302.75,-4.88281215481834
136,195,-5.49316367417066
137,43.5499999999956,-4.27246063546619
138,180.199999999997,-5.49316367337129
139,342.800000000003,-6.10351519263475
140,240,-4.88281215481836
141,195.149999999994,-4.27246063546605
142,199.800000000003,-4.8828121541078
143,206.049999999996,-4.88281215481837
144,224.700000000004,-5.49316367337127
145,298.25,-4.8828121541078
146,206.800000000003,-4.88281215410787
147,236.150000000001,-5.49316367417068
148,269.050000000003,-6.10351519263477
149,216.75,-5.49316367337131
150,244.200000000004,-6.10351519263476
151,70.1499999999942,-4.88281215481834
152,242.449999999997,-4.88281215481836
153,298.75,-4.27246063484439
154,259.75,-5.49316367337131
155,250.650000000001,-5.49316367337131
156,250.049999999996,-5.49316367417065
157,235.850000000006,-4.88281215410781
158,215.75,-4.88281215410787
159,249.850000000006,-4.88281215410781
160,229,-4.88281215410783
161,240.149999999994,-5.49316367497001
162,256.699999999997,-4.88281215410782
163,73.6500000000087,-5.49316367337127
164,282.149999999994,-4.88281215552902
165,212.399999999994,-4.88281215410781
166,225.300000000003,-5.4931636733713
167,250.449999999997,-5.49316367337131
168,24.4499999999971,-4.88281215552888
169,265.600000000006,-4.8828121541078
170,251.25,-4.8828121541078
171,230.699999999997,-4.88281215410781
172,218.699999999997,-5.4931636733713
173,18.1999999999971,-4.88281215552902
174,227.600000000006,-4.8828121541078
175,285.399999999994,-5.49316367496999
176,255.800000000003,-5.49316367337127
177,263.550000000003,-5.49316367337134
178,349.700000000012,-5.49316367337127
179,160.599999999991,-4.88281215410787
180,221.199999999997,-4.88281215552892
181,312.799999999988,-6.71386671385235
182,250.149999999994,-4.2724606360878
183,254.5,-5.49316367337131
184,88,-4.88281215552888
185,249.299999999988,-5.49316367497006
186,52.5499999999884,-5.49316367496999
187,262.199999999997,-4.88281215552892
188,240.5,-4.88281215410782
189,361.449999999997,-4.88281215552888
190,211.899999999994,-4.88281215552895
191,229.549999999988,-5.49316367497001
192,222.399999999994,-4.2724606360878
193,274.349999999991,-4.88281215552888
194,204.399999999994,-4.8828121555289
