"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",46.3000000000001,21.0571279060901,684.9
1,"APD 50",87.1,-6.40869110185351,725.7
1,"APD 90",152.05,-42.907712805743,790.65
2,"APD 20",47.55,21.606444286249,1103.65
2,"APD 50",86.2,-5.85937472169463,1142.3
2,"APD 90",145.85,-42.3583964255841,1201.95
3,"APD 20",45.25,21.7285145929509,1489.65
3,"APD 50",86.4000000000001,-6.04248018174759,1530.8
3,"APD 90",150.25,-43.090818265796,1594.65
4,"APD 20",49.4000000000001,22.0336903597059,1915.15
4,"APD 50",91.8500000000001,-5.67626926164168,1957.6
4,"APD 90",151.55,-42.6635721923391,2017.3
5,"APD 20",48.9000000000001,21.545409132898,2344.95
5,"APD 50",90.5999999999999,-6.22558564180055,2386.65
5,"APD 90",154.25,-43.3349588791999,2450.3
6,"APD 20",46.4000000000001,21.484373979547,2753.2
6,"APD 50",90.3499999999999,-6.46972625520449,2797.15
6,"APD 90",154.8,-43.3959940325509,2861.6
7,"APD 20",47.5999999999999,21.0571279060901,3151.4
7,"APD 50",89.3000000000002,-6.53076140855548,3193.1
7,"APD 90",154.45,-43.2128885724979,3258.25
8,"APD 20",50.2000000000003,21.606444286249,3561.1
8,"APD 50",90.8499999999999,-5.98144502839661,3601.75
8,"APD 90",154.2,-42.846677652392,3665.1
9,"APD 20",50.8000000000002,21.6674794396,3989.65
9,"APD 50",89.9000000000001,-6.04248018174759,4028.75
9,"APD 90",151.5,-43.029783112445,4090.35
10,"APD 20",49.0999999999995,21.606444286249,4395.55
10,"APD 50",90.3000000000002,-6.10351533509858,4436.75
10,"APD 90",153.5,-43.090818265796,4499.95
11,"APD 20",50.6499999999996,21.362303672845,4804.1
11,"APD 50",93.0999999999995,-6.34765594850252,4846.55
11,"APD 90",156.7,-43.090818265796,4910.15
12,"APD 20",49.1000000000004,21.2402333661431,5249.9
12,"APD 50",93.2000000000007,-6.22558564180055,5294
12,"APD 90",154.950000000001,-42.907712805743,5355.75
13,"APD 20",54.0500000000002,21.7895497463019,5694.95
13,"APD 50",96.3000000000002,-5.98144502839661,5737.2
13,"APD 90",157.05,-43.1518534191469,5797.95
14,"APD 20",52.6999999999998,20.3857412192292,6121.5
14,"APD 50",93.5500000000002,-7.01904263536336,6162.35
14,"APD 90",154.8,-43.7011697993058,6223.6
15,"APD 20",50.75,20.4467763725802,6507.6
15,"APD 50",92.6499999999996,-6.95800748201238,6549.5
15,"APD 90",158.35,-43.5180643392529,6615.2
16,"APD 20",54.9499999999998,21.0571279060901,6921.85
16,"APD 50",99.9499999999998,-6.40869110185351,6966.85
16,"APD 90",163.8,-43.090818265796,7030.7
17,"APD 20",51.4000000000005,22.3388661264608,7330.95
17,"APD 50",96.4000000000005,-5.73730441499266,7375.95
17,"APD 90",159.7,-43.029783112445,7439.25
18,"APD 20",55.6499999999996,21.301268519494,7782
18,"APD 50",101.45,-6.34765594850252,7827.8
18,"APD 90",161.55,-43.2739237258489,7887.9
19,"APD 20",55.3500000000004,21.2402333661431,8248.9
