"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,290.9,-9.76562453616673
2,401.1,-9.76562453616687
3,117.3,-12.2070306701528
4,388.9,-10.9863276031874
5,389.05,-10.9863276032374
6,638.2,-10.9863276031374
7,381.05,-9.76562453612217
8,108.35,-13.427733737168
9,131.45,-10.9863276031374
10,242.299999999999,-10.9863276033373
11,430.4,-10.9863276031375
12,388.2,-12.2070306701527
13,260.549999999999,-10.9863276033373
14,96.5499999999993,-10.9863276033373
15,202.65,-9.76562453612217
16,589.25,-9.76562453629981
17,93.5499999999993,-9.76562453629981
18,434.950000000001,-12.2070306703748
19,378.650000000001,-10.9863276029376
20,13.6499999999996,-10.9863276033373
21,174.4,-10.9863276033373
22,32.1999999999989,-9.76562453629981
23,551,-10.9863276033373
24,851.15,-12.2070306703748
25,54.6499999999996,-10.9863276029376
26,383.5,-9.76562453629983
27,356.9,-10.9863276029377
28,27.2999999999993,-9.76562453629981
29,539,-10.9863276033373
30,548.349999999999,-10.9863276033373
31,26.7999999999993,-9.76562453629981
32,385.25,-10.9863276033373
33,365.700000000001,-13.4277337364353
34,269.5,-10.9863276033374
35,108.5,-10.9863276033373
36,108.75,-13.4277337374122
37,335.150000000001,-10.9863276033373
38,190.150000000001,-10.9863276033374
39,526.049999999999,-13.4277337374124
40,120.049999999999,-10.9863276025382
41,53.6000000000022,-9.76562453629981
42,540.450000000001,-10.9863276025379
43,297.950000000001,-10.9863276033373
44,317.899999999998,-10.9863276033373
45,459.399999999998,-13.4277337374122
46,136.649999999998,-13.4277337374122
47,139.950000000001,-9.76562453629981
48,218.900000000001,-10.9863276033374
49,209.350000000002,-12.2070306703748
50,482.699999999997,-12.2070306703748
51,301.799999999999,-12.2070306703748
52,28.25,-10.9863276033373
53,588.400000000001,-12.2070306703748
54,268.599999999999,-10.9863276033373
55,473.849999999999,-10.9863276033373
56,339.099999999999,-10.9863276033373
57,312.349999999999,-10.9863276033373
58,191.450000000001,-10.9863276025379
59,91.3999999999978,-12.2070306703748
60,466.25,-21.9726552050759
61,140.950000000001,-10.9863276033373
62,322.299999999999,-10.9863276041367
63,419.599999999999,-30.5175766781575
64,163.099999999999,-28.0761705439048
65,97.5499999999956,-9.76562453701035
66,109.150000000001,-12.2070306694866
67,187.350000000006,-10.9863276025379
68,136.5,-10.9863276041366
69,58.25,-10.9863276041366
70,127.900000000001,-9.7656245370105
71,74,-12.2070306712629
72,106.5,-12.2070306712629
73,266.150000000001,-14.6484368055155
74,113.75,-10.9863276025379
75,235.399999999994,-10.9863276041367
76,205.849999999999,-10.9863276041366
77,579.950000000004,-10.9863276025381
78,72.5499999999956,-12.2070306712629
79,68.3499999999985,-10.9863276041368
