"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,197.75,18.3105460053124
2,197.1,17.0898429382916
3,184.3,15.8691398712707
3,184.4,15.8691398712707
4,195.5,17.0898429382916
5,214.8,17.0898429382138
6,189.05,17.0898429383693
7,174.35,17.0898429383693
8,190,19.5312490722444
9,208.25,17.0898429382138
10,186.9,18.3105460052291
11,181.5,17.0898429382138
12,229.45,17.0898429385247
13,222.599999999999,18.3105460055622
13,223.099999999999,18.3105460055622
14,207.950000000001,19.5312490722444
15,164.2,17.0898429385247
16,185.349999999999,15.8691398714873
16,185.599999999999,15.8691398714873
17,184.950000000001,17.0898429382138
18,221.45,15.8691398711986
18,221.95,15.8691398711986
19,242.75,15.8691398711986
20,233.1,17.0898429385247
21,216.35,15.8691398709099
22,200.650000000001,15.8691398709099
23,202.150000000001,17.089842937903
24,242.049999999999,15.8691398714873
25,239.75,14.6484368039168
26,202.199999999999,15.8691398714872
26,202.449999999999,15.8691398714872
27,234.200000000001,15.8691398714872
28,185.75,18.3105460055621
29,219.300000000001,17.089842937903
30,249.599999999999,15.8691398714872
31,204.6,14.6484368044498
32,241.75,14.6484368044498
33,197.050000000001,19.5312490718891
34,258.9,15.8691398714872
35,261.049999999999,13.4277337374123
36,232.6,12.2070306703748
36,233.1,12.2070306703748
37,237.000000000002,14.6484368033839
37,238.250000000002,14.6484368033839
38,234.25,14.6484368044498
39,264.649999999998,14.6484368044498
40,323,15.8691398703326
41,291.199999999997,14.6484368044497
42,265.650000000001,14.6484368044498
43,332.549999999999,18.3105460055622
44,272.850000000002,14.6484368033839
45,247.150000000001,14.6484368033839
46,263,15.8691398714873
47,262.75,14.6484368044498
48,257.200000000001,15.8691398714872
49,280.649999999998,15.8691398714872
50,269.399999999998,14.6484368044497
51,244.25,15.8691398714872
52,288.900000000001,15.8691398714872
53,262,15.8691398714872
54,254.700000000001,19.5312490725997
55,238.849999999999,17.0898429385247
56,233.200000000001,15.8691398714873
57,200,24.4140613407495
57,200.200000000001,24.4140613407495
58,226.950000000001,14.6484368044497
59,228.200000000001,17.0898429385247
60,361.149999999998,40.2832012122368
61,90.9000000000015,23.1933582737121
61,91,23.1933582737121
62,230.800000000003,17.0898429372813
63,264.599999999999,14.6484368044498
64,244.299999999999,14.6484368044497
65,221.299999999999,14.6484368044498
66,235.75,15.8691398703326
67,232.049999999999,14.6484368044498
68,211.950000000001,13.4277337374123
68,212.299999999999,13.4277337374123
69,232.850000000002,17.0898429372813
70,231.449999999997,14.6484368055155
71,210.349999999999,18.3105460068945
72,232.800000000003,17.0898429372813
73,234.5,15.8691398726419
74,236.800000000003,14.6484368033839
75,224.050000000003,18.3105460042299
76,213.950000000004,14.6484368033839
77,207.550000000003,15.8691398703326
78,218.850000000006,14.6484368033839
79,235.799999999996,18.3105460068945
80,229.900000000001,15.8691398726419
80,230.400000000001,15.8691398726419
81,220.399999999994,14.6484368055155
82,210.599999999999,15.8691398726419
83,251.549999999996,12.207030671263
83,251.799999999996,12.207030671263
84,222.5,14.6484368033839
85,211.300000000003,13.4277337364353
86,225.049999999996,14.6484368055156
87,219.199999999997,14.648436803384
88,227.349999999999,15.8691398726418
89,237.800000000003,14.6484368033839
90,237.550000000003,15.8691398703326
91,242.200000000004,14.648436803384
92,239.849999999999,17.0898429397682
93,230.050000000003,17.0898429372812
94,242.849999999999,14.6484368033839
95,218,14.6484368055155
96,220.699999999997,15.8691398726419
97,216.5,14.6484368033839
98,200.75,14.648436803384
99,230.350000000006,14.6484368033839
100,218.399999999994,13.4277337383892
100,219.899999999994,13.4277337383892
101,279.599999999999,14.6484368033839
102,253,12.2070306712629
103,200.099999999999,12.2070306712629
104,211.199999999997,12.2070306712629
105,203.049999999996,13.4277337383893
106,221.899999999994,12.2070306712631
107,211.849999999999,14.6484368055156
108,245.400000000001,13.4277337364353
109,245.550000000003,15.8691398703326
110,220.549999999996,13.4277337383892
111,242.849999999999,14.6484368055156
112,239.099999999999,13.4277337383893
112,239.599999999999,13.4277337383893
113,226.849999999999,14.6484368055156
114,213.899999999994,14.6484368055155
115,239,14.6484368033839
116,223.5,14.6484368033839
117,213.5,14.6484368033839
118,234.449999999997,13.4277337383893
119,240.950000000004,13.4277337364353
120,213.050000000003,14.6484368033839
121,239.400000000001,14.648436803384
122,229,13.4277337383893
123,228.349999999999,15.8691398726419
124,221.849999999999,13.4277337383892
125,226.150000000001,14.6484368033839
126,202.449999999997,13.4277337383893
127,208.650000000001,14.6484368055156
128,214.75,14.6484368033839
129,223.699999999997,13.4277337364352
130,210.599999999999,13.4277337364353
131,214.75,14.6484368055156
132,221.349999999999,15.8691398703326
133,206.099999999999,13.4277337364353
134,229.900000000001,13.4277337364352
135,216.849999999999,12.2070306712629
136,218.349999999999,13.4277337364352
137,230.650000000001,13.4277337364353
138,236.699999999997,14.6484368033839
139,228.949999999997,15.8691398703326
140,224.550000000003,13.4277337364353
141,233.050000000003,13.4277337364353
142,206.850000000006,13.4277337364353
143,217.650000000009,17.0898429372813
144,224.25,14.6484368076472
144,225.25,14.6484368076472
145,226.75,15.8691398703326
146,221.949999999997,13.4277337364353
146,222.050000000003,13.4277337364353
147,215.549999999988,13.4277337403432
148,226.349999999991,14.6484368076472
149,230.300000000003,13.4277337364352
149,230.949999999997,13.4277337364352
150,238.649999999994,13.4277337403432
151,228.100000000006,13.4277337364352
152,245.949999999997,13.4277337403432
152,246.199999999997,13.4277337403432
153,235.75,17.0898429422551
154,232.25,14.6484368033839
155,214,15.8691398703326
156,216.049999999988,18.3105460095591
157,243.399999999994,13.4277337403433
158,220.300000000003,12.2070306694866
158,220.5,12.2070306694866
158,220.600000000006,12.2070306694866
159,206.299999999988,14.6484368076472
160,222.299999999988,13.4277337403433
161,230.050000000003,14.6484368033839
161,230.450000000012,14.6484368033839
162,229.300000000003,14.6484368033839
