"Sweep (n)","APA (mV)"
1,106.085200039348
2,105.364985229807
3,105.194086800424
4,104.986567279031
5,104.205317316138
6,104.187006770133
7,104.33959465351
8,102.435297868959
9,102.191157255555
10,104.461664960212
11,102.429194353624
12,101.922602580811
13,102.374262715608
14,102.453608414965
15,101.818842820114
16,103.222651347187
17,100.769038182478
18,100.531001084409
19,101.147456133254
20,102.716059574374
21,102.258295924242
22,103.662104451314
23,100.964350673201
24,100.60424326843
25,99.4323683240909
26,99.6704054221598
27,100.00609876559
28,99.1210890420009
29,101.184077225264
30,96.7956496993283
31,100.543208115079
32,100.598139753095
33,102.056879918183
34,101.055903403227
35,99.6704054221598
36,99.5727491767982
37,99.9755811889147
38,99.1760206800168
39,100.097651495617
40,98.6694289072036
41,99.6276808148141
42,101.55028814537
43,101.434321354003
44,100.463862415723
45,99.9877882195849
46,100.451655385052
47,99.5727491767982
48,97.2473098341256
49,99.1027784959956
50,97.8027297296196
51,99.2919874713837
52,97.9675246436673
53,98.4313918091348
54,99.4445753547611
55,98.1140090117096
56,101.055903403227
57,98.6450148458632
58,100.872797943174
59,100.323481563015
60,99.8657179128829
61,99.560542146128
62,99.0844679499903
63,99.5422316001227
64,99.6643019068247
65,100.097651495617
66,100.634760845105
67,99.5178175387823
68,97.4365188095137
69,99.3164015327241
70,98.7792921832354
71,97.9553176129971
72,99.4506788700962
73,98.3703566557838
74,98.5290480544963
75,99.0173292813042
76,98.3093215024328
77,99.377436686075
78,98.6267042998579
79,98.6572218765334
80,99.4628859007664
81,98.3276320484381
82,98.7853956985705
83,98.8403273365864
84,96.899409460025
85,95.8190872457126
86,98.1262160423798
87,98.071284404364
88,98.9501906126181
89,98.693842968544
90,97.1618606194343
91,97.2778274108011
92,98.4497023551401
93,98.9562941279532
94,97.5891066928912
95,97.0336867973972
96,97.576899662221
97,97.9919387050077
98,98.5473586005016
99,97.6745559075825
100,96.4965774479085
101,97.2961379568064
102,97.7600051222739
103,96.8505813373442
104,96.9787551593813
105,97.4609328708541
106,95.8007766997073
107,97.3510695948223
108,97.6501418462421
109,96.0021927057655
110,95.3735306262504
111,96.9360305520356
112,98.6267042998579
113,98.2849074410924
114,97.0947219507482
115,96.6979934539668
116,98.4985304778209
117,95.8312942763828
118,96.9909621900515
119,96.9543410980409
120,97.51586450887
121,96.5209915092489
122,97.3022414721415
123,98.1628371343904
124,97.3632766254925
125,97.3998977175031
126,95.721431000351
127,97.6501418462421
128,98.4680129011454
129,98.4313918091348
130,96.4477493252277
131,96.588130177935
132,97.1130324967535
133,96.1059524664622
134,98.6267042998579
135,95.9533645830847
136,96.8322707913389
137,95.538325540298
138,96.6918899386317
139,96.4538528405628
140,95.7580520923616
141,96.1059524664622
142,95.0988724361709
143,96.9848586747164
144,97.332759048817
145,96.2341262884993
146,97.1252395274237
147,100.274653440335
148,95.8801223990636
149,95.538325540298
150,97.2228957727853
151,97.6074172388965
152,96.2219192578291
153,96.5515090859244
154,98.1506301037202
155,97.3388625641521
156,97.1862746807747
157,97.4365188095137
158,97.705073484258
159,94.3420365346187
160,98.2360793184116
161,97.8027297296196
162,96.2402298038344
163,98.1750441650606
164,98.321528533103
165,98.1262160423798
166,98.2971144717626
167,98.7609816372301
168,98.2788039257573
169,97.6318313002369
170,97.6684523922474
171,97.2228957727853
172,96.6125442392754
173,98.0834914350341
174,97.2289992881203
175,97.1801711654396
176,97.9370070669918
177,97.5463820855455
