"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",54.75,21.9116200530039,539.9
1,"APD 50",101.75,-9.09423784929688,586.9
1,"APD 90",147.15,-50.5981421279672,632.3
2,"APD 20",56.3,21.8505848996529,920.5
2,"APD 50",101.95,-9.09423784929688,966.15
2,"APD 90",145.25,-50.5371069746162,1009.45
3,"APD 20",56.05,22.0336903597059,1296.85
3,"APD 50",103.9,-9.09423784929688,1344.7
3,"APD 90",148.9,-50.4150366679143,1389.7
4,"APD 20",58.8499999999999,21.8505848996529,1692.2
4,"APD 50",107.1,-9.03320269594589,1740.45
4,"APD 90",151.95,-50.3540015145633,1785.3
5,"APD 20",57.2999999999997,22.0336903597059,2098.65
5,"APD 50",103.15,-8.97216754259491,2144.5
5,"APD 90",147.9,-50.3540015145633,2189.25
6,"APD 20",64.5500000000002,22.5219715865138,2491.6
6,"APD 50",112,-8.66699177583998,2539.05
6,"APD 90",156.4,-50.4150366679143,2583.45
7,"APD 20",60.5500000000002,22.0947255130569,2887.95
7,"APD 50",106.2,-8.85009723589294,2933.6
7,"APD 90",150.25,-50.2929663612123,2977.65
8,"APD 20",69.0999999999999,22.0336903597059,3284.45
8,"APD 50",116.5,-8.91113238924392,3331.85
8,"APD 90",160.9,-50.1708960545103,3376.25
9,"APD 20",64.4499999999998,22.3388661264608,3676
9,"APD 50",113.4,-8.72802692919097,3724.95
9,"APD 90",158.1,-50.3540015145633,3769.65
10,"APD 20",61.2000000000003,22.0947255130569,4067.95
10,"APD 50",107.55,-8.91113238924392,4114.3
10,"APD 90",151.75,-50.2319312078613,4158.5
11,"APD 20",61.5500000000002,22.2778309731098,4453.4
11,"APD 50",107.150000000001,-8.60595662248899,4499
11,"APD 90",152,-49.8657202877554,4543.85
12,"APD 20",58.6999999999998,22.0947255130569,4841.7
12,"APD 50",106.25,-8.91113238924392,4889.25
12,"APD 90",150.95,-50.0488257478083,4933.95
13,"APD 20",63.1500000000005,22.3388661264608,5220.5
13,"APD 50",110.400000000001,-8.85009723589294,5267.75
13,"APD 90",154.400000000001,-49.9877905944574,5311.75
14,"APD 20",62.3000000000002,21.6674794396,5607.55
14,"APD 50",109.950000000001,-8.97216754259491,5655.2
14,"APD 90",155.700000000001,-49.9267554411064,5700.95
15,"APD 20",65.5,21.7895497463019,5993.3
15,"APD 50",109.900000000001,-8.91113238924392,6037.7
15,"APD 90",154.400000000001,-49.8657202877554,6082.2
16,"APD 20",64.25,22.1557606664078,6372.55
16,"APD 50",109.8,-8.60595662248899,6418.1
16,"APD 90",155.5,-49.6826148277024,6463.8
17,"APD 20",63.3500000000004,22.1557606664078,6770.1
17,"APD 50",109.150000000001,-8.60595662248899,6815.9
17,"APD 90",154.3,-49.3164039075965,6861.05
18,"APD 20",57.1000000000004,22.1557606664078,7148.15
18,"APD 50",103.400000000001,-8.66699177583998,7194.45
18,"APD 90",148.45,-49.6215796743514,7239.5
19,"APD 20",64.8500000000004,21.7285145929509,7529.85
19,"APD 50",111.25,-8.72802692919097,7576.25
19,"APD 90",155.05,-49.3774390609475,7620.05
20,"APD 20",65.3499999999995,21.6674794396,7900.75
20,"APD 50",113.099999999999,-8.85009723589294,7948.5
20,"APD 90",158.299999999999,-49.6215796743514,7993.7
21,"APD 20",65.3999999999996,22.0947255130569,8277.7
21,"APD 50",112.9,-8.60595662248899,8325.2
21,"APD 90",158.9,-49.6215796743514,8371.2
22,"APD 20",64.7000000000007,21.1791982127921,8660.15
22,"APD 50",110.6,-9.21630815599885,8706.05
22,"APD 90",156.800000000001,-49.6826148277024,8752.25
23,"APD 20",65.8999999999996,22.8881825066197,9031.1
23,"APD 50",114.25,-7.93456993562815,9079.45
23,"APD 90",158.6,-49.0112281408416,9123.8
24,"APD 20",66.6499999999996,21.7895497463019,9412.8
24,"APD 50",112.6,-8.60595662248899,9458.75
24,"APD 90",157.25,-49.1943336008945,9503.4
25,"APD 20",64.5,21.7285145929509,9796.4
25,"APD 50",112.1,-8.97216754259491,9844
25,"APD 90",157.4,-49.6215796743514,9889.3
26,"APD 20",67.8999999999996,22.2778309731098,10171.85
26,"APD 50",116.450000000001,-8.36181600908505,10220.4
26,"APD 90",161.25,-49.2553687542455,10265.2
27,"APD 20",61.3500000000004,21.6674794396,10551.25
27,"APD 50",107.35,-8.72802692919097,10597.25
27,"APD 90",153.049999999999,-49.3164039075965,10642.95
28,"APD 20",66.1000000000004,21.9726552063549,10933.45
28,"APD 50",113.700000000001,-8.54492146913801,10981.05
28,"APD 90",158.550000000001,-49.1943336008945,11025.9
29,"APD 20",67.2999999999993,22.2778309731098,11313.45
29,"APD 50",115.599999999999,-8.23974570238308,11361.75
29,"APD 90",159.099999999999,-48.9501929874906,11405.25
30,"APD 20",70.1000000000004,21.9116200530039,11689.1
30,"APD 50",117.050000000001,-8.60595662248899,11736.05
30,"APD 90",162.050000000001,-49.0722632941926,11781.05
31,"APD 20",67.75,22.2778309731098,12073.9
31,"APD 50",115.9,-8.23974570238308,12122.05
31,"APD 90",159.949999999999,-48.9501929874906,12166.1
32,"APD 20",71.75,21.8505848996529,12463
32,"APD 50",120,-8.60595662248899,12511.25
32,"APD 90",165.35,-49.1943336008945,12556.6
33,"APD 20",67.2000000000007,22.5830067398647,12846.9
33,"APD 50",114.1,-8.05664024233012,12893.8
33,"APD 90",159.049999999999,-49.0722632941926,12938.75
34,"APD 20",72,21.606444286249,13229.8
34,"APD 50",117.5,-8.78906208254195,13275.3
34,"APD 90",162.85,-49.3774390609475,13320.65
35,"APD 20",71.8500000000004,22.3388661264608,13618.35
35,"APD 50",119.950000000001,-8.05664024233012,13666.45
35,"APD 90",164.550000000001,-48.5839820673847,13711.05
36,"APD 20",72.1499999999996,22.5830067398647,14009.05
36,"APD 50",121.15,-8.1787105490321,14058.05
36,"APD 90",166.599999999999,-49.2553687542455,14103.5
37,"APD 20",73.3500000000004,22.3388661264608,14394.2
37,"APD 50",120.85,-8.11767539568111,14441.7
37,"APD 90",164.9,-49.0112281408416,14485.75
38,"APD 20",77.6499999999996,22.5830067398647,14784.2
38,"APD 50",127.449999999999,-8.1787105490321,14834
38,"APD 90",172.75,-49.1943336008945,14879.3
39,"APD 20",101.049999999999,23.8037098068845,15215
39,"APD 50",161.450000000001,-7.69042932222421,15275.4
39,"APD 90",214.049999999999,-49.6215796743514,15328
40,"APD 20",86.4500000000007,22.7050770465667,15690.35
40,"APD 50",140.550000000001,-8.48388631578702,15744.45
40,"APD 90",189.25,-49.9877905944574,15793.15
41,"APD 20",77.6000000000004,22.3999012798118,16101.7
41,"APD 50",125.549999999999,-8.23974570238308,16149.65
41,"APD 90",172.35,-49.2553687542455,16196.45
42,"APD 20",69.9500000000007,21.362303672845,16483.65
42,"APD 50",119.050000000003,-8.72802692919097,16532.75
42,"APD 90",165.550000000003,-48.8281226807886,16579.25
43,"APD 20",66.9500000000007,21.7285145929509,16872.1
43,"APD 50",114.299999999999,-8.48388631578702,16919.45
43,"APD 90",158.950000000001,-48.5839820673847,16964.1
44,"APD 20",75.1499999999978,22.2167958197588,17244.2
44,"APD 50",124.899999999998,-7.99560508897914,17293.95
