"Sweep (n)","Ediast (mV)"
1,-60.9985322589752
2,-60.8886689829434
3,-60.8154267989222
4,-60.614010792864
5,-60.7482881302361
6,-60.7788057069116
7,-60.6201143081991
8,-60.5957002468587
9,-60.6628389155448
10,-60.5834932161885
11,-60.1867647194071
12,-60.3820772101302
13,-60.3637666641249
14,-60.2294893267528
15,-60.0158662900243
16,-60.0402803513647
17,-59.6069307625727
18,-59.8815889526521
19,-59.5764131858972
20,-59.8571748913118
21,-59.7900362226257
22,-59.8815889526521
23,-59.3688936645039
24,-59.3017549958178
25,-59.8571748913118
26,-59.4970674865409
27,-59.564206155227
28,-59.4604463945303
29,-59.191891719786
30,-59.2895479651476
31,-59.2163057811264
32,-59.442135848525
33,-59.3322725724933
34,-59.5825167012323
35,-58.8134737690099
36,-59.4482393638601
37,-59.252926873137
38,-59.3383760878284
39,-60.1135225353859
40,-60.2722139340985
41,-59.4665499098654
42,-58.8256807996801
43,-58.6181612782867
44,-58.5144015175901
45,-58.636471824292
46,-58.2092257508351
47,-58.2763644195212
48,-58.2702609041861
49,-58.4167452722285
50,-58.2214327815053
51,-58.2824679348563
52,-58.4716769102444
53,-58.0444308367875
54,-57.519528517969
55,-57.9711886527663
56,-58.1726046588245
57,-58.0017062294418
58,-57.4035617266021
59,-57.6782199166816
60,-57.4523898492829
61,-57.3486300885862
62,-57.7636691313729
63,-57.3913546959319
64,-57.2631808738949
65,-57.0617648678366
66,-57.0739718985068
67,-57.0495578371664
68,-56.5185520030128
69,-57.1166965058525
70,-57.3669406345915
71,-57.1838351745386
72,-57.1960422052088
73,-57.2875949352353
74,-57.519528517969
75,-57.1899386898737
76,-56.1462375675718
77,-55.847165316152
78,-55.3344700280037
79,-55.3466770586739
80,-54.8828098932064
81,-54.9865696539031
82,-54.8400852858607
83,-54.6325657644674
84,-54.980466138568
85,-54.3762181203932
86,-54.8828098932064
87,-55.3710911200143
88,-55.4199192426951
89,-55.1574680832858
90,-55.1757786292911
91,-55.5725071260726
92,-55.6884739174394
93,-55.4809543960461
94,-55.6213352487533
95,-55.169675113956
96,-55.2795383899878
97,-55.0720188685945
98,-55.4504368193706
99,-55.1147434759402
100,-55.1269505066104
101,-55.5603000954024
102,-55.8959934388328
103,-55.2368137826421
104,-55.5480930647322
105,-54.8095677091852
106,-55.0964329299349
107,-54.7180149791588
108,-54.3151829670422
109,-54.797360678515
110,-54.3334935130475
111,-54.3029759363721
112,-54.3029759363721
113,-54.0222142309575
114,-53.9001439242555
115,-54.0222142309575
116,-54.1320775069893
117,-53.6987279181973
118,-54.0771458689734
119,-53.6437962801814
120,-54.0954564149787
121,-54.1686985989999
122,-54.364011089723
123,-54.1320775069893
124,-54.8644993472011
125,-53.8879368935853
126,-54.6936009178184
127,-54.0405247769628
128,-53.7963841635589
129,-54.1992161756754
130,-54.3457005437177
131,-53.991696654282
132,-53.9855931389469
133,-54.5165989731005
134,-54.1625950836648
135,-54.1320775069893
136,-53.8513158015748
137,-54.0344212616277
138,-53.991696654282
139,-53.5705540961602
140,-53.6376927648463
141,-54.5898411571217
142,-54.1503880529946
143,-53.7353490102079
144,-54.0588353229681
145,-53.619382218841
146,-53.4606908201284
147,-53.3569310594318
148,-53.55834706549
149,-53.1066869306927
150,-53.3569310594318
151,-53.9123509549257
152,-54.1625950836648
153,-54.3518040590528
154,-54.9865696539031
155,-54.7668431018395
156,-54.7241184944939
157,-54.296872421037
158,-54.608151703127
159,-54.1686985989999
160,-53.9794896236118
161,-53.802487678894
162,-54.7241184944939
