"Sweep (n)","Peak x (s)","Peak y (mV)"
1,214.75,49.2553687542455
2,184.45,49.8046851344044
3,141.9,49.8046851344044
4,190.95,49.0722632941926
5,196.05,49.0722632941926
6,157.15,49.0112281408416
7,151,49.0112281408416
8,173.5,49.2553687542455
9,163.75,49.0722632941926
10,145.099999999999,49.1332984475435
11,143.8,49.1332984475435
12,139.55,48.8891578341396
13,134.65,49.1943336008945
14,176.2,48.7060523740866
15,138.65,48.5229469140337
16,146.400000000001,49.1332984475435
17,163.549999999999,49.1943336008945
18,210.15,49.2553687542455
19,177.200000000001,49.0722632941926
20,159.450000000001,48.8891578341396
21,181.699999999999,49.2553687542455
22,159.4,48.5839820673847
23,194.6,49.0112281408416
24,160.35,48.5229469140337
25,138.6,48.4619117606827
26,143,48.2788063006297
27,131.6,48.7670875274376
28,155.700000000001,48.5229469140337
29,151.450000000001,48.5839820673847
30,139.699999999999,48.7670875274376
31,125.65,48.9501929874906
32,145.6,49.0722632941926
33,178.9,48.9501929874906
34,160.549999999999,49.1943336008945
35,173.550000000001,49.1943336008945
36,148.650000000001,48.2788063006297
37,119.15,48.2788063006297
38,159.4,47.7294899204709
39,129.950000000001,47.5463844604179
40,162.850000000002,47.363279000365
41,161.099999999999,47.8515602271728
42,134.049999999999,47.6074196137689
43,139.75,47.180173540312
44,128.700000000001,47.8515602271728
45,161.5,47.6074196137689
46,148.75,48.2788063006297
47,124.350000000002,48.5229469140337
48,141.25,48.2788063006297
49,163.75,48.3398414539807
50,149.900000000001,48.3398414539807
51,131.450000000001,48.1567359939278
52,109.299999999999,48.0346656872258
53,121.049999999999,48.2788063006297
54,130.5,48.2177711472788
55,99.6499999999978,47.6684547671199
56,112.25,47.363279000365
57,120.450000000001,47.9125953805238
58,110.600000000002,46.9360329269081
59,128.150000000001,47.119138386961
60,110.100000000002,47.180173540312
61,116.849999999999,47.302243847014
62,109.950000000001,46.6308571601531
63,131.900000000001,45.6542947065374
64,108.849999999999,45.7153298598883
65,117.449999999997,45.7153298598883
66,112.75,45.0439431730275
67,91.25,45.8984353199413
68,103.349999999999,44.0063455660607
69,94.25,44.5556619462196
70,121.849999999999,43.5790994926038
71,117.350000000002,41.7480448920743
72,107.800000000003,42.2363261188822
73,115.349999999999,41.8090800454253
74,112.099999999999,42.2973612722331
75,112.75,43.1518534191469
76,104.300000000003,42.5415018856371
77,107.25,42.6635721923391
78,133.950000000001,41.5039042786703
79,92.2999999999993,41.5039042786703
80,106.550000000003,43.3349588791999
81,98.9500000000007,41.9311503521272
82,123.200000000001,41.0156230518624
83,90,42.6635721923391
84,125.549999999999,38.0859356910151
85,96.0499999999993,42.0532206588292
86,127.299999999999,40.2221660582996
87,110.049999999999,40.8325175918095
88,107.549999999999,40.7714824384585
89,130,38.2690411510681
90,118.5,39.7338848314917
91,107.25,39.2456036046839
92,98.4000000000015,38.452146611121
93,105.25,37.4755841575053
94,102.25,39.7949199848427
95,122.549999999996,34.5458967966579
96,93.5,36.3769513971875
97,113.5,36.6821271639425
98,133.849999999999,33.8745101097971
99,106.949999999997,35.4614240969227
100,123.550000000003,33.6914046497442
101,115.700000000004,34.8510725634129
102,120.849999999999,32.2265609693205
103,123.800000000003,32.6538070427774
104,140.699999999997,25.4516589473611
105,111.099999999999,33.3862288829892
106,134,28.9916978417182
107,181.699999999997,3.35693343430422
108,385.650000000001,31.3720688224067
109,125.650000000001,30.7006821355458
110,137.099999999999,28.5644517682613
111,451.75,28.3203111548574
112,102.300000000003,31.3720688224067
113,167.549999999996,17.9443350851898
114,134.099999999999,18.0053702385408
115,126.050000000003,22.0336903597059
116,130.400000000001,23.3154285800766
117,143.799999999996,13.6718743506208
118,115.25,24.4750964937453
119,121.349999999999,25.878905020818
120,659.900000000001,32.1044906626185
121,124.050000000003,23.6816395001825
122,1221.7,36.8652326239954
123,110.800000000003,30.8837875955988
124,107,32.2265609693205
125,2543.2,37.5976544642072
126,132.900000000001,32.3486312760225
127,111.950000000004,33.0200179628833
