"Sweep (n)","RR (ms)"
1,NA
2,352.85
3,358.6
4,354.6
5,340.8
6,339.8
7,363.05
8,340.5
9,354.45
10,351.95
11,368.5
12,339.95
13,361.099999999999
14,377.25
15,348
16,399.2
17,340.450000000001
18,358.799999999999
19,328.35
20,382.8
21,386.5
22,400.799999999999
23,378.35
24,372.35
25,325.199999999999
26,344.200000000001
27,346.5
28,361.35
29,361.35
30,354.199999999999
31,432.9
32,385
33,375.700000000001
34,365.699999999999
35,365.450000000001
36,361.200000000001
37,343.349999999999
38,371.950000000001
39,339.75
40,378.450000000001
41,360.9
42,354.35
43,419.15
44,457.199999999999
45,396.75
46,396.300000000001
47,413.399999999998
48,369.700000000001
49,396.200000000001
50,378
51,379.200000000001
52,370.149999999998
53,392.700000000001
54,388.650000000001
55,371.450000000001
56,413.25
57,366.599999999999
58,406.5
59,392.599999999999
60,423.200000000001
61,386.099999999999
62,392.25
63,387.700000000001
64,393.299999999999
65,412.100000000002
66,389.149999999998
67,400.200000000001
68,394.700000000001
69,405.299999999999
70,382.100000000002
71,394.399999999998
72,415.850000000002
73,374.25
74,397
75,403.649999999998
76,376.900000000001
77,405.649999999998
78,378.200000000001
79,412.299999999999
80,404.150000000001
81,378.799999999999
82,400.400000000001
83,387
84,367.699999999997
85,385.25
86,393.600000000002
87,411.149999999998
88,392.400000000001
89,379.5
90,394.5
91,393.400000000001
92,388.049999999996
93,397.550000000003
94,398.150000000001
95,392.349999999999
96,396.349999999999
97,385.900000000001
98,408.300000000003
99,396.049999999996
100,388.550000000003
101,409.75
102,374.299999999996
103,406.350000000006
104,385.5
105,391.5
106,397.099999999999
107,393.549999999996
108,357.25
109,392.5
110,386.5
111,377
112,366.800000000003
113,391.599999999999
114,400.900000000001
115,405.949999999997
116,404
117,375.349999999999
118,387.5
119,386.800000000003
120,390
121,396.849999999999
122,395.349999999999
123,391.25
124,400.75
125,386
126,387.350000000006
127,398.5
128,368.799999999996
129,376
130,395.599999999999
131,401.400000000001
132,396.5
133,379.5
134,403.5
135,397.400000000001
136,389.949999999997
137,390.100000000006
138,408.949999999997
139,370.599999999999
140,387.450000000004
141,393.299999999996
142,405.450000000004
143,434.799999999996
144,382.050000000003
145,422.049999999996
146,393.700000000004
147,374
148,383.699999999997
149,393.599999999999
150,402.900000000001
151,409.650000000001
152,410.300000000003
153,382.899999999994
154,420.100000000006
155,401.549999999996
156,396.950000000004
157,405.849999999999
158,395.150000000001
159,402.849999999999
160,442.449999999997
161,378.949999999997
162,405.850000000006
163,423.949999999997
164,405.400000000001
165,397.75
166,396.949999999997
167,399.25
168,399.099999999999
169,393.100000000006
170,396.149999999994
171,398.150000000009
172,373.399999999994
173,407.149999999994
174,382.050000000003
175,393.800000000003
176,392.699999999997
177,390.5
178,392.100000000006
179,405.949999999997
