"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,241.1,-9.76562453614438
2,236.4,-10.9863276031874
3,200.6,-9.76562453616658
4,272.95,-9.76562453616658
5,18.55,-10.9863276031874
6,160.7,-10.9863276031874
7,178.9,-8.54492146918469
8,181.25,-9.76562453612217
9,209.45,-12.2070306701528
10,127.9,-8.54492146918469
11,63.1500000000001,-10.9863276031374
12,214.1,-9.76562453621099
13,189.05,-9.76562453612225
14,128.05,-8.54492146918469
15,118.1,-10.9863276031374
16,222.85,-12.2070306701527
17,199.5,-9.76562453629981
18,207.95,-12.2070306701527
19,166.55,-8.5449214691069
20,248.3,-12.2070306701527
21,197.2,-8.54492146926233
22,220.45,-8.54492146926241
23,203.65,-9.76562453629981
24,180.95,-8.54492146910697
25,108.75,-9.76562453612225
26,121.650000000001,-10.9863276031375
27,6.65000000000055,-9.76562453612217
28,210.999999999999,-9.76562453629981
29,186,-9.76562453629988
30,210.799999999999,-8.54492146926236
31,208.549999999999,-8.54492146926241
32,327.65,-9.76562453594454
33,245.75,-10.9863276029376
34,91,-8.54492146926248
35,221.949999999999,-9.76562453629995
36,213.1,-10.9863276033374
37,241.849999999999,-8.54492146926248
38,179.549999999999,-10.9863276033374
39,16,-12.2070306699307
40,608.75,-9.76562453629981
41,94.6999999999989,-9.76562453629981
42,231.849999999999,-9.76562453629981
43,124.15,-9.76562453594461
44,47.3999999999996,-9.76562453594454
45,203.400000000001,-9.76562453594461
46,3.10000000000036,-9.76562453629995
47,246.65,-9.76562453629981
48,120.75,-9.76562453594461
49,216.299999999999,-9.76562453629988
50,137.799999999999,-9.76562453629981
51,207.549999999999,-8.54492146926236
52,137.85,-8.54492146926241
53,217.449999999999,-9.76562453629984
54,254,-9.76562453630009
55,231.950000000001,-9.76562453629988
56,206.25,-10.9863276029376
57,96.4500000000007,-10.9863276025379
58,266.899999999998,-9.76562453629995
59,279.950000000001,-9.76562453629981
60,243.049999999999,-10.9863276033373
61,199.349999999999,-8.54492146926235
62,180.849999999999,-9.76562453629981
63,45.1499999999978,-10.9863276033373
64,117.799999999999,-10.9863276033373
65,230.550000000003,-9.76562453558927
66,194.199999999997,-9.76562453629985
67,209.75,-9.76562453558934
68,282.25,-9.76562453558927
69,182.699999999997,-8.54492146926235
70,279.25,-9.76562453629985
71,32.7999999999993,-9.76562453629981
72,203.549999999999,-8.54492146926235
73,9.75,-9.76562453629981
74,69.8499999999985,-9.76562453629981
75,112.799999999999,-9.76562453629981
76,229.599999999999,-9.76562453629988
77,89.8500000000022,-9.76562453558927
78,118.049999999999,-8.54492146926248
79,241.149999999998,-13.4277337374122
80,31.75,-9.76562453629981
81,219.349999999999,-9.76562453629981
82,247.5,-9.76562453629981
83,284.349999999999,-10.9863276033373
84,4.54999999999927,-8.54492146926233
85,315.349999999999,-9.76562453629981
86,180.599999999999,-9.76562453629981
87,210.700000000001,-9.76562453629981
88,215.950000000001,-9.7656245355893
89,205.5,-9.76562453629983
90,270.850000000002,-8.54492146926241
91,189.700000000001,-8.54492146926237
92,144.599999999999,-10.9863276033373
93,156.049999999999,-9.76562453629981
94,260.150000000001,-8.54492146926248
95,184.049999999999,-8.54492146926241
96,230.549999999999,-9.76562453629981
97,283.700000000001,-9.76562453629995
98,128,-9.76562453629981
99,194.049999999999,-9.76562453629983
100,238.899999999998,-9.76562453629981
101,111,-9.76562453558927
102,290.099999999999,-9.76562453629981
103,247,-8.54492146926233
104,219.549999999999,-8.54492146926236
105,213.099999999999,-8.54492146926234
106,218.199999999997,-9.76562453629985
107,199.349999999999,-8.54492146926235
108,492.349999999999,-8.54492146926234
109,136.599999999999,-9.76562453701035
