"Sweep (n)","APA (mV)"
1,88.0798277500394
2,88.9129575738825
3,88.7084898149174
4,90.1336606124805
5,87.8265318695303
6,86.1572204642475
7,85.7818542798786
8,85.4675232474396
9,82.6721132890502
10,84.619134635614
11,83.5815370528057
12,83.9263856612097
13,67.474360458505
14,82.6263369251028
15,81.4056338865048
16,85.2386414277025
17,86.2396179193529
18,83.3892763242265
19,67.3614454274347
20,80.9997501261709
21,84.5703065140701
22,84.8907410617021
23,85.4827820354221
24,84.8327576673687
25,85.4095398531062
26,83.5967958407882
27,64.8193313495543
28,85.8947693109489
29,86.8682799842308
30,85.9588562204753
31,91.3268978327101
32,89.205926303146
33,83.3343446874896
34,86.2304626465634
35,84.5153748773332
36,70.0164745363853
37,86.0107360996158
38,79.9529972705731
39,82.165521528032
40,75.2044624504269
41,76.992792401973
42,66.1651564496086
43,68.0328320986636
44,66.3024855414509
45,82.7148378954011
46,74.5696968703559
47,89.4592221836551
48,86.8682799842308
49,87.4206481091964
50,88.1011900532148
51,89.6301206090588
52,86.0504089483702
53,88.0950865380219
54,88.3270201153555
55,83.6028993559812
56,85.5010925810011
57,86.1968933130019
58,87.8784117486707
59,87.1429381679154
60,77.4047796774998
61,76.1260932445684
62,74.9755806306897
63,78.9794865972912
64,103.622429188989
65,103.137199731146
66,102.423088453566
67,102.502434151075
68,100.784294624248
69,100.427238985458
70,99.1973806740707
71,98.5229422452453
72,97.201531205963
73,96.3165215029794
74,96.1761406535407
75,95.370476648066
76,93.4478693622741
77,92.7398615998873
78,92.282097960413
79,91.998284503939
80,93.7133722731692
81,92.9260188132735
82,91.3177425599206
83,90.3259213410597
84,90.3045590378842
85,92.0135432919215
86,90.2893002499018
87,87.8539976878987
88,84.5580994836841
89,88.1195005987938
90,88.2080015690922
91,89.5294126083745
92,88.5284361167242
93,80.8837833375041
94,84.3841493006839
95,85.4431091866677
96,85.6109558544749
97,82.8735292904189
98,85.7818542798786
99,85.4217468834922
100,85.2752625188604
101,81.579584069505
102,79.9102726642222
103,84.341424694333
104,87.1765075014768
105,84.5214783925262
106,85.7025085823697
107,87.6525816865301
108,81.4453067352592
109,80.975336065399
110,86.8286071354764
111,88.4368833888293
112,85.9771667660543
113,85.6536804608258
114,87.2497496837927
115,84.6221863932105
116,83.8104188725428
117,83.6486757199286
118,87.4755797459334
119,85.9161316141244
120,81.9183291627159
121,80.4565372739948
122,77.5451605269386
123,80.340570485328
124,86.6760192556517
125,84.7045838483159
126,83.3099306267177
127,86.4257751327391
128,87.2222838654243
129,90.1519711580595
130,88.5284361167242
131,87.097161803968
132,87.1185241071434
133,86.7980895595115
134,85.9130798565279
135,86.2823425257038
136,87.084954773582
137,86.3799987687916
138,86.3464294352302
139,85.1837097909656
140,87.664788716916
141,85.4736267626326
142,87.8295836271268
143,86.1114441003001
144,88.0981382956183
145,86.5722594973708
146,89.1906675151636
147,86.5142761030374
148,86.3067565864758
149,85.7543884615102
150,86.9232116209678
151,85.4461609442642
152,85.6567322184223
153,87.1490416831084
154,86.4776550118795
155,84.3322694215435
156,86.7340026499851
157,86.480706769476
158,89.0411313929353
159,88.1225523563903
160,87.5060973218983
161,88.7878355124262
162,88.6291441174085
163,89.6301206090588
164,89.9780209750593
165,89.2089780607425
166,87.7868590207759
167,89.5233090931815
168,90.5853207367618
169,88.1286558715833
170,92.2485286268516
171,99.661247828738
172,81.6924991005753
173,83.0749452917875
174,88.5040220559522
175,85.1867615485621
176,89.1021665448652
177,91.3391048630961
178,91.4855892277278
179,89.7094663065677
180,90.4479916449195
181,89.5843442451114
182,88.0615172044604
183,90.1763852188315
184,89.7186215793572
185,87.9089293246357
186,83.8165223877358
187,85.2783142764569
188,88.1439146595658
189,85.2020203365446
190,84.6404969387895
191,86.1389099186685
192,85.1837097909656
193,88.5162290863382
194,85.858148219791
195,84.4299256646313
196,83.5052431128933
197,81.2988223706274
198,82.4127138933481
199,81.7596377676982
200,84.7778260306318
201,74.9206489939528
202,78.8787785966069
203,70.82213854186
204,87.5610289586352
205,101.129143232652
206,100.070183346668
207,97.7783133917006
208,96.6247490202254
209,95.0897149491884
210,95.2239922834342
211,93.7652521523096
212,92.8405696005716
213,94.5007257330649
214,91.8853694728687
215,91.9311458368161
216,88.6596616933734
217,87.9669127189691
218,88.60167829904
219,87.6922545352845
220,88.4216246008468
221,86.184686282616
222,84.2315614208592
223,81.0028018837674
224,80.3985538796614
225,81.6223086758559
226,91.4581234093594
227,105.740348960956
228,106.192009085237
229,104.861442773166
230,104.388420345709
231,103.524772945901
232,101.760857055127
233,100.833122745792
234,101.04369401995
235,99.6276784951766
236,99.7772146174048
237,98.5656668515963
238,100.15563255937
239,99.5452810400712
240,99.0539480670355
241,98.5870291547717
242,99.6032644344046
243,97.0947196900857
244,97.0062187197873
245,97.7844169068935
246,95.35826961768
247,95.3948907088379
248,96.89940720391
249,94.3359308228542
250,94.7570733711705
251,96.3684013821199
252,95.9258965306281
253,96.0205010161194
254,98.0010916962447
255,97.3174979946298
256,98.1994559400169
257,97.5921561783144
258,98.4680106085084
259,97.521965753595
260,96.4813164131902
261,96.0876396832423
262,95.5230645278907
263,97.9431083019113
264,96.1852959263302
265,95.025628039662
266,95.6146172557856
267,93.841546092222
268,94.5037774906614
269,94.7784356743459
270,95.1263360403464
271,95.9960869553475
272,94.1650323974504
273,94.8638848870478
274,96.2615898662425
275,96.2554863510495
276,95.956414106593
277,95.7702568932068
278,96.2432793206636
279,94.9096612509952
280,95.4437188303819
281,91.7632991690089
282,95.6695488925225
283,95.956414106593
284,94.8089532503109
285,94.5648126425913
286,94.2596368829418
287,93.7042170003797
288,94.3664483988191
289,95.352166102487
290,94.5617608849948
291,95.2453545866097
292,98.1109549697185
293,95.037835070048
294,95.9503105914
295,95.4681328911538
296,95.2239922834342
297,90.7287533437971
298,89.9444516414978
299,93.1732111785896
300,94.0978937303275
301,93.1671076633966
302,93.7011652427832
303,95.5474785886627
304,94.8425225838723
305,94.8699884022408
306,96.1242607744003
307,96.1181572592073
308,95.7122734988734
309,96.4996269587691
310,95.4467705879784
311,95.956414106593
312,96.4691093828042
313,95.8892754394701
314,96.8383720519801
315,97.9400565443148
316,98.2391287887713
317,96.5484550803131
318,96.893303688717
319,96.4691093828042
320,95.9197930154351
321,96.1212090168038
322,97.3754813889632
323,96.8017509608221
324,96.4569023524182
325,93.3563166343793
326,96.270745139032
327,94.2230157917839
328,96.7895439304362
329,94.4885187026789
330,94.717400522416
331,94.5556573698018
332,96.252434593453
333,96.7346122936993
334,96.282952169418
335,97.1221855084541
336,94.4030694899771
337,95.0103692516796
338,94.772332159153
339,95.7702568932068
340,95.9197930154351
341,95.6085137405926
342,95.5963067102066
343,95.6176690133821
344,96.6705253841729
345,96.282952169418
346,95.9350518034176
347,95.9350518034176
348,97.1313407812436
349,96.7468193240852
350,97.0886161748927
351,97.0733573869102
352,97.1496513268226
353,95.7122734988734
354,96.5454033227166
355,96.0082939857334
356,97.4059989649282
357,97.0947196900857
358,96.6339042930149
359,95.968621136979
360,99.2217947348427
361,98.5412527908243
362,95.7855156811893
363,92.2973567483955
364,94.0673761543626
365,92.3675471731149
366,90.9301693451657
