"Sweep (n)","APA (mV)"
1,105.722038415377
2,105.096428108096
3,104.769890045271
4,104.333488708972
5,104.000847130954
6,104.01305416134
7,104.089348101252
8,103.23790773183
9,103.64684324976
10,103.466789551567
11,103.466789551567
12,102.685539606865
13,102.221672452197
14,101.611320932898
15,101.748650024741
16,102.648918515707
17,102.239982997776
18,102.120964451513
19,101.846306267828
20,101.632683236074
21,101.519768205003
22,100.92162371609
23,101.763908812723
24,100.98265886802
25,101.27867935488
26,100.286858136019
27,101.101677414284
28,101.129143232652
29,101.599113902512
30,101.943962510916
31,101.055901050336
32,100.637810259616
33,101.681511357618
34,100.250237044862
35,100.442497773441
36,101.473991841056
37,100.640862017213
38,100.753777048283
39,101.058952807933
40,101.11388444467
41,100.22582298409
42,100.668327835581
43,99.8626638301067
44,99.1180349765619
45,100.662224320388
46,101.565544568951
47,101.242058263722
48,100.744621775494
49,100.045769285896
50,100.241081772072
51,100.259392317651
52,99.3987966754394
53,100.170891347353
54,99.7070241926854
55,99.0905691581934
56,100.454704803827
57,100.115959710616
58,100.326530984774
59,100.854485048968
60,100.299065166405
61,100.650017290002
62,99.7253347382644
63,100.518791713353
64,100.360100318335
65,99.957268315598
66,100.62560322923
67,99.9725271035805
68,99.2675710987901
69,99.1393972797373
70,99.3865896450534
71,99.2004324316672
72,99.9053884364576
73,100.170891347353
74,100.106804437826
75,99.4750906153518
76,98.9044119448072
77,100.061028073879
78,100.192253650528
79,100.445549531037
80,100.189201892932
81,99.2431570380182
82,100.637810259616
83,100.256340560055
84,99.7375417686504
85,100.259392317651
86,100.27770286323
87,100.16478783216
88,99.8199392237557
89,99.6887136471064
90,99.0234304910705
91,99.7222829806679
92,101.33971450681
93,98.9074637024037
94,100.567619834897
95,99.4354177665974
96,100.372307348721
97,99.3774343722639
98,99.0753103702109
99,98.9898611575091
100,99.2889334019656
101,98.8342215200878
102,99.4140554634219
103,99.359123826685
104,99.5269704944922
105,99.1302420069479
106,99.7680593446153
107,99.3194509779305
108,99.0173269758775
109,97.0672538717172
110,97.3968436921387
111,98.1170584849115
112,98.6480643067016
113,98.4313895173505
114,99.6093679495976
115,98.6419607915087
116,98.8464285504738
117,99.8168874661592
118,99.9969411643524
119,100.228874741686
120,100.173943104949
121,100.476067107002
122,99.6826101319135
123,100.836174503389
124,99.9206472244401
125,100.253288802458
126,99.8901296484751
127,99.1912771588778
128,99.3896414026499
129,99.2828298867726
130,98.9471365511582
131,100.076286861861
132,99.0722586126144
133,100.845329776178
134,100.341789772756
135,98.6907889130526
136,98.9196707327897
137,98.8616873384563
138,98.9623953391406
139,98.2269217583853
140,98.6419607915087
141,97.3785331465597
142,98.6785818826666
143,99.8779226180891
144,99.6063161920011
145,99.1760183708953
146,99.0905691581934
147,99.9267507396331
148,98.9013601872107
149,98.9623953391406
150,98.8189627321054
151,99.6154714647906
152,99.2797781291761
153,98.9074637024037
154,99.0295340062635
155,99.371330857071
156,99.8626638301067
157,99.5788503736326
158,99.2462087956147
159,98.9746023695266
160,99.365227341878
161,99.9481130428085
162,98.6328055187192
163,99.2736746139831
164,99.2645193411936
165,98.0865409089465
166,98.5778738819823
167,99.4415212817903
168,100.299065166405
169,99.3255544931235
170,98.5992361851577
171,97.6928641789987
172,98.1811453944379
173,98.7029959434386
174,98.0316092722096
175,98.5534598212103
176,99.2462087956147
177,98.452751820526
178,99.5819021312291
179,99.9999929219489
180,99.063103339825
181,98.8830496416318
182,98.9257742479827
183,97.225945266735
184,97.9309012715253
185,98.712151216228
186,98.0529715753851
187,97.7142264821742
188,98.7579275801755
189,97.3236015098228
190,97.8973319379639
191,96.6308525354184
192,98.2757498799293
193,97.5738456327354
194,98.2726981223328
195,98.1597830912624
196,97.4822929048405
197,98.3215262438767
198,98.5473563060173
199,97.6592948454372
200,99.0661550974215
201,97.8912284227709
202,97.7050712093847
203,99.0112234606845
204,98.6663748522806
205,99.03258576386
206,97.5524833295599
207,98.4588553357189
208,97.781365149297
209,97.817986240455
210,97.9186942411393
211,97.836296786034
212,98.9593435815441
213,97.781365149297
214,96.6827324145588
215,96.7895439304362
216,96.2219170174881
217,96.9512870830504
218,96.3470390789444
219,98.1506278184729
220,98.7457205497895
221,96.9024589615065
222,96.7040947177343
223,98.1933524248239
224,97.5433280567704
225,97.811882725262
226,96.0876396832423
227,97.8424003012269
228,98.4558035781224
229,97.201531205963
230,97.0367362957523
231,96.3836601701023
232,95.7244805292594
233,95.2423028290132
234,97.19542769077
235,95.6268242861716
236,98.0438163025956
237,98.0194022418237
238,96.3592461093304
239,96.8719413855415
240,96.917717749489
241,96.5545585955061
242,97.3968436921387
243,98.1353690304905
244,97.7355887853496
245,97.3693778737702
246,97.4944999352265
247,97.1618583572086
248,96.7254570209098
249,97.1374442964366
250,97.6501395726478
251,97.1038749628752
252,97.5128104808055
253,95.9258965306281
254,96.578972656278
255,97.3297050250158
256,97.521965753595
257,98.0102469690342
258,96.8353202943836
259,97.4761893896475
260,97.0397880533488
261,96.7010429601378
262,97.6379325422618
263,96.9421318102609
264,96.597283201857
265,96.9726493862259
266,98.138420788087
267,98.446648305333
268,98.0590750905781
269,97.7569510885251
270,97.6745536334197
271,97.3083427218403
272,97.3113944794368
273,98.0865409089465
274,97.3022392066473
275,98.0255057570166
276,97.8790213923849
277,96.4477470796287
278,97.6318290270688
279,98.699944185842
280,96.9482353254539
281,98.1628348488589
282,98.2971121831047
283,97.3052909642438
284,96.1883476839267
285,96.4019707156813
286,97.1343925388401
287,97.1008232052787
288,97.177117145191
289,97.9003836955604
290,98.3764578806136
291,97.9461600595078
292,97.4761893896475
293,97.5250175111915
294,96.2158135022951
295,96.9421318102609
296,96.9451835678574
297,96.9390800526644
298,95.6390313165575
299,97.836296786034
300,97.0245292653663
301,95.9411553186106
302,96.1578301079617
303,96.0571221072774
304,97.6348807846653
305,96.8414238095766
306,97.5402762991739
307,96.4477470796287
308,96.1944511991196
309,95.4467705879784
310,95.2117852530482
311,95.6207207709786
312,95.4742364063468
313,95.0988702219779
314,97.0642021141207
315,96.8536308399626
316,98.2696463647363
317,97.6684501182267
318,96.5637138682955
319,98.0316092722096
320,96.6918876873483
321,96.8505790823661
322,97.8729178771919
323,96.9238212646819
324,95.7580498628209
325,96.2341240478741
326,96.9787529014189
327,96.9390800526644
328,96.1700371383477
329,96.4874199283832
330,95.9899834401545
331,96.2402275630671
332,96.6308525354184
333,96.7376640512958
334,95.5749444070312
335,96.0510185920844
336,95.080559676399
337,96.4263847764533
338,98.138420788087
339,96.264641623839
340,97.4487235712791
341,96.7559745968747
342,97.0062187197873
343,97.6074149662968
344,96.7895439304362
345,96.2432793206636
346,96.6186455050324
347,94.8455743414688
348,97.4670341168581
349,96.2402275630671
350,95.7061699836804
351,95.6634453773295
352,97.2289970243314
353,96.9879081742083
354,96.4355400492427
355,95.9960869553475
356,97.1740653875945
357,98.0224539994202
358,97.1374442964366
359,96.2097099871021
360,95.6634453773295
361,95.8465508331192
362,95.4467705879784
363,95.8923271970666
364,95.1080254947674
365,95.5017022247153
366,95.5657891342417
367,94.9249200389777
368,96.4935234435762
369,93.8598566378009
370,96.2554863510495
371,96.2188652598916
372,95.3277520417151
373,96.8231132639976
374,95.6054619829961
375,97.1252372660506
376,96.8322685367871
377,94.0521173663801
378,96.4050224732778
379,95.0836114339955
380,94.1101007607136
381,95.8831719242771
382,95.3857354360485
383,95.5047539823118
384,96.8109062336116
385,96.7254570209098
386,97.3663261161737
387,96.7590263544712
388,96.3928154428918
389,98.107903212122
390,98.2299735159818
391,95.6573418621365
392,96.3714531397164
393,94.4488458539245
394,95.0591973732235
395,97.9522635747008
396,96.0357598041019
397,98.5961844275612
398,96.6705253841729
399,97.1618583572086
400,97.2534110851034
401,96.4019707156813
402,97.3754813889632
403,96.862786112752
404,96.6522148385939
405,97.8820731499814
406,96.905510719103
407,98.4893729116839
408,97.4639823592616
409,98.6267020035262
410,98.7213064890175
411,97.4334647832966
412,98.0285575146131
413,98.9837576423161
414,98.2910086679117
415,97.171013629998
