"Sweep (n)","APA (mV)"
1,99.3621755842815
2,98.7640310953684
3,98.6541678218946
4,100.253288802458
5,100.662224320388
6,100.775139351459
7,100.848381533775
8,98.397820183789
9,99.7222829806679
10,99.0905691581934
11,98.7457205497895
12,98.7701346105614
13,98.6389090339122
14,98.7396170345965
15,97.9522635747008
16,98.0194022418237
17,98.3550955774381
18,96.2402275630671
19,97.0550468413312
20,97.7325370277531
21,99.316399220334
22,99.4354177665974
23,100.067131589072
24,98.3642508502276
25,97.1191337508576
26,98.4863211540874
27,97.6409842998583
28,96.3348320485584
29,96.9970634469978
30,97.6165702390863
31,99.1546560677198
32,98.0743338785606
33,97.473137632051
34,99.0905691581934
35,98.3825613958066
36,98.2726981223328
37,98.8433767928773
38,98.403923698982
39,97.3083427218403
40,98.5931326699647
41,96.2860039270145
42,96.7742851424537
43,97.3388602978053
44,97.1862724179805
45,98.4374930325435
46,98.4710623661049
47,96.7529228392782
48,95.962517621786
49,98.0865409089466
50,98.7274100042105
51,98.8098074593159
52,97.6898124214022
53,98.3184744862802
54,99.2584158260006
55,98.8494803080703
56,98.6633230946841
57,99.0966726733864
58,96.5454033227166
59,98.3550955774381
60,98.5870291547717
61,97.793572179683
62,96.4202812612603
63,98.2971121831047
64,99.6826101319134
65,100.454704803827
66,99.4140554634219
67,97.6074149662968
68,97.1496513268226
69,94.0032892448362
70,97.0947196900857
71,98.9044119448072
72,96.585076171471
73,96.5087822315586
74,97.4182059953141
75,99.8535085573172
76,99.359123826685
77,99.2248464924392
78,99.0844656430004
79,98.3306815166661
80,98.6663748522806
81,98.1964041824204
82,98.101799696929
83,98.8281180048948
84,99.063103339825
85,98.2849051527187
86,99.8687673452996
87,100.878899109739
88,94.9462823421532
89,98.8342215200878
90,98.730461761807
91,99.8687673452996
92,104.559318771113
93,104.681389074972
94,101.141350263038
95,84.323114148754
96,88.8641294523386
97,101.715080691179
98,102.117912693916
99,101.501457659424
100,100.054924558686
101,100.146477286581
102,100.860588564161
103,101.248161778915
104,101.107780929477
105,99.7222829806679
106,90.1397641276735
107,89.3218930918129
108,90.4418881297265
109,86.5722594973708
110,88.4216246008468
111,95.9167412578386
112,91.5405208644647
113,88.1896910235132
114,86.8926940450028
115,94.9615411301357
116,93.4173517863092
117,95.2270440410307
118,93.4020929983267
119,90.5181820696389
120,91.345208378289
121,91.4977962581138
122,96.1822441687337
123,98.1109549697185
124,101.480095356249
125,98.1872489096309
126,99.0753103702109
127,99.975578861177
128,98.5076834572629
129,99.7802663750013
130,101.8707203286
131,103.149406761532
132,100.842278018582
