"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",28,20.4772934724816,346.45
1,"APD 50",67.05,-9.33837824527477,385.5
1,"APD 90",124.7,-49.1943324554998,443.15
2,"APD 20",28.35,20.233152864762,676.4
2,"APD 50",68.35,-9.46044854913457,716.4
2,"APD 90",128.1,-48.9196742718152,776.15
3,"APD 20",29.15,19.7448716493228,1016.25
3,"APD 50",66.55,-9.79614188474903,1053.65
3,"APD 90",127.4,-49.3164027593596,1114.5
4,"APD 20",32.05,20.7214340802012,1340.95
4,"APD 50",73.8,-9.42993097316962,1382.7
4,"APD 90",132.2,-49.5300257911142,1441.1
5,"APD 20",31.8499999999999,21.2402328716054,1657.9
5,"APD 50",66.8499999999999,-8.88061460580052,1692.9
5,"APD 90",125.15,-49.1943324554998,1751.2
6,"APD 20",33.4000000000001,21.45385590336,1981.95
6,"APD 50",71.8500000000001,-8.72802672597577,2020.4
6,"APD 90",126.65,-49.041744575675,2075.2
7,"APD 20",32.6000000000004,21.3012680235353,2285
7,"APD 50",71.75,-9.06372006159022,2324.15
7,"APD 90",130.85,-49.2553676074297,2383.25
8,"APD 20",31.5500000000002,19.9279771051125,2644.6
8,"APD 50",69.1500000000001,-9.67407158088923,2682.2
8,"APD 90",130.65,-48.9501918477802,2743.7
9,"APD 20",35.8499999999999,20.874021960026,2985.5
9,"APD 50",74.4000000000001,-9.12475521352012,3024.05
9,"APD 90",134.05,-48.9501918477802,3083.7
10,"APD 20",32.5999999999999,20.4772934724816,3316.7
10,"APD 50",72.1499999999996,-9.21630794141497,3356.25
10,"APD 90",130,-48.8586391198853,3414.1
11,"APD 20",33.4499999999998,20.233152864762,3668.05
11,"APD 50",70.8499999999999,-9.33837824527477,3705.45
11,"APD 90",128,-48.8281215439204,3762.6
12,"APD 20",32.75,20.5383286244115,4009.3
12,"APD 50",72.6999999999998,-9.06372006159022,4049.25
12,"APD 90",131.75,-48.6144985121657,4108.3
13,"APD 20",31.8500000000004,20.6909165042363,4348.5
13,"APD 50",70.1499999999996,-8.85009702983557,4386.8
13,"APD 90",127.65,-48.4008754804111,4444.3
14,"APD 20",30.8000000000002,20.263670440727,4668.45
14,"APD 50",68.8500000000004,-9.36889582123972,4706.5
14,"APD 90",126.1,-48.8586391198853,4763.75
15,"APD 20",33.25,20.1721177128321,5015.4
15,"APD 50",74.75,-9.21630794141497,5056.9
15,"APD 90",132.35,-48.4008754804111,5114.5
16,"APD 20",35.9499999999998,20.5383286244115,5379.3
16,"APD 50",72.6500000000005,-8.88061460580052,5416
16,"APD 90",128.5,-48.0041469928667,5471.85
17,"APD 20",30,20.7214340802012,5701.9
17,"APD 50",65.1999999999998,-8.72802672597577,5737.1
17,"APD 90",124.25,-48.0651821447966,5796.15
18,"APD 20",28.5,19.1955552819537,6048.7
18,"APD 50",63.5999999999995,-9.67407158088923,6083.8
18,"APD 90",124.25,-48.1872524486564,6144.45
19,"APD 20",30.8500000000004,20.233152864762,6386.6
19,"APD 50",63.0500000000002,-8.85009702983557,6418.8
19,"APD 90",120.950000000001,-47.6684536572523,6476.7
20,"APD 20",30.5,20.6603989282713,6728.35
20,"APD 50",68.1499999999996,-8.69750915001082,6766
20,"APD 90",128.55,-47.7294888091822,6826.4
21,"APD 20",34,21.2402328716054,7050.9
21,"APD 50",71.1999999999998,-8.60595642211597,7088.1
21,"APD 90",127.05,-48.3093227525162,7143.95
22,"APD 20",34.8999999999996,21.5148910552899,7368.05
22,"APD 50",74.3000000000002,-8.30078066246646,7407.45
22,"APD 90",130.45,-48.0346645688317,7463.6
23,"APD 20",36.8999999999996,21.6064437831848,7699.55
23,"APD 50",75.75,-8.39233339036132,7738.4
23,"APD 90",134.049999999999,-48.4008754804111,7796.7
24,"APD 20",35.2999999999993,20.2941880166919,8026.7
24,"APD 50",71.1999999999998,-9.21630794141497,8062.6
24,"APD 90",129.2,-48.6144985121657,8120.6
25,"APD 20",32.3500000000004,19.4091783137084,8398.65
25,"APD 50",71.7000000000007,-9.70458915685418,8438
25,"APD 90",130.65,-48.5534633602358,8496.95
26,"APD 20",31.25,21.1791977196755,8737.3
26,"APD 50",70.0499999999993,-8.48388611825617,8776.1
26,"APD 90",129.5,-47.7600063851471,8835.55
27,"APD 20",32.5499999999993,20.0805649849373,9074.3
27,"APD 50",72.7999999999993,-9.12475521352012,9114.55
27,"APD 90",131.9,-48.1872524486564,9173.65
28,"APD 20",29.8500000000004,18.981932250199,9432.4
28,"APD 50",66.7999999999993,-9.97924734053873,9469.35
28,"APD 90",125.200000000001,-48.431393056376,9527.75
29,"APD 20",29.5,19.8364243772177,9773.4
29,"APD 50",65.7999999999993,-9.27734309334487,9809.7
29,"APD 90",126.35,-48.0651821447966,9870.25
30,"APD 20",32.1499999999996,20.233152864762,10119.05
30,"APD 50",72.0499999999993,-9.03320248562527,10158.95
30,"APD 90",132.75,-48.0651821447966,10219.65
31,"APD 20",36.8999999999996,21.3012680235353,10491.6
31,"APD 50",76.5,-8.51440369422112,10531.2
31,"APD 90",132.800000000001,-48.0956997207616,10587.5
32,"APD 20",34.1000000000004,20.5078110484466,10835
32,"APD 50",71.0499999999993,-8.97216733369537,10871.95
32,"APD 90",128.099999999999,-48.1567348726915,10929
33,"APD 20",36.9500000000007,20.233152864762,11169.95
33,"APD 50",75.8500000000004,-9.00268490966032,11208.85
33,"APD 90",135.700000000001,-48.0041469928667,11268.7
34,"APD 20",36.8500000000004,21.1486801437105,11521.85
34,"APD 50",78.6500000000015,-8.57543884615102,11563.65
34,"APD 90",135.800000000001,-48.1872524486564,11620.8
35,"APD 20",42,20.3857407445868,11896.9
35,"APD 50",83.2999999999993,-9.12475521352012,11938.2
35,"APD 90",140.15,-48.4924282083059,11995.05
36,"APD 20",37.7000000000007,20.4467758965167,12261.7
36,"APD 50",76.8500000000004,-9.00268490966032,12300.85
36,"APD 90",133.800000000001,-48.3398403284812,12357.8
37,"APD 20",31.6999999999989,20.5688462003765,12596
37,"APD 50",68.3999999999996,-9.06372006159022,12632.7
37,"APD 90",125.449999999999,-48.5839809362008,12689.75
38,"APD 20",35.3500000000004,20.9045395359909,12936.2
38,"APD 50",74.5500000000011,-8.63647399808092,12975.4
38,"APD 90",133.1,-48.0346645688317,13033.95
39,"APD 20",31.1000000000004,19.7753892252878,13268.6
39,"APD 50",67.6500000000015,-9.39941339720467,13305.15
39,"APD 90",127.050000000001,-48.3093227525162,13364.55
40,"APD 20",35.6499999999996,21.5759262072198,13601.35
40,"APD 50",76.8500000000004,-8.11767520667676,13642.55
40,"APD 90",134.35,-47.4243130495327,13700.05
41,"APD 20",33.5499999999993,19.2565904338836,13981.45
41,"APD 50",71.6499999999996,-9.61303642895932,14019.55
41,"APD 90",125.4,-48.1262172967265,14073.3
42,"APD 20",31.8999999999996,19.3176255858135,14329.1
42,"APD 50",65.1000000000004,-9.76562430878408,14362.3
