"Sweep (n)","Ediast (mV)"
1,-54.0222129731549
2,-55.1300009806826
3,-54.8034629178576
4,-55.2520712845424
5,-54.4708213398397
6,-54.1748008529797
7,-54.7454795235242
8,-54.0344200035409
9,-53.955074306032
10,-53.8269004869792
11,-53.4912071513648
12,-53.4393272722244
13,-51.2390100451514
14,-53.2379112708557
15,-52.7801476313814
16,-54.1717490953832
17,-54.8370322514191
18,-53.9398155180495
19,-51.827999261275
20,-53.4118614538559
21,-54.2358360049096
22,-54.1900596409621
23,-54.5684775829275
24,-54.559322310138
25,-54.5257529765766
26,-53.9947471547865
27,-51.1169397412916
28,-54.6142539468749
29,-54.6722373412084
30,-54.6478232804364
31,-56.1096151691575
32,-55.484004861876
33,-53.640743273593
34,-54.58373637091
35,-54.4250449758923
36,-51.5838586535554
37,-54.3945273999273
38,-52.7313195098375
39,-53.4484825450138
40,-52.407833204609
41,-52.6092492059777
42,-51.3946496825727
43,-51.8890344132049
44,-51.5930139263449
45,-53.6621055767685
46,-52.444454295767
47,-55.82885347028
48,-54.8248252210331
49,-55.0415000103842
50,-54.9896201312438
51,-55.8471640158589
52,-54.5867881285065
53,-54.7393760083312
54,-55.3680380732092
55,-54.0618858219093
56,-54.5867881285065
57,-54.0313682459444
58,-55.0415000103842
59,-55.4351767403321
60,-53.0517540574695
61,-52.7191124794515
62,-52.9113732080307
63,-50.7507288297122
64,-62.2100786045511
65,-62.0910600582878
66,-61.315913628778
67,-61.4257769022518
68,-60.379024046654
69,-60.2966265915487
70,-59.5550494956004
71,-59.4299274341441
72,-58.9935260978453
73,-58.2611042746865
74,-58.2427937291075
75,-58.0779988188968
76,-56.9488485081936
77,-56.698604385281
78,-56.7901571131759
79,-56.2927206249472
80,-57.2448689950537
81,-57.037349478492
82,-55.9173544405783
83,-55.6884726208412
84,-55.9722860773152
85,-56.3384969888946
86,-55.9570272893328
87,-55.2307089813669
88,-54.1625938225937
89,-55.496211892262
90,-55.4016074067707
91,-55.8380087430695
92,-55.8441122582624
93,-54.8828086153665
94,-54.7821006146822
95,-54.8339804938226
96,-55.2154501933845
97,-54.5227012189801
98,-55.1727255870335
99,-55.0262412224018
100,-55.1849326174195
101,-54.2663535808745
102,-53.3904991506804
103,-54.5257529765766
104,-55.4687460738935
105,-55.3466757700337
106,-55.0018271616298
107,-55.6396444992973
108,-54.1320762466287
109,-54.1503867922077
110,-55.1208457078931
111,-55.6915243784377
112,-55.1849326174195
113,-55.47179783149
114,-55.816646439894
115,-54.898067403349
116,-54.9713095856649
117,-54.6874961291908
118,-55.0659140711562
119,-55.7647665607536
120,-54.3914756423308
121,-54.0588340643128
122,-53.8330040021722
123,-53.7902793958213
124,-55.2734335877179
125,-54.7668418266997
126,-54.9591025552789
127,-55.0231894648053
128,-55.7891806215255
129,-56.2469442609998
130,-55.9356649861573
131,-55.5419882562094
132,-55.6854208632447
133,-55.3039511636828
134,-55.792232379122
135,-55.7342489847886
136,-55.834956985473
137,-55.4046591643672
138,-55.798335894315
139,-55.7342489847886
140,-56.1706503210874
141,-55.780025348736
142,-56.0913046235785
143,-55.9905966228942
144,-56.0241659564556
145,-55.6579550448762
146,-56.3842733528421
147,-56.118770441947
148,-55.9417685013503
149,-55.2673300725249
150,-56.2225302002278
151,-55.8746298342274
152,-55.780025348736
153,-55.8380087430695
154,-55.5938681353498
155,-55.8593710462449
156,-55.6365927417008
157,-55.6579550448762
158,-56.3873251104386
159,-56.5673788086318
160,-56.2255819578243
161,-56.5307577174738
162,-56.5856893542107
163,-57.006831902527
164,-56.8359334771233
165,-57.01293541772
166,-56.5063436567019
167,-56.4117391712105
168,-57.1990926311062
169,-56.4514120199649
170,-57.7026326345279
171,-62.6739457592183
172,-55.1727255870335
173,-55.3039511636828
174,-56.8878133562637
175,-56.2255819578243
176,-56.753536022018
177,-57.7392537256858
178,-57.4279744508434
179,-57.2082479038957
180,-56.9396932354041
181,-56.8084676587549
182,-55.8959921374029
