"Sweep (n)","Ediast (mV)"
1,-61.0107378691285
2,-62.3901323027443
3,-62.2802690292704
4,-62.1490434526212
5,-61.4044145990764
6,-61.8926958145156
7,-58.8378864604241
8,-58.0139119093704
9,-59.188838584021
10,-59.2834430695123
11,-59.182735068828
12,-59.1674762808455
13,-59.6404987083022
14,-62.8143266086571
15,-63.0187943676222
16,-62.4206498787092
17,-62.3443559387968
18,-62.3199418780249
19,-62.1581987254106
20,-62.3321489084109
21,-62.0361284215508
22,-62.1856645437791
23,-61.9964555727964
24,-61.9750932696209
25,-62.3077348476389
26,-62.0880083006913
27,-62.1185258766562
28,-62.4938920610251
29,-62.5213578793935
30,-62.4206498787092
31,-62.4114946059197
32,-62.3626664843758
33,-62.3168901204284
34,-62.4267533939022
35,-62.536616667376
36,-62.561030728148
37,-62.3870805451478
38,-62.6068070920954
39,-62.6922563047973
40,-62.6556352136393
41,-63.0310013980082
42,-63.0218461252187
43,-62.5579789705515
44,-62.1978715741651
45,-63.2507279449559
46,-63.2293656417804
47,-62.6464799408498
48,-63.5345414014299
49,-63.2415726721664
50,-63.0523637011837
51,-63.3117630968858
52,-63.7023880692371
53,-62.8845170333765
54,-63.153071701868
55,-63.4399369159386
56,-62.8997758213589
57,-62.844844184622
58,-63.1164506107101
59,-62.561030728148
60,-62.5213578793935
61,-62.8082230934641
62,-62.6251176376744
63,-62.3199418780249
64,-63.1072953379206
65,-64.0472366776411
66,-62.3443559387968
67,-63.140864671482
68,-63.4643509767105
69,-63.6566117052897
70,-63.0859330347451
71,-62.7441361839377
72,-63.2598832177453
73,-62.9302933973239
74,-62.22838915013
75,-62.4328569090952
76,-62.3687699995688
77,-62.8906205485694
78,-63.3880570367981
79,-60.736079685444
80,-61.2091021129007
81,-61.6790727827609
82,-61.7706255106558
83,-62.0666459975158
84,-61.8194536321997
85,-61.2365679312691
86,-60.9802202931636
87,-61.6210893884275
88,-61.5814165396731
89,-62.0544389671298
90,-61.5539507213046
91,-61.7553667226733
92,-61.1267046577953
93,-62.0605424823228
94,-61.2914995680061
95,-62.3321489084109
96,-61.5386919333222
97,-61.9079546024981
98,-62.1734575133931
99,-61.6851762979539
100,-62.9547074580958
101,-61.611934115638
102,-62.3413041812003
103,-61.4746050237958
104,-61.4746050237958
105,-61.2213091432867
106,-63.7420609179916
107,-62.0452836943403
108,-61.3738970231114
109,-61.9415239360595
110,-62.7868607902886
111,-60.6506304727421
112,-60.6719927759176
113,-61.309810113585
114,-62.3321489084109
115,-62.0422319367438
116,-62.579341273727
117,-61.8011430866207
118,-61.1938433249182
119,-62.0147661183754
120,-61.9995073303929
121,-61.8408159353752
122,-61.0473589602864
123,-61.3311724167605
124,-61.5966753276556
125,-61.624141146024
126,-61.0687212634619
127,-61.1633257489533
128,-61.7034868435329
129,-62.6556352136393
130,-61.1511187185673
131,-61.914058117691
132,-60.421748653005
133,-61.4959673269712
134,-61.9354204208665
135,-60.4980425929173
136,-61.1389116881813
137,-61.4929155693747
138,-61.3677935079184
139,-61.8621782385506
140,-60.717769139865
141,-61.5295366605327
142,-61.9842485424104
143,-61.6882280555504
144,-61.4990190845677
145,-61.0778765362514
146,-61.5020708421642
147,-61.9781450272174
148,-61.7004350859364
149,-62.0147661183754
150,-61.6668657523749
151,-62.0483354519368
152,-62.0208696335684
153,-62.7380326687447
154,-61.2701372648306
155,-60.7757525341984
156,-61.3250689015675
157,-61.328120659164
158,-62.3474076963933
159,-61.7004350859364
160,-61.1602739913568
161,-62.542720182569
162,-62.234492665323
163,-61.8865922993226
164,-61.1328081729883
165,-61.6790727827609
166,-61.3983110838834
167,-62.4664262426566
168,-61.2304644160762
169,-62.2070268469546
170,-61.3494829623395
171,-61.8591264809541
172,-61.9842485424104
173,-62.1032670886737
174,-61.6821245403574
175,-62.0239213911649
176,-61.4898638117782
177,-62.2314409077265
178,-61.1083941122163
179,-61.7980913290242
180,-61.7309526619013
181,-61.1389116881813
182,-61.4562944782168
183,-61.352534719936
184,-61.6912798131469
185,-62.1398881798317
186,-61.1846880521287
187,-62.0819047854983
188,-60.7482867158299
189,-61.7004350859364
190,-61.2121538704972
191,-61.4471392054273
192,-61.6790727827609
193,-62.3504594539898
194,-62.252803210902
195,-62.9211381245344
196,-62.258906726095
197,-62.6983598199903
198,-62.4542192122707
199,-61.9659379968315
200,-61.9781450272174
201,-61.6027788428486
202,-61.9079546024981
203,-61.5661577516906
204,-62.6281693952709
205,-61.962886239235
206,-61.8194536321997
207,-62.22838915013
208,-61.914058117691
209,-62.7044633351832
210,-61.6973833283399
211,-62.2375444229195
212,-61.025996657111
213,-62.1581987254106
214,-63.0340531556047
215,-62.5579789705515
216,-62.6373246680604
217,-62.2070268469546
218,-61.8347124201822
219,-62.3413041812003
220,-61.8713335113401
221,-62.2070268469546
222,-61.9720415120244
223,-62.4389604242882
224,-61.8102983594102
225,-61.5417436909187
226,-62.6403764256569
227,-61.7858842986383
228,-61.8133501170067
229,-62.3321489084109
230,-61.6973833283399
231,-61.660762237182
232,-62.2741655140775
233,-62.1307329070422
234,-62.3046830900424
235,-60.6536822303386
236,-61.0412554450935
237,-61.2304644160762
238,-62.1063188462702
239,-61.2640337496376
240,-61.9293169056735
241,-61.4868120541817
242,-61.0656695058654
243,-60.7086138670755
244,-60.1165728933555
245,-61.2853960528131
246,-59.6008258595478
247,-61.2518267192516
248,-60.403438107426
249,-61.3006548407955
250,-61.1389116881813
251,-61.1877398097252
