"Sweep (n)","Ediast (mV)"
1,-59.1094928865121
2,-58.8775593091785
3,-59.194942099214
4,-59.5733600411794
5,-59.2803913119158
6,-59.2102008871964
7,-59.4360309493371
8,-58.8470417332135
9,-58.9813190674593
10,-58.8378864604241
11,-58.7982136116696
12,-58.547969488757
13,-58.264156032283
14,-58.8226276724416
15,-58.2794148202655
16,-57.8887898479141
17,-57.980342575809
18,-57.8796345751246
19,-57.4737508147908
20,-57.5714070578786
21,-58.3007771234409
22,-58.0535847581248
23,-58.4716755488447
24,-58.4777790640376
25,-58.3618122753708
26,-57.6843220889489
27,-58.0291706973529
28,-58.1268269404407
29,-57.8430134839667
30,-57.8826863327211
31,-58.0779988188968
32,-58.0352742125459
33,-57.8002888776157
34,-58.1664997891952
35,-58.4045368817218
36,-58.233638456318
37,-58.5296589431781
38,-57.9071003934931
39,-58.0932576068793
40,-57.363887541317
41,-57.8338582111772
42,-58.2000691227566
43,-57.6965291193349
44,-58.1542927588092
45,-57.635493967405
46,-58.2488972443005
47,-58.0871540916863
48,-58.2427937291075
49,-57.925410939072
50,-58.3221394266164
51,-58.1603962740022
52,-57.6507527553875
53,-58.55407300395
54,-58.2427937291075
55,-58.3221394266164
56,-58.3496052449849
57,-58.6914020957923
58,-58.4594685184587
59,-58.1939656075636
60,-58.7310749445467
61,-58.3953816089323
62,-58.8226276724416
63,-58.3190876690199
64,-58.8195759148451
65,-58.9813190674593
66,-59.0393024617927
67,-58.3923298513358
68,-58.5449177311605
69,-57.8704793023351
70,-58.0322224549494
71,-58.7737995508977
72,-58.2855183354585
73,-58.239741971511
74,-58.2946736082479
75,-59.1735797960385
76,-58.862300521196
77,-58.9416462187049
78,-58.5876423375115
79,-58.5052448824061
80,-58.1390339708267
81,-58.8897663395645
82,-58.4289509424937
83,-58.880611066775
84,-58.7493854901257
85,-59.1003376137226
86,-59.0362507041962
87,-59.2224079175824
88,-58.8134723996521
89,-58.5510212463535
90,-58.874507551582
91,-58.3343464570024
92,-61.2243609008832
93,-61.2243609008832
94,-60.1562457421099
95,-54.4158897031028
96,-53.9825401244005
97,-59.4177204037581
98,-60.5224566536893
99,-60.3942828346365
100,-59.9243121647763
101,-59.2224079175824
102,-59.2956500998983
103,-59.3170124030738
104,-59.0545612497752
105,-58.9202839155294
106,-54.6173057044714
107,-54.1351280042252
108,-54.7363242507347
109,-52.8503380561008
110,-51.7394982909766
111,-57.006831902527
112,-56.0790975931926
113,-53.9184532148741
114,-54.4830283702257
115,-56.0211141988592
116,-56.7657430524039
117,-56.3171346857192
118,-56.2316854730173
119,-55.6976278936307
120,-55.3649863156127
121,-53.6254844856106
122,-56.5704305662283
123,-57.2784383286151
124,-58.7249714293537
125,-58.3923298513358
126,-58.3953816089323
127,-58.868404036389
128,-58.8043171268626
129,-58.7646442781082
130,-59.2987018574948
131,-59.9670367711272
132,-59.4299274341441
133,-59.3963581005826
134,-59.1796833112315
135,-59.1796833112315
136,-59.6679645266707
137,-58.9965778554418
138,-59.0820270681437
139,-59.0026813706348
140,-59.3109088878808
141,-58.7310749445467
142,-59.1339069472841
143,-58.8531452484065
144,-58.5571247615465
145,-57.7331502104929
146,-58.5174519127921
147,-58.3099323962304
148,-58.6364704590554
149,-59.2498737359509
150,-58.9874225826523
151,-59.0057331282313
152,-59.2102008871964
153,-58.7219196717572
154,-58.578487064722
155,-58.5235554279851
156,-58.0535847581248
157,-58.288570093055
158,-58.0779988188968
159,-58.3190876690199
160,-57.5225789363347
161,-57.6629597857735
162,-58.1939656075636
163,-58.264156032283
164,-58.1542927588092
165,-58.4167439121077
166,-58.2916218506514
167,-57.8613240295456
168,-57.6568562705805
169,-57.8369099687737
170,-58.2488972443005
171,-57.8399617263702
172,-57.4768025723873
173,-58.2031208803531
174,-58.2550007594935
175,-58.1542927588092
176,-59.0423542193892
177,-58.233638456318
178,-58.1237751828442
179,-57.7606160288613
180,-58.4655720336517
181,-58.7463337325292
182,-57.7789265744403
183,-57.8613240295456
184,-57.9711873030195
185,-58.1268269404407
186,-57.4768025723873
187,-58.1542927588092
188,-57.7850300896333
189,-58.0596882733178
190,-58.9172321579329
191,-58.3129841538269
192,-57.7819783320368
193,-58.6547810046344
194,-58.8348347028276
195,-59.0698200377577
196,-58.8409382180205
197,-58.4625202760552
198,-58.6395222166519
199,-58.6975056109853
200,-58.85009349081
201,-59.3475299790387
202,-58.9019733699504
203,-58.9324909459154
204,-58.7982136116696
205,-59.1857868264245
206,-59.5489459804074
207,-59.460445010109
208,-59.0270954314067
209,-59.1033893713191
210,-59.1857868264245
211,-59.0942340985296
212,-58.7585407629152
213,-58.590694095108
214,-58.6120563982834
215,-58.7280231869502
216,-58.7707477933012
217,-58.270259547476
218,-58.276363062669
219,-58.5449177311605
220,-58.868404036389
221,-58.5082966400026
222,-58.9019733699504
223,-59.14611397767
224,-60.1440387117239
225,-60.2905230763557
226,-60.6780962911105
227,-60.4003863498295
228,-60.3607135010751
229,-60.2477984700048
230,-60.0158648926711
231,-60.681148048707
232,-60.2935748339522
233,-60.2081256212503
234,-60.4797320473384
235,-60.4339556833909
236,-58.9416462187049
237,-58.9843708250558
238,-59.3170124030738
239,-59.2254596751789
240,-58.8592487635995
241,-58.9508014914944
242,-58.9996296130383
243,-58.7860065812836
244,-59.0301471890032
245,-59.3017536150913
246,-59.1979938568105
247,-59.2224079175824
248,-59.7381549513901
249,-58.6059528830904
250,-58.3068806386339
251,-58.7646442781082
252,-58.9111286427399
253,-59.6527057386882
254,-59.0728717953542
255,-59.2163044023894
256,-58.7829548236871
257,-58.2611042746865
258,-58.7005573685818
259,-58.8531452484065
260,-59.182735068828
261,-59.817500648899
262,-59.1491657352665
263,-60.5804400480227
264,-60.3088336219347
265,-59.9182086495833
266,-59.1796833112315
267,-59.3566852518282
268,-59.6160846475303
269,-59.0026813706348
270,-59.9273639223728
271,-60.2783160459697
272,-60.3027301067417
273,-60.2294879244258
274,-60.113521135759
275,-59.9639850135307
276,-60.2752642883732
277,-60.5621295024437
278,-60.3393511978996
279,-60.5468707144613
280,-60.5865435632157
281,-60.6048541087947
282,-60.1867633180749
283,-60.0189166502676
284,-60.5651812600402
285,-60.5987505936017
286,-60.9069781108477
287,-60.6140093815842
288,-61.0778765362514
289,-60.6506304727421
290,-60.7269244126545
291,-60.6964068366895
292,-60.1165728933555
293,-60.5651812600402
294,-60.6262164119701
295,-60.421748653005
296,-60.2355914396188
297,-60.4309039257945
298,-60.9497027171986
299,-60.2813678035662
300,-59.8876910736183
301,-60.0860553173905
302,-60.6445269575491
303,-60.5041461081103
304,-60.1287799237414
305,-59.9883990743027
306,-59.3383747062492
307,-59.4329791917406
308,-58.25805251709
309,-58.6303669438624
310,-58.5021931248096
311,-59.0362507041962
312,-59.1064411289156
313,-59.5794635563723
314,-59.5428424652144
315,-60.5682330176367
316,-60.8856158076722
317,-61.2396196888656
318,-60.6018023511982
319,-60.5865435632157
320,-60.5346636840753
321,-60.2722125307767
322,-60.1440387117239
323,-60.2508502276012
324,-60.5621295024437
325,-60.2508502276012
326,-60.379024046654
327,-59.8571734976534
328,-59.9517779831447
329,-60.0402789534431
330,-59.780879557741
331,-59.9883990743027
332,-60.681148048707
333,-59.8754840432324
334,-59.8632770128464
335,-60.2874713187592
336,-60.107417620566
337,-60.6872515639
338,-60.7788042917949
339,-60.4949908353208
340,-60.9100298684442
341,-60.723872655058
342,-60.5590777448472
343,-60.4766802897419
344,-60.8947710804617
345,-60.4064898650225
346,-59.7106891330216
347,-59.8205524064955
348,-59.6160846475303
349,-60.3118853795311
350,-60.8428912013213
351,-60.4370074409874
352,-60.0524859838291
353,-60.0250201654606
354,-60.6689410183211
355,-59.6466022234952
356,-59.182735068828
357,-58.9813190674593
358,-59.4146686461616
359,-59.9883990743027
360,-59.3231159182668
361,-60.5987505936017
362,-60.5590777448472
363,-60.4522662289699
364,-61.0473589602864
365,-61.1511187185673
366,-61.025996657111
367,-61.0717730210584
368,-60.7879595645844
369,-61.2731890224271
370,-61.0992388394269
371,-60.4492144713734
372,-60.9100298684442
373,-60.8428912013213
374,-60.6170611391806
375,-60.5163531384963
376,-59.8327594368814
377,-60.5438189568648
378,-60.1989703484608
379,-59.6343951931093
380,-59.1247516744946
381,-59.4268756765476
382,-59.811397133706
383,-60.4125933802155
384,-59.9029498616008
385,-60.1867633180749
386,-60.2233844092328
387,-60.4400591985839
388,-59.8571734976534
389,-60.2844195611627
390,-60.6506304727421
391,-59.8083453761095
392,-60.4736285321454
393,-59.7045856178286
394,-60.5499224720578
395,-60.8734087772862
396,-61.025996657111
397,-61.1236529001988
398,-60.7574419886194
399,-60.113521135759
400,-60.2905230763557
401,-60.2355914396188
402,-60.2844195611627
403,-60.101314105373
404,-59.9395709527588
405,-60.3118853795311
406,-60.4705767745489
407,-60.2447467124083
408,-60.0860553173905
409,-60.1501422269169
410,-60.4003863498295
411,-61.1755327793392
412,-61.0595659906724
413,-60.6658892607246
414,-60.2142291364433
415,-60.5041461081103
416,-59.9914508318992
417,-60.4858355625314
418,-60.2233844092328
419,-59.3749957974072
420,-59.6893268298462
421,-58.9141804003364
422,-58.2977253658444
423,-59.9029498616008
424,-60.0036578622852
425,-60.3301959251101
426,-59.7381549513901
427,-59.9121051343903
428,-60.2111773788468
429,-60.4339556833909
430,-60.7330279278475
431,-60.2874713187592
432,-59.9060016191973
