"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,146.8,-4.88281215438537
2,109.15,-4.27246063508718
3,125.65,-4.27246063509692
4,90.9499999999998,-4.88281215439645
5,212.6,-5.49316367367103
6,299.75,-4.27246063511633
7,100.85,-4.88281215437425
8,136.3,-4.88281215441866
9,118.05,-4.88281215437429
10,112.1,-4.2724606351164
11,154.3,-5.4931636736711
12,207.2,-4.27246063511633
13,200.6,-4.27246063507747
14,146.45,-4.88281215446307
15,139.400000000001,-4.2724606350775
16,118.4,-4.27246063515526
17,174.85,-4.88281215437432
18,142.9,-4.88281215437427
19,200.450000000001,-4.27246063507761
20,139.05,-4.88281215437429
21,113.15,-4.27246063507754
22,214.6,-5.49316367367117
23,163.950000000001,-4.27246063507747
24,184.1,-4.88281215437425
25,119.799999999999,-4.27246063515518
26,260.049999999999,-4.27246063515533
27,178.949999999999,-4.88281215446307
28,10.8500000000004,-4.27246063515533
29,137.25,-4.2724606351552
30,136.549999999999,-4.27246063515521
31,89.5,-4.27246063515526
32,173.6,-4.27246063515518
33,122.099999999999,-4.27246063515522
34,187.699999999999,-4.27246063515526
35,217.949999999999,-4.27246063515533
36,146.749999999998,-4.27246063515521
37,123.349999999999,-4.88281215446307
38,112.799999999999,-4.27246063515526
39,272.049999999999,-4.27246063515518
40,151.849999999999,-5.49316367377102
41,213.699999999999,-4.88281215446307
42,178.949999999999,-4.27246063515518
43,155.35,-4.27246063515522
44,178.699999999999,-4.27246063515522
45,121.549999999999,-4.27246063515526
46,114.799999999999,-3.66210911584731
47,38.5500000000011,-4.27246063499975
48,159.65,-4.88281215446307
49,124.6,-4.27246063515518
50,128.25,-4.88281215446314
51,124.5,-4.27246063515518
52,192.4,-4.88281215446307
53,188.050000000001,-4.88281215428543
54,224.1,-4.88281215446307
55,117.450000000001,-4.27246063515526
56,206.900000000001,-4.88281215446307
57,199.5,-4.88281215446307
58,153.549999999999,-4.27246063515521
59,154.399999999998,-4.88281215446307
60,114.25,-4.27246063515518
61,156.149999999998,-4.27246063515518
62,160.200000000001,-4.27246063515533
63,1043.45,-5.49316367377109
64,190.900000000001,-4.88281215446309
65,237.049999999999,-4.27246063515518
66,216.600000000002,-4.27246063515518
67,154.149999999998,-4.27246063515526
68,259.950000000001,-4.88281215446307
69,345.299999999999,-4.27246063515518
70,148.849999999999,-4.27246063515518
71,273.450000000001,-4.88281215446307
72,8.04999999999927,-4.27246063515518
73,231,-5.49316367377095
74,214.700000000001,-4.27246063515518
75,205.899999999998,-4.88281215446314
76,177.75,-4.2724606351552
77,146.100000000002,-4.27246063515526
78,226.849999999999,-4.27246063515518
79,159.299999999999,-4.27246063515521
80,151.150000000001,-3.66210911584732
81,214.400000000001,-4.88281215446307
82,167.349999999999,-4.88281215446309
83,279.100000000002,-4.88281215410794
84,152.849999999999,-4.27246063515522
85,162.100000000006,-4.27246063484434
86,180.5,-3.66210911611375
87,142.349999999999,-4.88281215481836
88,177.099999999999,-4.88281215481834
89,117.75,-3.6621091161139
90,276.799999999996,-4.88281215481834
91,144.25,-4.88281215481836
92,300.799999999996,-4.27246063546605
93,99.75,-4.27246063484434
94,242.75,-4.27246063484432
95,170.600000000006,-4.8828121541078
96,220,-4.8828121541078
97,120.25,-4.27246063484439
98,126.300000000003,-4.27246063484436
99,137,-4.27246063546608
100,179.599999999999,-3.66210911611383
101,96.4000000000015,-4.27246063484439
102,165.950000000004,-4.88281215410783
103,173.549999999996,-4.27246063546605
104,128.899999999994,-4.88281215481836
105,203,-4.88281215481848
106,176.849999999999,-4.27246063546605
107,153.799999999996,-4.27246063546608
108,190.849999999999,-4.27246063546605
109,224.849999999999,-4.8828121541078
110,148.200000000004,-4.27246063484434
111,119.5,-4.8828121541078
112,170.199999999997,-3.66210911611379
113,158.100000000006,-5.49316367337127
114,150.25,-4.88281215410787
115,206.350000000006,-4.8828121541078
116,153.799999999996,-4.27246063546608
117,140.049999999996,-4.27246063546607
118,225.350000000006,-4.27246063484432
119,109.400000000001,-4.8828121541078
120,208.700000000004,-4.8828121541078
121,173.099999999999,-4.8828121541078
122,200.549999999996,-4.27246063546619
123,149,-4.27246063546607
124,151.449999999997,-4.88281215481841
125,321.299999999996,-4.27246063546605
126,291.099999999999,-4.27246063546605
127,21.4000000000015,-4.27246063484432
128,229.199999999997,-4.27246063546605
129,276.899999999994,-4.27246063546633
130,148.949999999997,-4.88281215481841
131,141.699999999997,-4.27246063546606
132,264.050000000003,-4.8828121541078
