"Sweep (n)","Peak x (s)","Peak y (mV)"
1,93.1,34.0576147768845
2,82.4499999999999,33.7829565931999
3,75.1999999999999,33.9050268970597
4,87.3999999999999,34.8815893279381
5,104.65,33.3557105296906
6,96.2499999999998,31.9824196112678
7,79.3500000000004,31.0363747563544
8,75.3999999999996,31.4331032438987
9,82.3499999999999,28.7170389830182
10,86.1999999999998,30.7922341486348
11,86.9000000000001,30.0903299014409
12,89.5999999999999,30.4870583889853
13,103.1,16.2353504133535
14,75.6999999999998,29.3884256542471
15,78.7000000000007,28.6254862551233
16,82.3999999999996,31.0668923323193
17,77.7000000000007,31.4025856679338
18,97,29.449460806177
19,93.2000000000007,15.5334461661597
20,82.8000000000002,27.587888672315
21,93.5999999999995,30.3344705091605
22,97.3000000000002,30.7006814207399
23,101.200000000001,30.9143044524946
24,98.9499999999998,30.2734353572306
25,84.8499999999995,30.8837868765296
26,91.8999999999996,29.6020486860017
27,102.6,13.7023916082627
28,72.4000000000015,31.280515364074
29,88.7000000000007,32.1960426430225
30,87.4500000000007,31.3110329400389
31,79.6000000000004,35.2172826635526
32,89.6000000000004,33.72192144127
33,94.3499999999985,29.6936014138966
34,101.75,31.6467262756534
35,95.3999999999996,30.0903299014409
36,112.65,18.4326158828299
37,97.0499999999993,31.6162086996884
38,86.2999999999993,27.2216777607356
39,111.949999999999,28.7170389830182
40,103.349999999999,22.7966292458178
41,94.0499999999993,24.3835431959952
42,85.6000000000004,14.7705067670359
43,125.300000000001,16.1437976854587
44,135.549999999999,14.709471615106
45,93.4499999999989,29.0527323186326
46,84.1499999999996,22.1252425745889
47,81.1000000000004,33.6303687133752
48,82.1999999999989,32.0434547631977
49,88.75,32.3791480988122
50,92.3999999999996,33.111569921971
51,85.5,33.7829565931999
52,91.5499999999993,31.4636208198637
53,96.5500000000011,33.3557105296906
54,93.1000000000004,32.9589820421463
55,96,29.5410135340718
56,95.8500000000022,30.9143044524946
57,93.5,32.1655250670575
58,99.5,32.8369117382865
59,78.3499999999985,31.7077614275833
60,104.25,24.3530256200303
61,99.25,23.4069807651168
62,93.8499999999985,22.064207422659
63,6521.5,28.228757767579
64,102.600000000002,41.4123505844375
65,106.700000000001,41.0461396728581
66,110.400000000001,41.107174824788
67,93.25,41.076657248823
68,106.450000000001,40.4052705775941
69,98.1999999999971,40.1306123939096
70,104.849999999999,39.6423311784704
71,112.349999999999,39.0930148111013
72,106,38.2080051081177
73,109.25,38.0554172282929
74,101.549999999999,37.9333469244331
75,91.4499999999971,37.2924778291692
76,105.850000000002,36.4990208540805
77,95.9000000000015,36.0412572146062
78,93.1999999999971,35.4919408472371
79,94.3499999999985,35.7055638789918
80,88.4000000000015,36.4685032781155
81,88.6000000000022,35.8886693347815
82,101.25,35.4003881193423
83,117.850000000002,34.6374487202185
84,101.400000000001,34.332272960569
85,96.0500000000029,35.6750463030268
86,83.0500000000029,34.332272960569
87,81.25,32.6232887065318
88,86.8499999999985,30.3955056610904
89,101.150000000001,32.6232887065318
90,90.5499999999956,32.8063941623215
91,92.9500000000044,33.6914038653051
92,98.1499999999942,32.6843238584617
93,51.1999999999971,26.0009747221376
94,102.949999999997,29.6020486860017
95,100.450000000004,30.6091286928451
96,89.1999999999971,30.3955056610904
97,100.299999999996,28.3508280714388
98,87.3000000000029,30.6091286928451
99,99.8000000000029,30.3955056610904
100,86.1500000000015,30.0903299014409
101,98.0999999999985,27.3132304886305
102,107.300000000003,26.5197735135418
103,113.049999999996,29.8156717177564
104,76.0999999999985,31.7077614275833
105,95,29.1748026224924
106,110.900000000001,30.7006814207399
107,85.3999999999942,32.0129371872328
108,108.950000000004,27.3132304886305
109,119.75,26.8249492731913
110,91.1500000000015,31.7077614275833
111,89.25,32.7453590103916
112,108.299999999996,30.7922341486348
113,95.1000000000058,30.1818826293358
114,76.75,31.4331032438987
115,102.800000000003,29.7241189898615
116,120.549999999996,28.839109286878
117,95.5999999999985,28.9611795907378
118,103.5,32.4096656747772
119,85.2999999999956,30.1513650533708
120,103.300000000003,27.5268535203851
121,92.7999999999956,26.397703209682
122,100.400000000001,23.7121565247663
123,102,26.5502910895067
124,79.1999999999971,31.4025856679338
125,124.699999999997,29.9377420216162
126,106,28.3508280714388
127,110.599999999999,31.4025856679338
128,90.75,31.4331032438987
129,104,33.9050268970597
130,79.25,32.5927711305669
131,96.1999999999971,31.5551735477585
132,110.699999999997,31.4331032438987
133,106.900000000001,31.4941383958286
134,106.950000000004,30.1208474774059
135,91.2000000000044,30.5480935409152
136,100.049999999996,31.249997788109
137,119.650000000001,30.9753396044245
138,104.349999999999,30.5480935409152
139,105.699999999997,29.449460806177
140,94.3999999999942,31.4941383958286
141,114.200000000004,29.6936014138966
142,99.4499999999971,31.7382790035482
143,103.049999999996,30.1208474774059
144,79.9000000000015,32.0739723391627
145,115.199999999997,30.9143044524946
146,99,32.8063941623215
147,111.449999999997,30.3955056610904
148,89.75,30.3649880851255
149,101.799999999996,30.4870583889853
150,111.800000000003,30.7006814207399
151,99,29.5715311100368
152,106.700000000004,29.8767068696863
153,110.650000000001,31.3110329400389
154,111.75,30.8837868765296
155,114.5,28.4728983752986
156,125,31.0974099082843
157,102.799999999996,30.8227517245997
158,91.0999999999985,32.6538062824968
159,102.5,31.5551735477585
160,110.699999999997,31.280515364074
161,99.3000000000029,32.2570777949524
162,105.799999999996,32.0434547631977
163,123.099999999999,32.6232887065318
164,102.099999999999,33.142087497936
165,93.25,32.1960426430225
166,114.400000000001,31.280515364074
167,118,33.111569921971
168,104.099999999999,33.3862281056556
169,98.4500000000044,31.6772438516183
170,96.9500000000044,34.5458959923237
171,96.5500000000029,36.9873020695197
172,114.549999999996,26.5197735135418
173,93.0999999999985,27.7709941281047
174,105.400000000001,31.6162086996884
175,134.800000000003,28.9611795907378
176,123.949999999997,32.3486305228472
177,97.8499999999985,33.5998511374102
178,91.9000000000015,34.0576147768845
179,121.099999999999,32.501218402672
180,117.799999999996,33.5082984095154
181,98.6000000000058,32.7758765863566
182,116.399999999994,32.1655250670575
183,92.4000000000015,33.5998511374102
184,110.050000000003,32.9284644661813
185,100.450000000004,31.9213844593379
186,103.349999999999,28.9001444388079
187,127.600000000006,30.5175759649502
188,108.449999999997,32.5927711305669
189,111.699999999997,30.63964626881
190,111.100000000006,29.9377420216162
191,127.25,31.7382790035482
192,124.199999999997,30.3649880851255
193,115.550000000003,33.0505347700411
194,113,30.63964626881
195,101.850000000006,29.3273905023172
196,115.75,29.0222147426677
197,119.050000000003,27.3132304886305
198,104.149999999994,28.3203104954738
199,116,27.5268535203851
200,102.600000000006,29.9682595975811
201,172.5,22.2778304544137
202,133.400000000009,25.8178692663479
203,190.600000000006,18.1579576991454
204,5152.7,35.7665990309217
205,95.1000000000058,40.8325166411034
206,95.4499999999971,39.6423311784704
207,101.200000000012,38.4826632918022
208,98.1500000000087,38.0554172282929
209,102.400000000009,36.9262669175898
210,123.550000000003,36.9262669175898
211,116.099999999991,36.0412572146062
212,119.199999999997,35.6140111510969
213,113.25,36.5295384300454
214,117.350000000006,34.6374487202185
215,106.400000000009,34.8205541760082
216,109.599999999991,32.4707008267071
217,113.600000000006,31.8298317314431
218,108.900000000009,32.2265602189874
219,105.75,31.6162086996884
220,120.199999999997,32.2875953709173
221,122.550000000003,30.2734353572306
222,118.149999999994,28.9001444388079
223,123.600000000006,27.1301250328408
224,127.200000000012,25.4211407788035
225,115.449999999997,27.008054728981
226,104.75,37.3229954051341
227,109.199999999997,42.2058075595262
228,110.200000000012,42.1142548316313
229,112.599999999991,41.1376924007529
230,127.550000000003,41.107174824788
231,122.75,40.5883760333838
232,127,39.4287081467157
233,132.099999999991,39.1845675389961
234,127.150000000009,38.9709445072415
235,124.400000000009,38.2080051081177
236,116.800000000003,38.2995578360125
237,122.900000000009,37.6281711647836
238,124.550000000003,38.4521457158373
239,115.399999999994,38.1774875321527
240,119.25,38.024899652328
241,120.75,37.2924778291692
242,118.149999999994,38.7573214754868
243,104.100000000006,36.3769505502207
244,110.699999999997,36.7126438858351
245,113.549999999988,36.8652317656599
246,109.5,35.4003881193423
247,108.700000000012,35.6445287270619
248,117.600000000006,36.6210911579403
249,146.549999999988,34.8510717519732
250,130.799999999988,34.6679662961835
251,125.400000000009,36.3159153982908
252,121.549999999988,35.7055638789918
253,126.150000000009,35.7055638789918
254,105.800000000003,37.0483372214496
255,117.399999999994,37.0483372214496
256,115,36.8957493416248
257,121.449999999997,36.6821263098702
258,116.399999999994,37.3229954051341
259,124.800000000003,36.773679037765
260,125.25,35.4309056953072
261,119.899999999994,35.2478002395175
262,108.599999999991,35.0952123596928
263,110.5,36.80419661373
264,104.200000000012,35.4309056953072
265,137.600000000006,35.0036596317979
266,110.900000000009,35.7360814549567
267,124,33.9050268970597
268,114.700000000012,34.7900366000433
269,109.75,34.5458959923237
270,119.050000000003,34.5764135682886
271,131.650000000009,35.3698705433773
272,151.050000000003,34.2407202326742
273,147.599999999991,34.8205541760082
274,129.899999999994,36.0412572146062
275,105.699999999997,35.3698705433773
276,117,35.4919408472371
277,124,35.1257299356577
278,117.349999999991,35.5224584232021
279,138.75,34.362790536534
280,120.199999999997,34.5458959923237
281,194.099999999991,31.890866883373
282,116,35.4003881193423
283,114.899999999994,35.5224584232021
284,132.800000000003,34.4238256884639
285,124.900000000009,34.0881323528494
286,118.25,33.9050268970597
287,134,33.2336402258308
288,121.400000000009,33.8439917451298
289,133.350000000006,34.7595190240783
290,137.399999999994,34.2407202326742
291,115.149999999994,34.4848608403938
292,99.4499999999971,36.0412572146062
293,138,33.9965796249546
294,113.699999999997,35.0952123596928
295,128.549999999988,34.1796850807443
296,121.949999999997,34.1491675047793
297,114.100000000006,31.0668923323193
298,128.199999999997,30.7311989967049
299,127.300000000003,33.3251929537257
300,126.600000000006,33.1726050739009
301,122.099999999991,33.0810523460061
