"Sweep (n)","Peak x (s)","Peak y (mV)"
1,120.4,48.9807094237451
2,130.25,48.3703579044461
3,134.65,48.7365688160255
4,134.5,48.2788051765513
5,123.55,48.2788051765513
6,121.25,48.2177700246214
7,126.45,48.1567348726915
8,126.65,47.9125942649719
9,125.5,48.3398403284812
10,120.7,47.9431118409368
11,120.15,48.0956997207616
12,121.65,47.3022427456729
13,122.4,47.1191372898832
14,120,47.5158657774275
15,122.9,47.3937954735677
16,114.95,48.2177700246214
17,121.5,47.821041537077
18,122.55,47.7905239611121
19,116.95,47.3022427456729
20,107.599999999999,46.9970669860234
21,121.3,47.1801724418131
22,115.25,46.9055142581285
23,117.05,47.1801724418131
24,121.5,46.7224088023388
25,120.799999999999,46.7834439542687
26,118.099999999999,46.2646451628646
27,117.15,46.5698209225141
28,113.449999999999,46.9055142581285
29,121.25,47.6684536572523
30,123.049999999999,47.8820766890069
31,118.700000000001,47.1191372898832
32,126.300000000001,46.5087857705842
33,112.5,46.4782681946192
34,102.35,45.5322233397058
35,127,45.8068815233903
36,131.700000000001,46.9970669860234
37,126.4,46.1425748590048
38,122,46.3867154667244
39,121.15,46.6613736504089
40,118.799999999999,46.2341275868996
41,121.15,45.8068815233903
42,116.65,45.8984342512852
43,123.650000000001,45.2575651560212
44,130.049999999999,44.5556609088273
45,129.049999999999,45.5932584916357
46,124.65,46.6918912263739
47,118.950000000001,46.0815397070749
48,123.700000000001,46.0510221311099
49,130.549999999999,45.1049772761964
50,115.450000000001,45.6237760676006
51,130.1,45.8373990993553
52,119.300000000001,44.3115203011077
53,123.9,45.2880827319862
54,115.25,45.1660124281263
55,119.199999999999,44.0368621174232
56,123.349999999999,45.6237760676006
57,125.25,45.2270475800563
58,122.200000000001,45.4711881877759
59,119.399999999998,45.9289518272501
60,123.399999999998,45.5322233397058
61,120.900000000001,45.8068815233903
62,123.349999999999,44.9218718204067
63,123.25,45.7763639474254
64,125,45.2270475800563
65,122.599999999999,44.9829069723366
66,124.099999999999,45.8679166753202
67,116.300000000003,45.1660124281263
68,124.949999999997,44.738766364617
69,127.649999999998,43.9147918135634
70,130.950000000001,44.5556609088273
71,125.799999999999,44.5556609088273
72,116,44.6166960607572
73,126.100000000002,45.0134245483016
74,116.549999999999,45.3186003079511
75,126,44.738766364617
76,122.549999999999,43.8232390856685
77,126.600000000002,44.9829069723366
78,128.350000000002,45.1660124281263
79,119.099999999999,45.3186003079511
80,119.650000000001,45.0134245483016
81,114.049999999999,44.4641081809325
82,128.950000000001,45.6848112195305
83,119.75,45.5627409156707
84,124.649999999998,45.2575651560212
85,124.799999999999,45.379635459881
86,119.899999999998,45.1660124281263
87,123.400000000001,45.1049772761964
88,129.050000000003,44.5251433328624
89,126.900000000001,44.9218718204067
90,122.549999999999,44.2199675732129
91,125.399999999998,44.7998015165469
92,121.799999999999,45.7763639474254
93,128.349999999999,44.128414845318
94,130.25,45.1354948521614
95,120.75,44.5556609088273
96,133.049999999999,45.5322233397058
97,123.149999999998,44.2199675732129
98,133.850000000002,44.3115203011077
99,128.399999999998,44.158932421283
100,125.099999999999,44.0368621174232
101,130.850000000002,44.3115203011077
102,131.349999999999,44.8303190925119
103,123.899999999998,44.128414845318
104,133.650000000001,44.4030730290026
105,123.449999999997,44.158932421283
106,120.25,44.738766364617
107,128.400000000001,44.4335906049675
108,122.650000000001,44.0368621174232
109,123.900000000001,43.2434051423345
110,122.549999999999,42.8466766547901
111,127.25,43.9453093895283
112,135.200000000001,43.9147918135634
113,120.150000000001,43.4265105981242
114,114.699999999997,44.6472136367222
115,128.099999999999,43.8232390856685
116,125,44.3725554530376
117,130.700000000004,44.2504851491778
118,128.5,44.5251433328624
119,132.349999999999,44.9829069723366
120,140.300000000003,44.7082487886521
121,136.550000000003,45.1660124281263
122,127.949999999997,43.7316863577737
123,121.299999999996,45.1354948521614
124,132.5,44.7082487886521
125,129.049999999996,44.7082487886521
126,127.800000000003,44.2504851491778
127,123,44.1894499972479
128,120.450000000004,44.5251433328624
129,130.199999999997,44.128414845318
130,116.800000000003,43.7316863577737
131,112.449999999997,44.769283940582
132,135.449999999997,44.1894499972479
133,121.449999999997,45.3491178839161
134,123.400000000001,45.410153035846
135,132.5,43.5790984779489
136,123.450000000004,44.4946257568974
137,127.5,43.7927215097036
138,115.75,44.3115203011077
139,113.849999999999,43.7011687818087
140,124.850000000006,43.6706512058438
141,123.200000000004,42.8161590788252
142,123.400000000001,43.6096160539139
143,123,44.738766364617
144,113.5,44.7998015165469
145,117.050000000003,44.1894499972479
146,113.900000000001,44.3420378770727
147,121.75,44.7998015165469
148,116.199999999997,43.6706512058438
149,131.150000000001,43.9147918135634
150,123.25,43.7622039337386
151,116.299999999996,44.4946257568974
152,121.5,44.128414845318
153,115.150000000001,43.9453093895283
154,121,44.3115203011077
155,116.350000000006,43.8232390856685
156,120.449999999997,44.8913542444418
157,122.550000000003,44.9523893963717
158,120.150000000001,44.4641081809325
159,123.75,43.7316863577737
160,128.200000000004,44.2504851491778
161,121.900000000001,44.5556609088273
162,128.300000000003,44.158932421283
163,119.849999999999,44.158932421283
164,117.049999999996,44.5861784847923
165,121.25,43.3349578702293
166,119.849999999999,43.9758269654933
167,117.349999999999,44.6472136367222
168,116.25,45.1965300040913
169,125.699999999997,44.3115203011077
170,124.799999999996,43.7316863577737
171,127.149999999994,43.2739227182994
172,116.949999999997,43.6401336298788
173,124.049999999996,43.9147918135634
174,118.099999999999,43.3959930221592
175,123.449999999997,43.8232390856685
176,124.75,44.1894499972479
177,122.049999999996,43.7316863577737
178,118.850000000006,44.3115203011077
179,125.199999999997,44.8913542444418
180,120.950000000004,44.3420378770727
181,127.849999999999,43.9147918135634
182,122.75,44.3115203011077
183,107.799999999996,42.297360287421
184,123.349999999999,43.548580901984
185,115.350000000006,43.6096160539139
186,113.300000000003,42.8466766547901
187,115.199999999997,43.0297821105798
188,121.349999999999,43.7622039337386
189,120.549999999996,43.0297821105798
190,117.25,43.3349578702293
191,114.449999999997,41.9921845277715
192,119.75,43.6401336298788
193,122.650000000001,43.3349578702293
194,120.349999999999,43.4875457500541
195,130.150000000001,42.938229382685
196,116.050000000003,42.7856415028602
197,122.099999999999,43.3654754461943
198,124.900000000001,43.3654754461943
199,112.299999999996,42.1752899835612
200,113.950000000004,43.7622039337386
201,123.099999999999,43.2128875663695
202,121.849999999999,42.0837372556664
203,115.5,43.518063326019
204,122.299999999996,43.6401336298788
205,121.899999999994,44.128414845318
206,115.599999999999,42.3889130153159
207,120.25,43.1213348384747
208,121.25,42.90771180672
209,115.800000000003,43.0602996865448
210,121.949999999997,42.9992645346149
211,121.100000000006,43.0908172625097
212,121.349999999999,43.8537566616335
213,121.099999999999,43.0908172625097
214,123.650000000001,41.9616669518066
215,116.650000000001,41.6259736161921
216,126.849999999999,41.4123505844375
217,120.800000000003,42.7551239268953
218,130.199999999997,41.6564911921571
219,112.199999999997,43.2739227182994
220,111.949999999997,43.4570281740891
221,115.299999999996,42.0532196797014
222,122.150000000001,41.6564911921571
223,110.5,43.2128875663695
224,123.699999999997,42.1752899835612
225,124.599999999999,43.1823699904046
226,136.199999999997,41.2902802805777
227,127.849999999999,42.5415008951406
228,118.349999999999,43.3654754461943
229,113.399999999994,42.1142548316313
230,113.650000000001,41.5649384642622
231,117.599999999999,41.5344208882973
232,123.25,41.3513154325076
233,123.450000000004,40.5883760333838
234,119.599999999999,42.2058075595262
235,124.449999999997,40.9545869449632
236,123.900000000009,43.0602996865448
237,126.850000000006,42.7551239268953
238,121.75,41.1682099767179
239,123.400000000009,41.9311493758416
240,114.550000000003,42.1142548316313
241,131.699999999997,41.7785614960169
242,122.150000000009,42.2058075595262
243,123.650000000009,42.938229382685
244,123.100000000006,42.5720184711056
245,119.149999999994,42.5109833191757
246,124.099999999991,42.2058075595262
247,129.199999999997,42.2363251354911
248,125.650000000009,41.6259736161921
249,131.650000000009,42.4499481672458
250,115,42.5109833191757
251,128.949999999997,42.1752899835612
252,125.800000000003,42.6025360470705
253,114.200000000012,41.8090790719818
254,128.5,41.5649384642622
255,129.449999999997,42.3889130153159
256,127.899999999994,42.4499481672458
257,120.5,43.0297821105798
258,130.149999999994,42.0837372556664
259,122.100000000006,42.1752899835612
260,119.300000000003,42.0837372556664
261,136.849999999991,41.8395966479468
262,127.350000000006,42.7856415028602
263,123,41.717526344087
264,120.199999999997,41.687008768122
265,121.300000000003,41.8090790719818
266,128.5,42.7551239268953
267,125.100000000006,42.7856415028602
268,132.850000000006,42.4499481672458
269,129.050000000003,42.5109833191757
270,116.550000000003,42.1142548316313
271,120.899999999994,42.1447724075963
272,122.949999999997,42.1142548316313
273,133.099999999991,42.90771180672
274,125.150000000009,42.0227021037365
275,117.050000000003,42.3889130153159
276,132.350000000006,42.1142548316313
277,140.899999999994,40.8935517930333
