"Sweep (n)","RR (ms)"
1,NA
2,333
3,376.75
4,368.25
5,384.1
6,361.95
7,285.1
8,309.2
9,304.8
10,330.65
11,305
12,323.3
13,305.3
14,290.2
15,429.6
16,356.099999999999
17,374.7
18,369.5
19,337.55
20,391.15
21,374.85
22,394.95
23,363.5
24,370.6
25,431.25
26,362.65
27,360.5
28,379.25
29,375.200000000001
30,356.599999999999
31,390.6
32,360.4
33,405.1
34,397.450000000001
35,357.949999999999
36,393.200000000001
37,384.85
38,363
39,376.15
40,370.199999999999
41,380.050000000001
42,392
43,351.949999999999
44,389.25
45,387.75
46,758.750000000002
47,366.5
48,376.849999999999
49,376.299999999999
50,416.75
51,377.75
52,348.299999999999
53,1125.15
54,388.450000000001
55,391.799999999999
56,368.650000000001
57,355.449999999997
58,388.049999999999
59,355.25
60,356.200000000001
61,373.400000000001
62,373.799999999999
63,383.25
64,767
65,375.599999999999
66,780.350000000002
67,417.950000000001
68,396.799999999999
69,409.200000000001
70,411.549999999999
71,380.450000000001
72,370.699999999997
73,758.75
74,370.700000000001
75,393.350000000002
76,392.099999999999
77,381
78,390.299999999999
79,493.900000000001
80,357.899999999998
81,373.5
82,341.549999999999
83,372.75
84,347.050000000003
85,332.549999999996
86,346.25
87,317.75
88,345.25
89,311.700000000004
90,303.25
91,302.900000000001
92,285.449999999997
93,307.099999999999
94,314.800000000003
95,294.099999999999
96,292.25
97,282.5
98,302.75
99,922.150000000001
100,325.199999999997
101,299.099999999999
102,271.800000000003
103,588.099999999999
104,270
105,238.950000000004
106,336.399999999994
107,315.300000000003
108,519.800000000003
109,350.899999999994
110,274.150000000001
111,326.150000000001
112,294.949999999997
113,251.450000000004
114,289.25
115,304.5
116,340.399999999994
117,562.450000000004
118,256.599999999999
119,265.550000000003
120,287.949999999997
121,288
122,256.449999999997
123,238.550000000003
124,270.599999999999
125,271.25
126,272.450000000004
127,260.849999999999
128,250.299999999996
129,551.850000000006
130,290.25
131,269.25
132,529.949999999997
133,290.400000000001
134,353.849999999999
135,238.599999999999
136,317.550000000003
137,284.849999999999
138,269.199999999997
139,317.400000000001
140,268.050000000003
141,263.599999999999
142,268.699999999997
143,827.5
144,259.450000000004
145,506.549999999996
146,563.950000000004
147,259.75
148,317.449999999997
149,338.150000000001
150,470.75
151,238.5
152,240.400000000001
153,946.599999999999
154,516.349999999999
155,243.349999999999
156,329.900000000001
157,253.300000000003
158,283.699999999997
159,263.5
160,286.900000000001
161,341.449999999997
162,623.800000000003
163,308.099999999999
164,269.599999999999
165,277.75
166,376.900000000001
167,322.849999999999
168,355.450000000004
169,279.649999999994
170,260.25
171,355.100000000006
172,243.75
173,1013.75
174,665.799999999996
175,304.900000000001
176,287.850000000006
177,338.699999999997
178,311.899999999994
179,272.75
180,282.800000000003
181,449.050000000003
182,278.449999999997
183,357.399999999994
184,523.700000000012
185,292.25
186,304.799999999988
187,285.400000000009
188,1026.95
189,294.75
190,316.199999999997
191,316
192,329.150000000009
193,348.199999999997
194,352.849999999991
195,335.550000000003
196,379.650000000009
197,301.25
198,319.75
199,314.399999999994
200,352.600000000006
201,261.399999999994
202,293.25
203,283.350000000006
204,378.649999999994
205,785.449999999997
206,276.199999999997
207,308.950000000012
208,355.849999999991
209,587
210,738.850000000006
211,341.25
212,308.599999999991
213,293.350000000006
214,661.050000000003
215,671.25
216,709.050000000003
217,348.399999999994
218,658.449999999997
219,277.850000000006
220,361
221,294.699999999997
222,277.449999999997
223,570.650000000009
224,363.699999999997
225,323.599999999991
226,681.550000000003
227,297.650000000009
228,581.199999999997
229,299.099999999991
230,322.5
231,312.100000000006
232,357.25
233,294.25
234,326.949999999997
235,917.949999999997
236,263.449999999997
237,280.450000000012
238,270.949999999997
239,398.75
240,269.599999999991
241,291.5
242,285.600000000006
243,273.550000000003
244,289.449999999997
245,303.050000000003
246,589.300000000003
247,264.099999999991
248,319.75
249,233.400000000009
250,303.649999999994
251,247.050000000003
252,291.5
253,229.099999999991
