"Sweep (n)","RR (ms)"
1,NA
2,316.95
3,329.6
4,339.05
5,321.8
6,317.15
7,322.5
8,303.85
9,360.65
10,336.6
11,334.45
12,350.5
13,341.95
14,340.1
15,321
16,344.5
17,361.2
18,328.55
19,348.3
20,335.549999999999
21,342.1
22,319.05
23,316.25
24,329.5
25,328.75
26,374.9
27,339.75
28,335.700000000001
29,360.799999999999
30,341.35
31,343
32,367.799999999999
33,346.200000000001
34,332.099999999999
35,352
36,369.900000000001
37,369.099999999999
38,340.300000000001
39,336.549999999999
40,336.65
41,328.200000000001
42,382.200000000001
43,349.299999999999
44,332.200000000001
45,348.099999999999
46,342.5
47,348.75
48,344.25
49,342.5
50,340.949999999999
51,319.25
52,349.5
53,347.5
54,363.350000000002
55,349.950000000001
56,376.649999999998
57,367.299999999999
58,351.400000000001
59,386.150000000001
60,355.949999999997
61,335.550000000003
62,365.099999999999
63,416.900000000001
64,353.399999999998
65,373.349999999999
66,344.700000000001
67,335.450000000001
68,347.450000000001
69,340.75
70,367.200000000001
71,354.099999999999
72,333
73,390.349999999999
74,381.850000000002
75,349.75
76,340.849999999999
77,346.100000000002
78,352.049999999999
79,347.200000000001
80,342.149999999998
81,358.700000000001
82,377.5
83,385.5
84,357.299999999999
85,370.850000000002
86,348.549999999999
87,359.5
88,331.549999999999
89,426.5
90,367.299999999999
91,380.950000000001
92,358.849999999999
93,476.600000000002
94,529.650000000001
95,553.5
96,413.599999999999
97,3437.65
98,350.299999999996
99,373.200000000004
100,353.799999999996
101,366.050000000003
102,358.849999999999
103,350.150000000001
104,356.150000000001
105,348.299999999996
106,350.800000000003
107,391.75
108,403.949999999997
109,359.599999999999
110,345.700000000004
111,656.150000000001
112,323.75
113,415.899999999994
114,400.349999999999
115,395.800000000003
116,317.650000000001
117,336.949999999997
118,325.5
119,343.5
120,359.150000000001
121,357.75
122,1973.5
123,343.550000000003
124,338.099999999999
125,336.549999999996
126,365.100000000006
127,352.5
128,340.5
129,346.5
130,351.399999999994
131,359
132,366.850000000006
133,366.5
134,367.199999999997
135,365.300000000003
136,360.799999999996
137,339.800000000003
138,357.5
139,348.049999999996
140,341.100000000006
141,347.849999999999
142,329.25
143,360.349999999999
144,355.199999999997
145,346.150000000001
146,353.450000000004
147,370.349999999999
148,379.5
149,355.75
150,347.150000000001
151,340.449999999997
152,360.800000000003
153,400.299999999996
154,361.050000000003
155,338.400000000001
156,353.25
157,336.649999999994
158,334.450000000004
159,344.449999999997
160,366.349999999999
161,343.450000000004
162,337.899999999994
163,352.550000000003
164,323.949999999997
165,353.950000000004
166,332.099999999999
167,353.25
168,343.400000000001
169,361.400000000001
170,337.649999999994
171,341.450000000004
172,338.900000000001
173,343.949999999997
174,349.100000000006
175,343.849999999991
176,342.449999999997
177,336.950000000012
178,344.199999999997
179,328.699999999997
180,355.199999999997
181,342.400000000009
182,333.549999999988
183,352.5
184,316.300000000003
185,320.100000000006
186,353.25
187,307
188,344.949999999997
189,344.949999999997
190,330.050000000003
191,336.899999999994
192,324.450000000012
193,383.199999999997
194,315.399999999994
195,343.25
196,327.650000000009
197,337.549999999988
198,348.800000000003
199,345.550000000003
200,352.25
201,345.199999999997
202,354
203,346.850000000006
204,321.849999999991
