"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,137.45,35.4003881193342
2,149.75,34.1796850807754
3,154.5,23.8037092526829
4,132.15,32.9589820421762
5,129.7,39.6728487544714
6,128.5,32.3486305228767
7,111,32.9589820423261
8,174.7,18.9208970983724
9,143.25,26.8554668493027
10,146.4,28.0761698879074
11,154.5,21.9726546948841
12,160.6,21.9726546946843
13,146.35,21.9726546946842
13,146.5,21.9726546946842
14,132.05,26.2451153297617
15,158.7,17.0898425403099
16,178.15,18.9208970982003
17,143.299999999999,25.0244122916233
18,166.65,14.6484364633893
19,150.55,19.5312486174971
20,155.900000000001,21.3623031753874
21,131.400000000001,21.3623031753875
22,123.599999999999,27.4658183683553
23,139.75,23.8037092525746
24,142.049999999999,19.5312486178523
25,188.650000000001,13.427733424285
26,146.4,21.9726546942846
27,148.65,17.7001940599287
28,163.900000000001,12.8173819049994
29,160.6,15.8691395014277
30,147.050000000001,20.7519516557132
31,180.15,18.3105455792366
32,148,16.4794910213129
33,123.799999999999,19.5312486178524
34,160,16.4794910213129
35,175.85,12.8173819049993
36,164.099999999999,13.4277334247735
36,166.349999999999,13.4277334247735
37,135.65,19.5312486178524
38,146.550000000001,19.5312486171418
39,145,15.2587879826972
40,137.300000000001,21.3623031749989
41,188.15,11.596678866428
42,164.6,12.8173819054656
43,153.450000000001,17.7001940592848
44,167.35,14.6484364628564
45,151.450000000001,18.9208970978561
46,148.15,14.6484364633893
47,159.549999999999,13.4277334247735
48,139.550000000001,14.6484364628563
49,149.650000000001,18.3105455792366
50,133.299999999999,22.5830062143918
51,160.950000000001,19.5312486164313
52,144.549999999999,18.3105455792366
53,172.5,12.2070303861577
54,154.75,18.3105455792366
55,170.599999999999,15.869139502005
56,165.700000000001,15.2587879815869
57,156.649999999998,15.8691395020051
57,156.799999999999,15.8691395020051
58,194.049999999999,11.5966788668499
59,163.200000000001,16.479491021313
60,152.450000000001,17.0898425393774
61,172.449999999997,17.0898425406208
62,226.049999999999,12.2070303861577
63,162.25,17.0898425406208
64,175.299999999999,19.5312486178524
65,151.299999999999,31.1279274847022
66,126.299999999999,24.4140607723154
67,154.149999999998,16.4794910213129
68,150.850000000002,18.3105455792366
69,180.049999999999,10.9863273475419
70,152.450000000001,17.0898425406208
70,152.799999999999,17.0898425406208
71,136.550000000003,22.5830062127487
