"File Name","Folder","Condition 1","Condition 2","Condition 3","variable","value"
"CelIJ_07_12_21_0000","07_12_21","07","12","21","Ediast (mV)",-40.4765659490295
"CelIL  07_12_21_0000","07_12_21","07","12","21","Ediast (mV)",-32.4108133443006
"CelIM 07_12_21_0000","07_12_21","07","12","21","Ediast (mV)",-36.3591322236089
"CelIN 07_12_21_0000","07_12_21","07","12","21","Ediast (mV)",-33.5630589196581
"CelIO 07_12_21_0000","07_12_21","07","12","21","Ediast (mV)",-39.8912341702419
"CelIP 07_12_21_0000","07_12_21","07","12","21","Ediast (mV)",-47.0624237073313
"CelIN 16_12_21_0000","16_12_21","16","12","21","Ediast (mV)",-39.4257037031905
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"Ediast (mV)",-48.0684281707883
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"Ediast (mV)",-52.7304584949416
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"Ediast (mV)",-49.0976432316971
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Ediast (mV)",-56.786433849295
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Ediast (mV)",-51.9432187150229
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Ediast (mV)",-56.565157240479
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Ediast (mV)",-55.1561232409239
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"Ediast (mV)",-49.7831816462131
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"Ediast (mV)",-54.1821605580567
"CellA_27_10_21_0000","27_10_21","27","10","21","Ediast (mV)",-60.8925356943003
"CellB_27_10_21_0000","27_10_21","27","10","21","Ediast (mV)",-61.9055350815351
"CellD_27_10_21_0000","27_10_21","27","10","21","Ediast (mV)",-55.377572232382
"CellE_27_10_21_0000","27_10_21","27","10","21","Ediast (mV)",-59.1656438638958
"CelIJ_07_12_21_0000","07_12_21","07","12","21","Peak (mV)",-5.2484969008686
"CelIL  07_12_21_0000","07_12_21","07","12","21","Peak (mV)",30.8230125585823
"CelIM 07_12_21_0000","07_12_21","07","12","21","Peak (mV)",42.0453441762266
"CelIN 07_12_21_0000","07_12_21","07","12","21","Peak (mV)",28.3656590429358
"CelIO 07_12_21_0000","07_12_21","07","12","21","Peak (mV)",35.6891418650196
"CelIP 07_12_21_0000","07_12_21","07","12","21","Peak (mV)",39.0568848073726
"CelIN 16_12_21_0000","16_12_21","16","12","21","Peak (mV)",24.5198077212341
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"Peak (mV)",31.0993421245219
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"Peak (mV)",38.063265491199
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"Peak (mV)",38.4081684198176
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Peak (mV)",41.762943236593
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Peak (mV)",44.2263024394577
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Peak (mV)",41.5042810388762
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Peak (mV)",43.5932375789733
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"Peak (mV)",42.4984949092545
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"Peak (mV)",42.5780088932489
"CellA_27_10_21_0000","27_10_21","27","10","21","Peak (mV)",32.653385833689
"CellB_27_10_21_0000","27_10_21","27","10","21","Peak (mV)",37.7686006478096
"CellD_27_10_21_0000","27_10_21","27","10","21","Peak (mV)",42.6373935943352
"CellE_27_10_21_0000","27_10_21","27","10","21","Peak (mV)",36.9692503783797
"CelIJ_07_12_21_0000","07_12_21","07","12","21","APA (mV)",35.2280690481609
"CelIL  07_12_21_0000","07_12_21","07","12","21","APA (mV)",63.233825902883
