"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"18711036","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-71.4599950085769
"18711040","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-73.9459948349318
"18711044","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-71.7009949917432
"18711048","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-68.9619951830602
"18711052","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-74.4359948007057
"18711056","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-74.7729947771665
"18711069","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-72.3369949473192
"18712047","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-72.5659949313237
"18712051","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-76.1269946825907
"18712055","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-73.5239948644082
"18712059","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-68.7529951976586
"18712064","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-74.4498697997365
"18712068","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-71.1549950298809
"18713029","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-75.3999947333711
"18713031","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-78.0909945454069
"18713036","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-74.1269948222891
"18713040","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-72.7879324158215
"18713042","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-75.8289947034058
"18716027","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-80.7279943612146
"18716031","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-81.3169943200734
"18716035","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-82.1819942596539
"18716039","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","Ediast (mV)",-81.519994305894
