"Sweep (n)","APD","APD value (ms)","APD value (mV)"
490,"APD 20",1.7,26.4999981489965
490,"APD 50",10.5,-15.0499989487697
490,"APD 90",38.3,-71.0499950372151
491,"APD 20",1.6,27.2999980931171
491,"APD 50",10.6,-14.8999989592471
491,"APD 90",38.2,-70.9499950442
492,"APD 20",1.6,27.2499980966096
492,"APD 50",10.4,-14.8999989592471
492,"APD 90",37.9,-70.9499950442
493,"APD 20",1.7,27.099998107087
493,"APD 50",10.7,-15.2499989347999
493,"APD 90",38,-70.9499950442
494,"APD 20",1.6,27.2499980966096
494,"APD 50",10.4,-14.8999989592471
494,"APD 90",38,-70.9499950442
