"Sweep (n)","APD","APD value (ms)","APD value (mV)"
496,"APD 20",2,23.1999983794988
496,"APD 50",11.1,-17.3499987881166
496,"APD 90",41.4,-71.9999949708583
497,"APD 20",2,23.5499983550516
497,"APD 50",11.2,-17.7499987601769
497,"APD 90",41.4,-71.9499949743508
498,"APD 20",2,23.2499983760063
498,"APD 50",11.1,-17.5499987741467
498,"APD 90",41.5,-71.9499949743508
499,"APD 20",2.1,22.8999984004536
499,"APD 50",11.4,-17.849998753192
499,"APD 90",41.7,-71.9499949743508
500,"APD 20",2.1,22.4999984283932
500,"APD 50",11.4,-17.949998746207
500,"APD 90",41.7,-72.0499949673659
