"Sweep (n)","APD","APD value (ms)","APD value (mV)"
58,"APD 20",0.5,32.3999977368862
58,"APD 50",4.1,-9.44999933992516
58,"APD 90",28.2,-68.3499952258079
59,"APD 20",0.5,32.0499977613335
59,"APD 50",4.1,-9.7499993189704
59,"APD 90",28.3,-68.2499952327928
60,"APD 20",0.5,31.8999977718108
60,"APD 50",4.1,-10.1499992910307
60,"APD 90",28.4,-68.2999952293003
61,"APD 20",0.5,32.099997757841
61,"APD 50",4.1,-9.89999930849302
61,"APD 90",28.4,-68.1999952362853
62,"APD 20",0.5,31.5999977927656
62,"APD 50",4.1,-10.1999992875383
62,"APD 90",28.2,-68.3999952223154
