"Sweep (n)","APD","APD value (ms)","APD value (mV)"
824,"APD 20",0.500000000000001,33.9999976251275
824,"APD 50",7.1,-9.9999993015081
824,"APD 90",31.4,-67.7499952677174
825,"APD 20",0.500000000000001,32.749997712439
825,"APD 50",7.3,-10.2499992840458
825,"APD 90",31.3,-67.7499952677174
826,"APD 20",0.500000000000001,32.6999977159315
826,"APD 50",7.3,-10.3499992770609
826,"APD 90",31.4,-67.6999952712099
827,"APD 20",0.600000000000001,32.3999977368862
827,"APD 50",7.4,-10.5999992595986
827,"APD 90",31.4,-67.5999952781948
828,"APD 20",0.600000000000001,29.7999979184941
828,"APD 50",7.2,-10.3999992735684
828,"APD 90",31.4,-67.6999952712099
