"Sweep (n)","APD","APD value (ms)","APD value (mV)"
585,"APD 20",0.399999999999999,36.3999974574895
585,"APD 50",3.2,-9.29999935040254
585,"APD 90",21.3,-66.1999953759836
586,"APD 20",0.499999999999999,35.149997544801
586,"APD 50",3.4,-9.7499993189704
586,"APD 90",21.3,-66.0999953829686
587,"APD 20",0.499999999999999,36.1499974749518
587,"APD 50",3.3,-9.24999935389499
587,"APD 90",21.3,-66.2499953724912
588,"APD 20",0.499999999999999,35.8499974959065
588,"APD 50",3.3,-9.34999934691008
588,"APD 90",21.2,-66.1499953794761
589,"APD 20",0.499999999999999,29.9999979045243
589,"APD 50",3.2,-9.29999935040254
589,"APD 90",21.2,-66.1999953759836
