"Sweep (n)","APD","APD value (ms)","APD value (mV)"
394,"APD 20",0.200000000000001,-48.2999966262841
394,"APD 50",0.4,-58.2499959312847
394,"APD 90",12.7,-71.9999949708583
395,"APD 20",0.200000000000001,-48.1999966332691
395,"APD 50",0.4,-58.2999959277922
395,"APD 90",12.8,-72.0499949673659
396,"APD 20",0.200000000000001,-48.3999966192992
396,"APD 50",0.4,-58.3499959242998
396,"APD 90",12.6,-72.0999949638734
397,"APD 20",0.200000000000001,-48.2499966297766
397,"APD 50",0.4,-58.3499959242998
397,"APD 90",12.6,-72.0999949638734
398,"APD 20",0.200000000000001,-47.8499966577163
398,"APD 50",0.4,-58.0999959417621
398,"APD 90",12.4,-71.8999949778432
