"Sweep (n)","APD","APD value (ms)","APD value (mV)"
321,"APD 20",4.2,27.749998061685
321,"APD 50",16.8,-8.09999943422156
321,"APD 90",41.9,-55.7999961024152
322,"APD 20",4.2,27.8999980512076
322,"APD 50",16.9,-7.8999994481914
322,"APD 90",41.8,-55.6499961128926
323,"APD 20",4.2,27.5999980721624
323,"APD 50",16.9,-8.19999942723664
323,"APD 90",41.8,-55.7999961024152
324,"APD 20",4.1,27.8999980512076
324,"APD 50",17,-7.8999994481914
324,"APD 90",41.5,-55.5499961198775
325,"APD 20",4.2,27.5499980756548
325,"APD 50",16.9,-8.19999942723664
325,"APD 90",41.5,-55.5499961198775
