"Sweep (n)","APD","APD value (ms)","APD value (mV)"
539,"APD 20",4.9,22.6499984179158
539,"APD 50",15.7,-14.4499989906792
539,"APD 90",34.5,-63.7999955436217
540,"APD 20",4.8,22.9499983969611
540,"APD 50",15.5,-14.3499989976641
540,"APD 90",34.4,-63.8499955401292
541,"APD 20",4.7,22.9499983969611
541,"APD 50",15.5,-14.3999989941717
541,"APD 90",34.4,-63.7499955471142
542,"APD 20",4.8,23.0999983864837
542,"APD 50",15.5,-14.249999004649
542,"APD 90",34.4,-63.6499955540991
543,"APD 20",4.8,22.849998403946
543,"APD 50",15.7,-14.4499989906792
543,"APD 90",34.5,-63.8999955366368
