"Sweep (n)","APD","APD value (ms)","APD value (mV)"
8,"APD 20",127.8,32.0465095053578
8,"APD 50",195.8,-7.22656266152626
8,"APD 90",221,-59.7229017255359
9,"APD 20",129.2,32.0983893893299
9,"APD 50",197.4,-7.25402848245267
9,"APD 90",223.2,-59.7839368831501
10,"APD 20",126.6,31.9976813792664
10,"APD 50",194.6,-7.30896012430549
10,"APD 90",221.2,-59.5275892211703
11,"APD 20",125,31.9885261056243
11,"APD 50",193.8,-7.2875978191405
11,"APD 90",219.4,-59.3444837483276
12,"APD 20",126.6,32.0068366529085
12,"APD 50",196.4,-7.31811539794763
12,"APD 90",222.6,-59.5001234002439
