"Sweep (n)","APD","APD value (ms)","APD value (mV)"
249,"APD 20",0.7,35.6999975063839
249,"APD 50",9.1,-4.79999966472389
249,"APD 90",49.4,-59.5999958369883
250,"APD 20",0.8,33.3999976670371
250,"APD 50",9.4,-6.54999954248781
250,"APD 90",49.7,-59.8999958160335
251,"APD 20",0.8,34.3999975971879
251,"APD 50",9.4,-5.549999612337
251,"APD 90",49.8,-59.5999958369883
252,"APD 20",0.7,35.799997499399
252,"APD 50",9.3,-4.89999965773897
252,"APD 90",49.5,-59.4999958439732
253,"APD 20",0.699999999999999,34.2999976041728
253,"APD 50",9.4,-5.64999960535208
253,"APD 90",49,-59.4999958439732
254,"APD 20",0.6,37.3499973911328
254,"APD 50",8.8,-3.49999975552784
254,"APD 90",48.1,-58.9499958823903
255,"APD 20",0.499999999999999,39.7999972200022
255,"APD 50",8.7,-2.89999979743735
255,"APD 90",47.5,-58.5999959068375
256,"APD 20",0.499999999999999,40.0999971990475
256,"APD 50",8.4,-2.49999982537703
256,"APD 90",47.8,-58.649995903345
257,"APD 20",0.6,37.649997370178
257,"APD 50",8.6,-3.59999974854292
257,"APD 90",47.1,-58.8999958858827
258,"APD 20",0.6,35.799997499399
258,"APD 50",9,-4.69999967170881
258,"APD 90",47.3,-59.299995857943
