"Sweep (n)","APD","APD value (ms)","APD value (mV)"
391,"APD 20",0.5,38.6499973003288
391,"APD 50",3.4,-2.89999979743735
391,"APD 90",21.7,-57.8999959557319
392,"APD 20",0.400000000000002,40.699997157138
392,"APD 50",3.3,-2.84999980092981
392,"APD 90",21.6,-57.8499959592244
393,"APD 20",0.4,41.999997066334
393,"APD 50",3.3,-2.69999981140719
393,"APD 90",21.7,-57.8999959557319
394,"APD 20",0.499999999999998,38.3499973212836
394,"APD 50",3.4,-3.04999978695997
394,"APD 90",21.7,-57.8499959592244
395,"APD 20",0.499999999999998,38.6999972968364
395,"APD 50",3.4,-2.94999979394489
395,"APD 90",22,-57.8999959557319
396,"APD 20",0.5,35.6499975098764
396,"APD 50",3.3,-2.79999980442227
396,"APD 90",21.9,-57.8499959592244
397,"APD 20",0.5,35.4499975238462
397,"APD 50",3.3,-2.69999981140719
397,"APD 90",21.9,-57.8999959557319
398,"APD 20",0.5,36.99999741558
398,"APD 50",3.3,-2.69999981140719
398,"APD 90",21.9,-57.7999959627168
399,"APD 20",0.5,37.8499973562082
399,"APD 50",3.3,-2.49999982537703
399,"APD 90",21.7,-57.7999959627168
400,"APD 20",0.499999999999998,37.649997370178
400,"APD 50",3.3,-2.54999982188457
400,"APD 90",21.7,-57.8999959557319
