"Sweep (n)","APD","APD value (ms)","APD value (mV)"
366,"APD 20",1.9,35.3499975308311
366,"APD 50",10.9,-6.2999995599501
366,"APD 90",30.6,-61.149995728722
367,"APD 20",1.9,35.149997544801
367,"APD 50",10.8,-6.09999957391994
367,"APD 90",30.5,-61.1999957252296
368,"APD 20",1.8,35.1999975413085
368,"APD 50",10.7,-6.39999955296519
368,"APD 90",30.2,-61.1999957252296
369,"APD 20",1.8,35.6499975098764
369,"APD 50",10.9,-6.09999957391994
369,"APD 90",30.3,-61.1999957252296
370,"APD 20",1.9,35.4499975238462
370,"APD 50",11,-6.2999995599501
370,"APD 90",30.2,-61.149995728722
371,"APD 20",1.9,34.8999975622633
371,"APD 50",10.8,-6.2999995599501
371,"APD 90",30.4,-61.149995728722
372,"APD 20",1.9,34.6999975762331
372,"APD 50",10.7,-6.14999957042748
372,"APD 90",30.4,-61.1999957252296
373,"APD 20",1.9,34.4499975936954
373,"APD 50",10.7,-6.2999995599501
373,"APD 90",30.4,-61.2499957217371
374,"APD 20",1.9,34.6999975762331
374,"APD 50",10.9,-6.49999954598027
374,"APD 90",29.9,-61.1999957252296
375,"APD 20",1.9,34.2499976076653
375,"APD 50",10.8,-6.59999953899535
375,"APD 90",30.1,-61.1999957252296
