"Sweep (n)","APD","APD value (ms)","APD value (mV)"
763,"APD 20",1.4,20.0999985960313
763,"APD 50",7.3,-17.3999987846241
763,"APD 90",34.7,-67.1999953061345
764,"APD 20",1.4,20.5499985645992
764,"APD 50",7.3,-17.3999987846241
764,"APD 90",34.7,-67.249995302642
765,"APD 20",1.4,20.1999985890464
765,"APD 50",7.2,-17.299998791609
765,"APD 90",34.5,-67.249995302642
766,"APD 20",1.4,19.7499986204785
766,"APD 50",7.2,-16.9999988125638
766,"APD 90",34.5,-67.1999953061345
767,"APD 20",1.3,20.6499985576142
767,"APD 50",7.2,-17.0999988055789
767,"APD 90",34.5,-67.1999953061345
768,"APD 20",1.3,20.7499985506293
768,"APD 50",7.2,-17.1999987985939
768,"APD 90",34.6,-67.3499952956571
769,"APD 20",1.3,20.4999985680916
769,"APD 50",7.3,-17.4499987811316
769,"APD 90",34.6,-67.3499952956571
770,"APD 20",1.3,20.999998533167
770,"APD 50",7.2,-17.1499988020864
770,"APD 90",34.6,-67.249995302642
771,"APD 20",1.4,20.349998578569
771,"APD 50",7.2,-17.3999987846241
771,"APD 90",34.6,-67.1499953096269
772,"APD 20",1.3,20.9499985366595
772,"APD 50",7.3,-17.2499987951015
772,"APD 90",35,-67.1499953096269
