"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","STV","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18711003_errore_dvdtmax",-82.0167442711965,61.2699957203401,143.286739991537,273.049980927677,-82.1999942583962,0.238059282999471,0.570000000000001,7.29,31.46
"18711008",-72.3582449458349,50.9749964394376,123.333241385272,179.199987483024,-29.3999979464338,0.22391714737574,1.28,8.15,33.5
"18711022",-76.8394946328232,48.2699966283796,125.109491261203,302.399978877603,-39.5999972339721,0.209775011752009,0.75,4.34,28.1
"18711026",-79.3892444547252,60.9649957416441,140.354240196369,218.399984744937,-76.2999946705068,0.221560124771785,0.53,1.87,21.6
"18711030",-80.2724943930309,47.2499966996258,127.522491092657,361.799974728568,-34.3499976006804,0.235702260395517,1,7.01,36.59
"18711034",-78.515994515721,47.4149966881007,125.930991203822,356.453100102039,-29.5499979359565,10.5806744691547,1.18,7.24,33.74
"18712013",-81.0912443358419,61.5499957007824,142.641240036624,278.149980571446,-77.5499945831952,0.205060966544099,0.44,3.29,21.32
"18712020",-79.7509944294573,45.2499968393242,125.000991268781,335.799976544641,-26.049998180429,0.176776695296637,1.35,7.24,34.63
"18712031",-75.8924946989704,62.289995649094,138.182490348064,324.099977361879,-47.4999966821632,0.339411254969543,1.61,10.57,30.97
"18712039",-74.3659948055952,65.8549954000816,140.220990205677,310.699978297858,-75.9999946914612,0.273414622058799,1.55,13.26,45.26
"18713003",-78.8577444918501,54.7749961740106,133.632740665861,481.99996633269,-45.7999968009077,1.73241161390704,1.98,10.72,31.98
"18713011",-78.2462445345628,62.8599956092799,141.106240143843,419.649970687787,-83.1999941885484,7.99266365001194,1.78,14.69,33.84
"18713015",-75.5937447198378,63.0749955942624,138.6687403141,360.699974805401,-64.4499954982194,0.367695526217006,0.6,4.06,26.24
"18713020",-82.9429942064987,56.0399960856514,138.98299029215,446.99996877741,-57.7999959627172,0.419550023504017,0.6,4.2,30.34
"18713028",-85.62074401946,53.8899962358272,139.510740255287,343.599975999817,-51.4090873182073,0.266343554246933,0.7,4.88,32.63
"18716004",-85.1604940516081,42.1899970530627,127.350491104671,399.149972119695,-26.0499981804286,0.280485689870664,1.39,6.01,23.75
"18716008",-84.0849941267309,57.0199960171992,141.10499014393,353.449975311805,-52.2999963468871,0.15556349186104,0.84,5.15,21.39
"18716012",-74.6212447877661,72.3549949460619,146.976239733828,368.249974278037,-67.2999952991491,0.761318301077517,0.770000000000001,5.71,34.72
"18716019",-78.0247289250355,57.4999959836716,135.524724908707,369.599974183741,-34.799997569248,0.254558441227157,1.21,6.58,34.82
"18716026",-84.5159940966259,61.2949957185939,145.81098981522,277.999980581926,-71.2698813854922,4.02343758495145,0.55,4.71,33.66
