"Sweep (n)","APD","APD value (ms)","APD value (mV)"
120,"APD 20",2.3,22.5999984214083
120,"APD 50",13.3,-13.5499990535435
120,"APD 90",42.8,-61.7499956868125
121,"APD 20",2.4,22.3499984388706
121,"APD 50",13.5,-13.6999990430661
121,"APD 90",43.2,-61.7999956833201
122,"APD 20",2.3,22.7999984074385
122,"APD 50",13.1,-13.5499990535435
122,"APD 90",42.9,-61.7499956868125
123,"APD 20",2.4,22.5999984214083
123,"APD 50",13.4,-13.4499990605284
123,"APD 90",43.1,-61.5999956972899
124,"APD 20",2.4,22.4999984283932
124,"APD 50",13.1,-13.599999050051
124,"APD 90",43.1,-61.699995690305
125,"APD 20",2.3,22.7499984109309
125,"APD 50",12.8,-13.4499990605284
125,"APD 90",42.1,-61.699995690305
126,"APD 20",2.3,22.6999984144234
126,"APD 50",12.7,-13.6499990465586
126,"APD 90",42.2,-61.6499956937975
127,"APD 20",2.4,22.4999984283932
127,"APD 50",12.8,-13.4499990605284
127,"APD 90",42.3,-61.699995690305
128,"APD 20",2.4,22.3999984353781
128,"APD 50",13.1,-13.4999990570359
128,"APD 90",41.6,-61.6499956937975
129,"APD 20",2.4,22.4499984318857
129,"APD 50",12.9,-13.4999990570359
129,"APD 90",41.5,-61.7999956833201
