"Sweep (n)","APD","APD value (ms)","APD value (mV)"
395,"APD 20",1.2,29.599997932464
395,"APD 50",10,-9.04999936786483
395,"APD 90",34.7,-59.9499958125411
396,"APD 20",1.1,29.6499979289715
396,"APD 50",10.1,-8.89999937834221
396,"APD 90",34.5,-60.0999958020637
397,"APD 20",1.2,29.4999979394489
397,"APD 50",10,-9.04999936786483
397,"APD 90",34.6,-60.0499958055562
398,"APD 20",1.1,29.8499979150017
398,"APD 50",10.2,-9.14999936087991
398,"APD 90",34.4,-60.0999958020637
399,"APD 20",1.1,29.8499979150017
399,"APD 50",9.9,-8.79999938532713
399,"APD 90",34.7,-59.9499958125411
400,"APD 20",1.2,28.7499979918358
400,"APD 50",10.3,-9.19999935738745
400,"APD 90",34.7,-60.0499958055562
401,"APD 20",1.1,29.9499979080168
401,"APD 50",9.8,-8.99999937135729
401,"APD 90",34.1,-60.0499958055562
402,"APD 20",1.1,29.7499979219866
402,"APD 50",10.1,-8.89999937834221
402,"APD 90",34.6,-60.0999958020637
403,"APD 20",1.2,29.3499979499263
403,"APD 50",10.1,-8.99999937135729
403,"APD 90",34.7,-59.9999958090486
404,"APD 20",1.2,29.2999979534187
404,"APD 50",10.1,-9.14999936087991
404,"APD 90",34.7,-60.0499958055562
